ImageNumber,ObjectNumber,AreaShape_Area,AreaShape_Center_X,AreaShape_Center_Y,AreaShape_Center_Z,AreaShape_Compactness,AreaShape_Eccentricity,AreaShape_EulerNumber,AreaShape_Extent,AreaShape_FormFactor,AreaShape_MajorAxisLength,AreaShape_MaxFeretDiameter,AreaShape_MaximumRadius,AreaShape_MeanRadius,AreaShape_MedianRadius,AreaShape_MinFeretDiameter,AreaShape_MinorAxisLength,AreaShape_Orientation,AreaShape_Perimeter,AreaShape_Solidity,AreaShape_Zernike_0_0,AreaShape_Zernike_1_1,AreaShape_Zernike_2_0,AreaShape_Zernike_2_2,AreaShape_Zernike_3_1,AreaShape_Zernike_3_3,AreaShape_Zernike_4_0,AreaShape_Zernike_4_2,AreaShape_Zernike_4_4,AreaShape_Zernike_5_1,AreaShape_Zernike_5_3,AreaShape_Zernike_5_5,AreaShape_Zernike_6_0,AreaShape_Zernike_6_2,AreaShape_Zernike_6_4,AreaShape_Zernike_6_6,AreaShape_Zernike_7_1,AreaShape_Zernike_7_3,AreaShape_Zernike_7_5,AreaShape_Zernike_7_7,AreaShape_Zernike_8_0,AreaShape_Zernike_8_2,AreaShape_Zernike_8_4,AreaShape_Zernike_8_6,AreaShape_Zernike_8_8,AreaShape_Zernike_9_1,AreaShape_Zernike_9_3,AreaShape_Zernike_9_5,AreaShape_Zernike_9_7,AreaShape_Zernike_9_9,Intensity_IntegratedIntensityEdge_cebp,Intensity_IntegratedIntensityEdge_dapi,Intensity_IntegratedIntensityEdge_gr,Intensity_IntegratedIntensityEdge_h3k4me1,Intensity_IntegratedIntensity_cebp,Intensity_IntegratedIntensity_dapi,Intensity_IntegratedIntensity_gr,Intensity_IntegratedIntensity_h3k4me1,Intensity_LowerQuartileIntensity_cebp,Intensity_LowerQuartileIntensity_dapi,Intensity_LowerQuartileIntensity_gr,Intensity_LowerQuartileIntensity_h3k4me1,Intensity_MADIntensity_cebp,Intensity_MADIntensity_dapi,Intensity_MADIntensity_gr,Intensity_MADIntensity_h3k4me1,Intensity_MassDisplacement_cebp,Intensity_MassDisplacement_dapi,Intensity_MassDisplacement_gr,Intensity_MassDisplacement_h3k4me1,Intensity_MaxIntensityEdge_cebp,Intensity_MaxIntensityEdge_dapi,Intensity_MaxIntensityEdge_gr,Intensity_MaxIntensityEdge_h3k4me1,Intensity_MaxIntensity_cebp,Intensity_MaxIntensity_dapi,Intensity_MaxIntensity_gr,Intensity_MaxIntensity_h3k4me1,Intensity_MeanIntensityEdge_cebp,Intensity_MeanIntensityEdge_dapi,Intensity_MeanIntensityEdge_gr,Intensity_MeanIntensityEdge_h3k4me1,Intensity_MeanIntensity_cebp,Intensity_MeanIntensity_dapi,Intensity_MeanIntensity_gr,Intensity_MeanIntensity_h3k4me1,Intensity_MedianIntensity_cebp,Intensity_MedianIntensity_dapi,Intensity_MedianIntensity_gr,Intensity_MedianIntensity_h3k4me1,Intensity_MinIntensityEdge_cebp,Intensity_MinIntensityEdge_dapi,Intensity_MinIntensityEdge_gr,Intensity_MinIntensityEdge_h3k4me1,Intensity_MinIntensity_cebp,Intensity_MinIntensity_dapi,Intensity_MinIntensity_gr,Intensity_MinIntensity_h3k4me1,Intensity_StdIntensityEdge_cebp,Intensity_StdIntensityEdge_dapi,Intensity_StdIntensityEdge_gr,Intensity_StdIntensityEdge_h3k4me1,Intensity_StdIntensity_cebp,Intensity_StdIntensity_dapi,Intensity_StdIntensity_gr,Intensity_StdIntensity_h3k4me1,Intensity_UpperQuartileIntensity_cebp,Intensity_UpperQuartileIntensity_dapi,Intensity_UpperQuartileIntensity_gr,Intensity_UpperQuartileIntensity_h3k4me1,Location_CenterMassIntensity_X_cebp,Location_CenterMassIntensity_X_dapi,Location_CenterMassIntensity_X_gr,Location_CenterMassIntensity_X_h3k4me1,Location_CenterMassIntensity_Y_cebp,Location_CenterMassIntensity_Y_dapi,Location_CenterMassIntensity_Y_gr,Location_CenterMassIntensity_Y_h3k4me1,Location_CenterMassIntensity_Z_cebp,Location_CenterMassIntensity_Z_dapi,Location_CenterMassIntensity_Z_gr,Location_CenterMassIntensity_Z_h3k4me1,Location_Center_X,Location_Center_Y,Location_Center_Z,Location_MaxIntensity_X_cebp,Location_MaxIntensity_X_dapi,Location_MaxIntensity_X_gr,Location_MaxIntensity_X_h3k4me1,Location_MaxIntensity_Y_cebp,Location_MaxIntensity_Y_dapi,Location_MaxIntensity_Y_gr,Location_MaxIntensity_Y_h3k4me1,Location_MaxIntensity_Z_cebp,Location_MaxIntensity_Z_dapi,Location_MaxIntensity_Z_gr,Location_MaxIntensity_Z_h3k4me1,Number_Object_Number
41,16,142,679.0,422.0,1.0,1.4574953162851954,0.7391929278040988,1.0,0.46405228758169936,0.33608439625368547,19.103042580456236,20.0,5.0,1.9934159173675983,1.4142135623730951,12.757485044378232,12.865779559778712,35.01027959127332,72.86600000000001,0.6826923076923077,0.4415197988626343,0.030166450903938238,0.15993097455387234,0.05118630677193041,0.04986795294929932,0.02688688713135434,0.04096930992394789,0.016084521429125385,0.026928755691636306,0.009809432615698837,0.027721800688578453,0.024829031885699286,0.005366827478521188,0.01661216421820162,0.01248019816632451,0.02481811751946443,0.016912233462188755,0.003527095505479435,0.01844272472057591,0.0056309308746755535,0.013031515794299437,0.007202651907310902,0.012375840106722266,0.007849156895477017,0.0052013703038305955,0.012528982968491482,0.006828819219100121,0.004700104553731738,0.0068765198436722495,0.007277206658284951,0.6355840442702174,0.6615854175761342,0.599404901266098,1.7484702952206135,1.606607174500823,1.697550941258669,1.4772411826997995,4.283695759251714,0.010925459675490856,0.011520561762154102,0.009803921915590763,0.026909285224974155,0.0004577711224555969,0.0004119938239455223,0.0005493247881531715,0.0032501723617315292,0.15626148480205387,0.013081013828178932,0.2711612448176379,0.521651073566406,0.012726024724543095,0.012878614477813244,0.01255817525088787,0.03921568766236305,0.012726024724543095,0.01335164438933134,0.01255817525088787,0.03921568766236305,0.011349715076253883,0.01181402531385954,0.010703658951180322,0.03122268384322524,0.011314135031695937,0.011954584093370907,0.010403106920421124,0.030166871544026152,0.011322194710373878,0.011947814375162125,0.01031509879976511,0.03024338185787201,0.009582665748894215,0.010803387500345707,0.008194094523787498,0.022766461595892906,0.009582665748894215,0.010803387500345707,0.008194094523787498,0.022766461595892906,0.0006788881973178102,0.0005372558772986246,0.0008267224104979096,0.0042290572727981994,0.0006772442973373802,0.0005573391838194585,0.0008151595148497821,0.0037647926920693475,0.011833371594548225,0.012344548478722572,0.01095597818493843,0.03336385264992714,678.5562689538094,678.6891028226537,678.4334424837928,678.1873138752318,421.8594250129141,421.93908260190193,421.84487299862343,421.7884779709451,0.0,0.0,0.0,0.0,678.6830985915493,421.9507042253521,0,678.0,680.0,670.0,669.0,417.0,424.0,422.0,422.0,0.0,0.0,0.0,0.0,16
41,17,103644,1637.0,465.0,1.0,1.2909559971777247,0.7705679850022783,1.0,0.521605217863937,0.19493691598820076,491.11272545073166,501.7668781416326,119.20151005754919,39.471749048252605,35.22782990761707,367.80442040312,313.0145321278864,-15.499946033340848,2584.8180000000266,0.7665607792524768,0.49430065159373004,0.03422395566433995,0.1741410028444364,0.06833947397226856,0.026152486792310917,0.03967153865194092,0.011766453512847013,0.04767111930634279,0.0032452381762521757,0.011795863883264255,0.024241723196806734,0.027052639552043865,0.00403624697904822,0.012680791651975287,0.004983058684091704,0.007914288847034073,0.013351233453853514,0.007719339860621208,0.015231211806897507,0.007845724633694364,0.0030735480100453254,0.008879741268264817,0.003926515485773669,0.004129579790599467,0.007851395289102999,0.00576567840192373,0.007689677787614244,0.006292980864250321,0.006823880249723224,0.004319123549017402,31.456183961592615,25.308156188577414,29.827405414544046,36.9964143326506,2288.174391556531,1448.6163234449923,2072.180083055049,3303.0916569354013,0.016800183802843094,0.01269550621509552,0.0158846415579319,0.018448157235980034,0.0049897003918886185,0.0012054629623889923,0.0036316467449069023,0.011398488655686378,10.783406457738105,2.286671417491637,9.56395091519948,20.674377544644344,0.026230258867144585,0.014679179526865482,0.025864042341709137,0.050156403332948685,0.048233769834041595,0.021271076053380966,0.04170290753245354,0.08102540671825409,0.014788991049173772,0.01189852195043602,0.014023227745436786,0.017393706785449273,0.02207724896334116,0.013976846932239129,0.019993246913039338,0.03186958875511753,0.021850919350981712,0.013931486755609512,0.01896696351468563,0.029419394209980965,0.009048599749803543,0.010101472958922386,0.008804455399513245,0.009063859470188618,0.009048599749803543,0.00939955748617649,0.00857557076960802,0.00881971511989832,0.00299994697469118,0.0006429039939425887,0.0028902370129885832,0.007014157761611465,0.0064533780824810255,0.0016628351400860856,0.005566162389373279,0.015585529181370092,0.02677958272397518,0.015106432139873505,0.0235599298030138,0.04185549542307854,1695.546790795686,1692.2191050011268,1689.8465646417867,1686.0424977700457,428.38945897188296,438.2107589022727,430.6524120267115,420.1602685083927,0.0,0.0,0.0,0.0,1694.324369958705,439.1033537879665,0,1591.0,1677.0,1905.0,1585.0,438.0,524.0,420.0,432.0,0.0,0.0,0.0,0.0,17
41,18,49275,1416.0,520.0,1.0,1.122457117955837,0.7489693949697049,0.0,0.6121422182468694,0.28750144378861436,312.17398918513004,344.78108996869304,101.07423014794622,33.004382347351516,28.442925306655784,227.26649424396152,206.84791875097753,-82.25782849489863,1467.5679999999954,0.8566287681235005,0.5277762889010645,0.09370000958673215,0.1818478107358733,0.04592751537865991,0.04477899443729154,0.03488421083960436,0.0014584040032419258,0.013227570092062766,0.011172203515446864,0.024123823422340544,0.01921165153297943,0.015437496239613123,7.26764663154282e-06,0.01262160186983259,0.012381268983582184,0.00225703324278138,0.020296929382099108,0.010837205052810462,0.010235978240013505,0.003935913964002921,0.002395190825279058,0.0030895078220849787,0.009377478898054133,0.0019686949496831355,0.0031901292742694226,0.003968727839516232,0.0008832874184478017,0.005441726115299002,0.0009589427453369347,0.0016923654663765831,19.80259417835623,14.660395348444581,18.200900417752564,23.48294816724956,1179.6710969144478,735.3902701437473,1034.478207920678,2191.878909590654,0.01770046539604664,0.012939650565385818,0.0160677507519722,0.021271076053380966,0.005508506670594215,0.0018616002053022385,0.004516669549047947,0.022537576034665108,2.310639870806605,1.4725254267186492,3.2413191687032614,7.182725153409119,0.021560998633503914,0.014679179526865482,0.021469444036483765,0.03361562639474869,0.051804378628730774,0.02539101243019104,0.04287785291671753,0.10574502497911453,0.016311856819074325,0.012076108194764894,0.014992504462728635,0.01934344989065038,0.023940560059146583,0.01492420639561131,0.020993976822337453,0.04448257553710105,0.02238498441874981,0.014877546578645706,0.020050354301929474,0.04438849538564682,0.009079118259251118,0.009719996713101864,0.00869764294475317,0.009689479134976864,0.009079118259251118,0.009719996713101864,0.008316166698932648,0.009689479134976864,0.0023506004460991307,0.0007227025879041503,0.0022273509048181483,0.004709514341776625,0.007362011280370087,0.0022772972807258416,0.005928067022760281,0.02331503669653997,0.029800869524478912,0.016632333397865295,0.02543678879737854,0.06550697982311249,1418.4200019793464,1417.652789463452,1418.2179659395874,1420.7279725775434,510.5657735273929,510.1959213685938,512.0270065669093,515.0851621124116,0.0,0.0,0.0,0.0,1416.502080162354,509.2771182141045,0,1474.0,1469.0,1430.0,1426.0,480.0,396.0,504.0,501.0,0.0,0.0,0.0,0.0,18
41,19,1,1944.0,537.0,1.0,0.0,0.0,1.0,1.0,0.7853981633974483,0.095,0.0,1.0,1.0,1.0,0.0,0.095,0.0,4.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.012176699936389923,0.01109330914914608,0.012298772111535072,0.013824674300849438,0.012176699936389923,0.01109330914914608,0.012298772111535072,0.013824674300849438,0.012176699936389923,0.01109330914914608,0.012298772111535072,0.013824674300849438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012176699936389923,0.01109330914914608,0.012298772111535072,0.013824674300849438,0.012176699936389923,0.01109330914914608,0.012298772111535072,0.013824674300849438,0.012176699936389923,0.01109330914914608,0.012298772111535072,0.013824674300849438,0.012176699936389923,0.01109330914914608,0.012298772111535072,0.013824674300849438,0.012176699936389923,0.01109330914914608,0.012298772111535072,0.013824674300849438,0.012176699936389923,0.01109330914914608,0.012298772111535072,0.013824674300849438,0.012176699936389923,0.01109330914914608,0.012298772111535072,0.013824674300849438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012176699936389923,0.01109330914914608,0.012298772111535072,0.013824674300849438,1944.0,1944.0,1944.0,1944.0,537.0,537.0,537.0,537.0,0.0,0.0,0.0,0.0,1944.0,537.0,0,1944.0,1944.0,1944.0,1944.0,537.0,537.0,537.0,537.0,0.0,0.0,0.0,0.0,19
41,20,17494,1113.0,644.0,1.0,1.1063671057855733,0.3868845580097341,1.0,0.5812732589048378,0.20845901774099304,162.89841992162343,197.0913493789111,57.77542730261716,18.53054727334928,15.231546211727817,150.94177751856046,150.21321981485704,88.61162601184145,1026.9259999999965,0.812559511368123,0.551689907608725,0.08353848072961968,0.1896618119171825,0.006701815706294728,0.03245000176137715,0.03610689376304465,0.004737558798435721,0.011900219730203367,0.016734970997950974,0.023639555455974195,0.01823772631897817,0.010883491317682037,0.009671169775098725,0.00869140525227232,0.0011107577906296535,0.005595437204353241,0.014773804642752601,0.008578179864977137,0.01015083517782438,0.008491292118360447,0.0009311886455006185,0.007122330895049385,0.01710432840047367,0.007283285490261421,0.004842053682923098,0.004142742738704744,0.005436250923589922,0.005686044697769657,0.010613474900232145,0.0033323377356457872,11.931868565268815,10.29916846845299,11.048905249685049,12.921217766590416,271.6981633026153,274.99943735450506,291.1628461899236,284.67542733531445,0.01281757839024067,0.012527656741440296,0.0120088504627347,0.01187151949852705,0.0023956671357154846,0.0017395280301570892,0.0025940341874957085,0.003356984816491604,5.685614082097119,5.843512188135468,8.232123498508729,10.107094627855249,0.026092927902936935,0.016296636313199997,0.027420463040471077,0.04422064498066902,0.026611734181642532,0.043579768389463425,0.05018692463636398,0.04422064498066902,0.0142725700541493,0.012319579507718888,0.013216393839336184,0.015456002113146431,0.015530934223311723,0.01571964315505345,0.01664358329655445,0.016272746503676373,0.015289540402591228,0.013992522843182087,0.01425192691385746,0.014663919806480408,0.008545052260160446,0.010101472958922386,0.008331426419317722,0.008667124435305595,0.008270390331745148,0.009765774011611938,0.008178835734724998,0.00859082955867052,0.00360260309065743,0.0010815448910924238,0.003496089083558417,0.007569851835634928,0.0032469423000347406,0.00509457377746304,0.00721615113475563,0.0055355408687874355,0.01757839322090149,0.016693370416760445,0.018051423132419586,0.019394217059016228,1120.9598180824235,1117.381079468642,1120.5901247207096,1123.6627888601392,648.329123464913,645.0065931030468,643.9563384735795,644.3239002322209,0.0,0.0,0.0,0.0,1115.7559734766205,650.6195838573225,0,1198.0,1114.0,1111.0,1200.0,642.0,609.0,617.0,638.0,0.0,0.0,0.0,0.0,20
41,21,1,1666.0,607.0,1.0,0.0,0.0,1.0,1.0,0.7853981633974483,0.095,0.0,1.0,1.0,1.0,0.0,0.095,0.0,4.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.012390325777232647,0.011718928813934326,0.011703670024871826,0.01110856793820858,0.012390325777232647,0.011718928813934326,0.011703670024871826,0.01110856793820858,0.012390325777232647,0.011718928813934326,0.011703670024871826,0.01110856793820858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012390325777232647,0.011718928813934326,0.011703670024871826,0.01110856793820858,0.012390325777232647,0.011718928813934326,0.011703670024871826,0.01110856793820858,0.012390325777232647,0.011718928813934326,0.011703670024871826,0.01110856793820858,0.012390325777232647,0.011718928813934326,0.011703670024871826,0.01110856793820858,0.012390325777232647,0.011718928813934326,0.011703670024871826,0.01110856793820858,0.012390325777232647,0.011718928813934326,0.011703670024871826,0.01110856793820858,0.012390325777232647,0.011718928813934326,0.011703670024871826,0.01110856793820858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012390325777232647,0.011718928813934326,0.011703670024871826,0.01110856793820858,1666.0,1666.0,1666.0,1666.0,607.0,607.0,607.0,607.0,0.0,0.0,0.0,0.0,1666.0,607.0,0,1666.0,1666.0,1666.0,1666.0,607.0,607.0,607.0,607.0,0.0,0.0,0.0,0.0,21
41,22,13314,2041.0,609.0,1.0,1.19039917829409,0.7963060024446071,1.0,0.6799448444921097,0.42492851188263137,171.57627583549402,182.22239159883728,72.02777242147643,25.600523913542254,22.20360331117452,106.0,103.78545968669636,82.45314850747194,627.4819999999986,0.9117304663425325,0.5036252418655138,0.0758443887847391,0.17885046144494426,0.0654575112056067,0.05260178668978378,0.0006130318157905233,0.0010402679620055498,0.034141879962516886,0.02282966065310882,0.010018341329639321,0.01089488471576558,0.004817349641476483,0.004948641978138606,0.011686776209882519,0.016428948414454303,0.009019723072953012,0.019439593374865772,0.008205352632155343,0.007952253418973943,0.004468738820126161,0.00837066893653934,0.0030836324849850575,0.006120786341744292,0.005961028634366459,0.0031117059293004077,0.007418233938027687,0.008232815461642961,0.004380309544974996,0.005609884376813317,0.005431122319740448,5.892179788090289,4.6244602501392365,4.998352060094476,7.8407873949036,267.2352345790714,167.45223311148584,200.97117719240487,426.1472812416032,0.01741054467856884,0.0120088504627347,0.013733119703829288,0.026474403217434883,0.002624552696943283,0.0005493247881531715,0.0013122763484716415,0.005600061267614365,2.712880474610466,0.5499323543074387,1.3269127281500408,4.743513231243162,0.02235446684062481,0.013733119703829288,0.0158388651907444,0.037354085594415665,0.02876325696706772,0.0161593034863472,0.02233920805156231,0.046768903732299805,0.01503107088798543,0.011797092474844992,0.012750898112485908,0.02000200866046837,0.02007174662603811,0.012577154357179349,0.0150947256416107,0.032007456905633405,0.020279239863157272,0.012527656741440296,0.014999618753790855,0.033875029534101486,0.011596856638789177,0.010345617309212685,0.010620279237627983,0.01281757839024067,0.011596856638789177,0.010040436871349812,0.010620279237627983,0.01281757839024067,0.0021551882736663783,0.0005402470872850084,0.000970963041406957,0.006492024254833344,0.0034387803235181517,0.0008117035453036084,0.0018026584391886823,0.008057912364091972,0.022690165787935257,0.013092241249978542,0.016357671469449997,0.03859006613492966,2002.9511918356914,2000.6096517165954,2001.657012110607,2004.5073924931196,594.0428001500251,595.216107145672,594.7391612404597,592.495044583962,0.0,0.0,0.0,0.0,2000.3301036502928,594.7425266636623,0,2022.0,1996.0,2029.0,2031.0,610.0,631.0,635.0,611.0,0.0,0.0,0.0,0.0,22
41,23,21682,613.0,700.0,1.0,1.1701395371633534,0.7920734784151399,1.0,0.6155112700845966,0.18337566261694432,216.52097600449432,221.472345903501,54.70831746635972,18.5724920899319,15.811388300841896,149.52970097421456,132.16998068078635,29.20101996244533,1218.9439999999956,0.850524664116897,0.5627637799427591,0.03819308998169864,0.18699289288908433,0.08606028453461834,0.005984550021825947,0.013062634442437741,0.006138226907511199,0.025798163555962438,0.025569445837126125,0.013071358036058203,0.006444791852199355,0.0041435087767535605,0.016229380189886667,0.017901863159491056,0.004264178149683657,0.010302022523899838,0.0016960142531768627,0.00942561970314869,0.010431498694687368,0.0037894648362177806,0.015684621025777386,0.0038658051996091447,0.014476688341333437,0.002924588604506964,0.0045903313339263506,0.004350023256897814,0.002616458385403381,0.0034451024416834947,0.006302478507874707,0.005289402794744129,12.865781754255295,11.821179635822773,9.576424939092249,27.829526321031153,320.9710102798417,271.0425751581788,238.72161686513573,728.9761067228392,0.013183794915676117,0.01188677828758955,0.009689479134976864,0.029205767437815666,0.0015716785565018654,0.0005493247881531715,0.0012512393295764923,0.004547186195850372,2.0420692329155714,0.21573166214295436,2.809554120011079,0.7196042782295609,0.016876477748155594,0.014053558930754662,0.0158388651907444,0.040344852954149246,0.02244602143764496,0.017822537571191788,0.01916533149778843,0.05134660750627518,0.01284010155115299,0.011797584466888994,0.009557310318455338,0.027773978364302548,0.014803570255504184,0.012500810587500176,0.011010128994794564,0.03362125757415548,0.014709697104990482,0.012420844286680222,0.010940718464553356,0.03431754186749458,0.00962844304740429,0.009887846186757088,0.006652933545410633,0.013168536126613617,0.009475852362811565,0.009826810099184513,0.0065003433264791965,0.013168536126613617,0.0011880973610703708,0.0005536145373832295,0.0010492084585064356,0.005852205057005609,0.0020582551724892114,0.0008822237814777114,0.0017689526890709414,0.0062724306355071546,0.016311895102262497,0.012985427863895893,0.012191958725452423,0.03848325461149216,607.5014134701262,605.6280004599698,608.1346447786392,605.7958849751964,694.7048811090567,694.2225756450447,695.3174441077678,693.7350098735023,0.0,0.0,0.0,0.0,605.4847338806384,694.3838668019555,0,600.0,649.0,646.0,592.0,682.0,705.0,678.0,687.0,0.0,0.0,0.0,0.0,23
41,24,92650,1185.0,488.0,1.0,1.5990428826404057,0.9194813249856112,1.0,0.4884902934632459,0.17523174444846493,570.3164315941706,569.3241607379754,104.0096149401583,35.670388855678446,32.0624390837628,278.3936022046343,224.21059944096686,61.97698493230142,2577.6340000000264,0.7656929872770173,0.36394546576902115,0.03486514871846934,0.14546215464523599,0.0797978527275547,0.0159035106727224,0.019179328110171114,0.02718787567094241,0.06442390296871789,0.02682634202328591,0.013361258862847612,0.009473999184576767,0.006851220577828775,0.008662398817826194,0.022861886430527608,0.016532651782457063,0.012059501977955179,0.00315716920433247,0.0035514219486084985,0.0041147060352776455,0.0025291456434014935,0.00564127249705993,0.006766501078802772,0.004259072415087342,0.004288141099636555,0.0063181670950340505,0.003026079316328221,0.007394615364091043,0.006321083341045617,0.006441430392265743,0.000919945061118415,32.5999850044027,25.73453904967755,30.17140483018011,42.17604354675859,2261.0103402473032,1371.3605657937005,1935.6067549185827,3800.165738057345,0.017090104520320892,0.01278706081211567,0.0156557559967041,0.021866178140044212,0.006897076964378357,0.0017547868192195892,0.004943922162055969,0.0160830095410347,17.072534610539662,1.3449587238013552,6.425812487731257,46.03920146156669,0.028229190036654472,0.016342412680387497,0.027298390865325928,0.0472724512219429,0.051804378628730774,0.050080109387636185,0.045410849153995514,0.09787136316299438,0.015276469074228067,0.012059296649333435,0.01413842775547334,0.01976384421122708,0.02440378133024612,0.014801517169926611,0.02089160016102086,0.041016359827926015,0.02392614632844925,0.014526588842272758,0.02034027688205242,0.04330510273575783,0.010559243150055408,0.010025177150964737,0.009216449223458767,0.008926527574658394,0.010040436871349812,0.009552148170769215,0.00885023269802332,0.008926527574658394,0.0025722621599514567,0.0008885032045330473,0.0025153467159021513,0.00877006734144877,0.007877504084742942,0.0028032402831033947,0.006108740910671215,0.019858382945514955,0.030869001522660255,0.016296636313199997,0.02558938041329384,0.054764628410339355,1237.9969609583566,1245.9147559768176,1243.2764167424198,1224.6516684994717,591.302263094917,606.8228916799762,600.5613513611489,565.5643581389246,0.0,0.0,0.0,0.0,1246.8772584997303,605.883475445224,0,1221.0,1326.0,1237.0,1200.0,530.0,767.0,594.0,446.0,0.0,0.0,0.0,0.0,24
41,25,5,1059.0,745.0,1.0,1.6084954386379742,0.9510023335223559,1.0,0.625,0.7356105344259072,4.425841212475093,3.1622776601683795,1.0,1.0,1.0,0.8944271909999159,1.3683979709137566,-69.00639375209168,9.242,1.25,0.6366197723675813,0.056941003473374156,0.0254647908947032,0.27069444030149314,0.07971740486272381,0.011388200694674826,0.26992678348385424,0.2255323819929009,0.25079910447440446,0.05694100347337414,0.034164602084024484,0.0022776401389349578,0.3921577797784296,0.2991002025574374,0.27657904797609467,0.2536947605395582,0.006832920416804907,0.05511889136222618,0.010477144639100846,0.0004555280277869898,0.09880338867144774,0.23065746139675944,0.2488735180477233,0.25980349297555466,0.25413279545501094,0.03635113661740211,0.05748763710671854,0.02560067516162902,0.002824273772279369,9.110560555739496e-05,0.06643778271973133,0.05992217920720577,0.04928664118051529,0.04708934295922518,0.06643778271973133,0.05992217920720577,0.04928664118051529,0.04708934295922518,0.012973983772099018,0.011646448401734233,0.009597924537956715,0.009056229842826724,0.0003204392269253731,7.629441097378731e-05,0.00011444324627518654,0.0004730294458568096,0.04579810794204232,0.043957109908924395,0.035033775677114964,0.038569299346808146,0.014557107351720333,0.01258869282901287,0.010345617309212685,0.01017776783555746,0.014557107351720333,0.01258869282901287,0.010345617309212685,0.01017776783555746,0.013287556543946265,0.011984435841441154,0.009857328236103058,0.009417868591845036,0.013287556543946265,0.011984435841441154,0.009857328236103058,0.009417868591845036,0.013229572214186192,0.012512398418039083,0.010231174062937498,0.009475852828472853,0.012512397952377796,0.010940718464553356,0.009063859470188618,0.008957046084105968,0.012512397952377796,0.010940718464553356,0.009063859470188618,0.008957046084105968,0.0006884779817575066,0.0006919325027083308,0.0005210458452562548,0.00046975984799061006,0.0006884779817575066,0.0006919325027083308,0.0005210458452562548,0.00046975984799061006,0.014240482589229941,0.012577248737215996,0.010337987681850791,0.01006713998503983,1058.4173174110174,1058.3926661480753,1058.4151702699912,1058.4063512616058,745.3576021938453,745.443340998229,745.3684210774948,745.361957230278,0.0,0.0,0.0,0.0,1058.4,745.4,0,1059.0,1059.0,1058.0,1059.0,744.0,745.0,746.0,744.0,0.0,0.0,0.0,0.0,25
41,26,1,1058.0,816.0,1.0,0.0,0.0,1.0,1.0,0.7853981633974483,0.095,0.0,1.0,1.0,1.0,0.0,0.095,0.0,4.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.011047531850636005,0.011856259778141975,0.01280231960117817,0.011856259778141975,0.011047531850636005,0.011856259778141975,0.01280231960117817,0.011856259778141975,0.011047531850636005,0.011856259778141975,0.01280231960117817,0.011856259778141975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011047531850636005,0.011856259778141975,0.01280231960117817,0.011856259778141975,0.011047531850636005,0.011856259778141975,0.01280231960117817,0.011856259778141975,0.011047531850636005,0.011856259778141975,0.01280231960117817,0.011856259778141975,0.011047531850636005,0.011856259778141975,0.01280231960117817,0.011856259778141975,0.011047531850636005,0.011856259778141975,0.01280231960117817,0.011856259778141975,0.011047531850636005,0.011856259778141975,0.01280231960117817,0.011856259778141975,0.011047531850636005,0.011856259778141975,0.01280231960117817,0.011856259778141975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011047531850636005,0.011856259778141975,0.01280231960117817,0.011856259778141975,1058.0,1058.0,1058.0,1058.0,816.0,816.0,816.0,816.0,0.0,0.0,0.0,0.0,1058.0,816.0,0,1058.0,1058.0,1058.0,1058.0,816.0,816.0,816.0,816.0,0.0,0.0,0.0,0.0,26
