ImageNumber,ObjectNumber,AreaShape_Area,AreaShape_Center_X,AreaShape_Center_Y,AreaShape_Center_Z,AreaShape_Compactness,AreaShape_Eccentricity,AreaShape_EulerNumber,AreaShape_Extent,AreaShape_FormFactor,AreaShape_MajorAxisLength,AreaShape_MaxFeretDiameter,AreaShape_MaximumRadius,AreaShape_MeanRadius,AreaShape_MedianRadius,AreaShape_MinFeretDiameter,AreaShape_MinorAxisLength,AreaShape_Orientation,AreaShape_Perimeter,AreaShape_Solidity,Intensity_IntegratedIntensityEdge_cebp,Intensity_IntegratedIntensityEdge_dapi,Intensity_IntegratedIntensityEdge_ppar,Intensity_IntegratedIntensity_cebp,Intensity_IntegratedIntensity_dapi,Intensity_IntegratedIntensity_ppar,Intensity_LowerQuartileIntensity_cebp,Intensity_LowerQuartileIntensity_dapi,Intensity_LowerQuartileIntensity_ppar,Intensity_MADIntensity_cebp,Intensity_MADIntensity_dapi,Intensity_MADIntensity_ppar,Intensity_MassDisplacement_cebp,Intensity_MassDisplacement_dapi,Intensity_MassDisplacement_ppar,Intensity_MaxIntensityEdge_cebp,Intensity_MaxIntensityEdge_dapi,Intensity_MaxIntensityEdge_ppar,Intensity_MaxIntensity_cebp,Intensity_MaxIntensity_dapi,Intensity_MaxIntensity_ppar,Intensity_MeanIntensityEdge_cebp,Intensity_MeanIntensityEdge_dapi,Intensity_MeanIntensityEdge_ppar,Intensity_MeanIntensity_cebp,Intensity_MeanIntensity_dapi,Intensity_MeanIntensity_ppar,Intensity_MedianIntensity_cebp,Intensity_MedianIntensity_dapi,Intensity_MedianIntensity_ppar,Intensity_MinIntensityEdge_cebp,Intensity_MinIntensityEdge_dapi,Intensity_MinIntensityEdge_ppar,Intensity_MinIntensity_cebp,Intensity_MinIntensity_dapi,Intensity_MinIntensity_ppar,Intensity_StdIntensityEdge_cebp,Intensity_StdIntensityEdge_dapi,Intensity_StdIntensityEdge_ppar,Intensity_StdIntensity_cebp,Intensity_StdIntensity_dapi,Intensity_StdIntensity_ppar,Intensity_UpperQuartileIntensity_cebp,Intensity_UpperQuartileIntensity_dapi,Intensity_UpperQuartileIntensity_ppar,Location_CenterMassIntensity_X_cebp,Location_CenterMassIntensity_X_dapi,Location_CenterMassIntensity_X_ppar,Location_CenterMassIntensity_Y_cebp,Location_CenterMassIntensity_Y_dapi,Location_CenterMassIntensity_Y_ppar,Location_CenterMassIntensity_Z_cebp,Location_CenterMassIntensity_Z_dapi,Location_CenterMassIntensity_Z_ppar,Location_Center_X,Location_Center_Y,Location_Center_Z,Location_MaxIntensity_X_cebp,Location_MaxIntensity_X_dapi,Location_MaxIntensity_X_ppar,Location_MaxIntensity_Y_cebp,Location_MaxIntensity_Y_dapi,Location_MaxIntensity_Y_ppar,Location_MaxIntensity_Z_cebp,Location_MaxIntensity_Z_dapi,Location_MaxIntensity_Z_ppar,Number_Object_Number
8,13,73473,1396.0,1080.0,1.0,1.0304878609560348,0.5867043339787185,1.0,0.7622471210706505,0.8545295539235265,340.4863425567382,344.4256088039912,137.44089638822936,49.12657333973261,43.829214001622255,276.9702150051518,275.726257398934,49.5939881106765,1039.4539999999959,0.9917057533322088,71.75150693207979,53.2282903008163,15.236957448534667,14832.296962335706,10748.855029646307,3137.72703912016,0.11682306975126266,0.08740367740392685,0.024979019537568092,0.08056764304637909,0.0552452951669693,0.016601817682385445,1.4626566501764056,3.6656181072020964,0.38709220897007296,0.09954985976219177,0.0638742670416832,0.02050812542438507,0.477607399225235,0.3034103810787201,0.10099946707487106,0.0808012465451349,0.05994176835677511,0.017158735865466967,0.20187411650995205,0.14629666720627044,0.042705851661428824,0.1910887360572815,0.14295414090156555,0.03994812071323395,0.06877241283655167,0.05535973235964775,0.01412985473871231,0.06877241283655167,0.05535973235964775,0.01412985473871231,0.006510728566541176,0.0014799996026822959,0.0011263334208611844,0.0902467612976809,0.061218917844842756,0.01895316675392746,0.28157472610473633,0.19782941043376923,0.05998321622610092,1384.4014835007447,1384.1667887767699,1383.2284645444286,1074.8090508477173,1072.1188228778647,1076.0440065302582,0.0,0.0,0.0,1383.2099546772283,1075.6573571243857,0,1414.0,1430.0,1378.0,1077.0,1094.0,1110.0,0.0,0.0,0.0,13
8,14,24787,203.0,1195.0,1.0,1.010842231070045,0.46178047257571964,1.0,0.7793183676035969,0.8071446295837825,188.5969937180079,195.0,82.56512580987206,28.877881892433308,25.495097567963924,166.62197439996075,167.28444852894546,-27.408842534815616,621.213999999998,0.9799750924150471,27.33669037371874,34.75539791956544,3.295826714951545,3038.392203658819,3048.650142647326,220.09672974515706,0.0786755159497261,0.09571602940559387,0.007171740289777517,0.03878843039274216,0.025375761091709137,0.0013580531813204288,1.2966706280141314,1.4253265928478187,0.556553188989396,0.08433661609888077,0.110734723508358,0.008010986261069775,0.2545204758644104,0.23379872739315033,0.028229190036654472,0.051774034798709734,0.06582461727190424,0.006242096051044593,0.12258007034569812,0.12299391385191133,0.008879522723409734,0.12359807640314102,0.12372014671564102,0.008392462506890297,0.03752193599939346,0.056061647832393646,0.004440375603735447,0.03752193599939346,0.056061647832393646,0.004440375603735447,0.007784467434848088,0.0116810047158549,0.0005573923569347801,0.04845173026049007,0.03446916823018001,0.002376622075499315,0.15637445449829102,0.1468718945980072,0.009979400783777237,200.49282180365165,202.57676982404882,201.39862399151997,1196.74403798871,1197.9866405208036,1196.4018943057647,0.0,0.0,0.0,201.78831645620687,1196.7992496066486,0,200.0,234.0,207.0,1190.0,1229.0,1174.0,0.0,0.0,0.0,14
8,15,40054,383.0,1258.0,1.0,1.01344661587932,0.41804511368869274,1.0,0.698535054063481,0.7969393776204733,237.4806615201777,244.08605040026356,101.82337649086284,35.97720921946438,31.906112267087632,213.28582865695122,215.73367087461966,77.50954924904889,794.7219999999966,0.9704767096735117,27.245868725702167,42.60292976722121,3.6802930450066924,3454.633024541661,5441.720275186002,242.94052492361516,0.06230258569121361,0.10157167911529541,0.005508507136255503,0.019729916006326675,0.031250469386577606,0.0005035479553043842,2.212988076868241,1.7554279411529048,2.53538929143566,0.08888380229473114,0.10809490829706192,0.007507438771426678,0.3015945553779602,0.26117342710494995,0.014663919806480408,0.041596746146110176,0.06504264086598659,0.005618768007643805,0.08624938893847459,0.135859596424477,0.0060653249344289,0.08050660043954849,0.14097809791564941,0.0059967958368361,0.029236286878585815,0.05560387670993805,0.0030670634005218744,0.029236286878585815,0.05560387670993805,0.0030670634005218744,0.010257872311984913,0.010563668693183221,0.0007559996508172364,0.03502416396954219,0.04023397788316844,0.0008795970537887103,0.10276950895786285,0.16638436913490295,0.006530861370265484,379.3575007589224,379.4940737813466,378.3159894936509,1254.433770238837,1251.6877072450354,1252.7811258371637,0.0,0.0,0.0,380.8513007439956,1252.8010186248564,0,384.0,374.0,362.0,1255.0,1231.0,1345.0,0.0,0.0,0.0,15
8,16,39790,899.0,1299.0,1.0,1.029011465110139,0.602027147277367,1.0,0.7591193528693528,0.8601555872635955,251.8030435872798,254.24397731313127,100.66280345788111,36.18588366386539,32.202484376209235,203.0229650506492,201.0585910634761,79.51081541648841,762.4359999999972,0.9878596787407831,25.872968774288893,39.51857787370682,4.5209736013785005,4059.727080218494,5384.406183522195,539.2352833878249,0.07568474858999252,0.10537880659103394,0.010498207062482834,0.024948500096797943,0.028946369886398315,0.0028381776064634323,1.758966215249486,0.5931332174329711,1.9772070907710062,0.04888990521430969,0.06858929991722107,0.009460593573749065,0.27833983302116394,0.26242464780807495,0.03350881114602089,0.039989132572316684,0.06107971850650204,0.006987594437988409,0.10202882835432255,0.1353205876733399,0.01355203024347386,0.10324253886938095,0.13519492745399475,0.013794155791401863,0.0317998006939888,0.056107424199581146,0.00476081483066082,0.0317998006939888,0.056107424199581146,0.00476081483066082,0.00339735642869444,0.0020227334516554722,0.0008225370113154085,0.03622511547236432,0.03958741429262329,0.003918086175936276,0.1263904720544815,0.16299687325954437,0.016327153891324997,899.9038461409646,899.3475346848952,899.4570698873313,1296.0326766132764,1295.0068206616438,1296.411002059549,0.0,0.0,0.0,899.1055541593365,1294.4652927871325,0,955.0,887.0,929.0,1342.0,1247.0,1279.0,0.0,0.0,0.0,16
8,17,25970,1365.0,1424.0,1.0,1.0022602255994026,0.1562719555056754,1.0,0.7971147943523634,0.8991479235882803,182.80543955720836,184.36105879496353,86.70063436907483,30.206295025339514,26.68332812825267,178.58502625223997,180.55950396866416,-11.144298254132437,602.455999999998,0.9897858068450337,23.584527365863323,32.0240940451622,3.12602431839332,3092.4805697463453,2714.0310079567134,255.06978248711675,0.08512245118618011,0.08606088161468506,0.007721065077930689,0.029465168714523315,0.016754403710365295,0.0018463418819010258,1.7269744011710795,0.5522996958853311,0.8966987301796424,0.0626230239868164,0.06782635301351547,0.008636606857180595,0.3450675308704376,0.18733501434326172,0.0320744626224041,0.04552997560977475,0.06182257537676101,0.006034795981454286,0.11907895917390625,0.10450639229713952,0.009821708990647545,0.11415274441242218,0.10237278044223785,0.009552148170769215,0.03471427410840988,0.05552757903933525,0.004333562217652798,0.03471427410840988,0.05552757903933525,0.004318303428590298,0.004795246421987313,0.0019928260293732647,0.0007558212966913586,0.04954095196279944,0.024586859049399362,0.0027749410039931343,0.143938347697258,0.11949340254068375,0.011429007165133953,1365.8900280100515,1363.884736803259,1365.1044776885444,1425.0880118662785,1424.609064796949,1423.8268804498039,0.0,0.0,0.0,1364.3485945321524,1424.3092799383905,0,1387.0,1364.0,1327.0,1374.0,1400.0,1428.0,0.0,0.0,0.0,17
8,18,2291,0.0,1460.0,1.0,2.4465573087824386,0.9707268373029678,1.0,0.6293956043956044,0.35126488117991994,115.98753961133326,129.0,27.018512172212592,10.152845599220951,9.219544457292887,27.0,27.85860558239588,-89.7839594630468,286.28599999999966,0.9683009298393914,6.094117671251297,7.945616867393255,0.7979858247563243,107.99980189278722,147.65220145136118,14.038697135169059,0.04577706754207611,0.06155107915401459,0.005767910275608301,0.0013580545783042908,0.002723734825849533,0.0003509577363729477,0.34332547360074217,0.23880057474269467,0.7534969972701855,0.05085831880569458,0.0640726312994957,0.0073701078072190285,0.05423056334257126,0.07747005671262741,0.0077821011655032635,0.04582043361843081,0.05974148020596433,0.005999893419220483,0.04714089999685169,0.06444880028431305,0.006127759552670912,0.0471503771841526,0.06400396674871445,0.006118868011981249,0.04092469811439514,0.056305792182683945,0.004455634392797947,0.04092469811439514,0.05581750348210335,0.004440375603735447,0.001835353002222158,0.0015161705409995664,0.0004892191222595629,0.0019648305273036563,0.0036848094608799282,0.0005285589030040872,0.04849698767066002,0.0670061782002449,0.0064850845374166965,9.996352383867714,9.865581748037455,10.016420189762725,1461.5040564531605,1461.7835701324736,1461.082613981731,0.0,0.0,0.0,10.099519860323003,1461.8315146224356,0,1.0,0.0,10.0,1425.0,1449.0,1426.0,0.0,0.0,0.0,18
8,19,21722,788.0,1546.0,1.0,1.032798018794356,0.6307690891334276,1.0,0.7658029261413714,0.8686974834971373,188.46659044807876,187.77113729218343,72.00694410957877,26.949723086866,24.041630560342615,144.84236377810046,146.2445313426392,-21.446255672638905,560.5579999999981,0.9862429057888761,26.988097973167896,28.657221369445324,3.3944305111654103,1949.7272166535258,2167.6116597615182,206.4482819540426,0.06620889902114868,0.07280079275369644,0.00781261920928955,0.018310822546482086,0.023041121661663055,0.0013733115047216415,0.9477557527045841,1.5237352256466015,1.8307888037721924,0.0641794428229332,0.06532387435436249,0.009124895557761192,0.16891737282276154,0.18431372940540314,0.020126650109887123,0.0564604560108115,0.059952345961182686,0.007101319061015503,0.08975818141301564,0.0997887698997108,0.00950411020873044,0.08210879564285278,0.09242389351129532,0.008926527574658394,0.04910353198647499,0.05587853863835335,0.005279621575027704,0.04910353198647499,0.05587853863835335,0.004684519954025745,0.0028931166843184286,0.0014846607706868393,0.0007455015554644766,0.0284652609708107,0.031040479611508225,0.0022988237504682355,0.10722514986991882,0.12379644811153412,0.010833906009793282,783.5119225186342,783.1281037089378,783.462953731158,1547.6739798316546,1548.3819482754648,1546.1040574253022,0.0,0.0,0.0,784.4590737501151,1547.6401344259277,0,789.0,792.0,785.0,1551.0,1549.0,1537.0,0.0,0.0,0.0,19
8,20,47897,1702.0,1600.0,1.0,1.0288586793028716,0.5566506101024556,1.0,0.7708041648562095,0.8510136244010891,271.9055162734858,269.9036865253974,108.17116066678771,39.40707587505237,35.22782990761707,223.60508510159926,225.88461341818393,80.91811524828879,840.9899999999969,0.9853018318710594,40.370702769607306,43.38822004944086,6.305653548799455,6839.715072616935,7410.670822683722,800.3429517424665,0.0836537703871727,0.09370565414428711,0.011581597849726677,0.054352641105651855,0.05847255885601044,0.004837110638618469,1.0657953826199504,3.7795356595887966,14.623215516125631,0.07573052495718002,0.0646219551563263,0.014038300141692162,0.40669870376586914,0.3367513418197632,0.03622491657733917,0.05599265293981596,0.06017783640699149,0.008745705338140715,0.14280049006444945,0.15472098091078193,0.01670966765648092,0.13336385786533356,0.15188831090927124,0.01594567857682705,0.042282748967409134,0.054947737604379654,0.004013122990727425,0.042282748967409134,0.054947737604379654,0.004013122990727425,0.009585072812788285,0.0014861882579309878,0.002839637620799559,0.06696375578645171,0.06553803654719711,0.006767951283563529,0.19515907764434814,0.21065080165863037,0.021377889439463615,1713.3762396105644,1710.4027386392268,1712.1219031943672,1596.1014089970129,1599.2214288732455,1581.3420192680123,0.0,0.0,0.0,1712.3193519427105,1595.9639017057436,0,1732.0,1713.0,1732.0,1606.0,1569.0,1531.0,0.0,0.0,0.0,20
8,21,40662,1050.0,1726.0,1.0,1.0216979733651417,0.5709421950399414,1.0,0.7963260350162548,0.8658916719405751,250.8629723521759,257.87787807409927,102.39628899525607,36.66003916760744,32.55764119219941,209.0598000573042,205.95605734008822,-64.5877988691727,768.1879999999975,0.986762118546381,19.323827041313052,40.88900591060519,2.936492008389905,2112.025593759492,4571.959216672927,196.03873159759678,0.03840695694088936,0.09149309247732162,0.00428778538480401,0.010330356657505035,0.020035095512866974,0.0004730294458568096,2.669778645787486,3.7265934983694358,2.9367023368468375,0.03688105568289757,0.06698710471391678,0.006942855194211006,0.16966506838798523,0.19880980253219604,0.01915007270872593,0.028927884792384808,0.061211086692522745,0.004395946120344169,0.051941016028712116,0.11243812937565607,0.004821177797393064,0.0473487451672554,0.11268787831068039,0.00474555604159832,0.023468375205993652,0.056122682988643646,0.002426184481009841,0.023392081260681152,0.056122682988643646,0.002426184481009841,0.0022715526177928065,0.0019435725949820365,0.0006958483333024534,0.019984769504502266,0.02765949817009579,0.0008835177516733807,0.05990691855549812,0.13176165521144867,0.00521858548745513,1046.2603350428915,1046.0592767569867,1046.4480122866603,1723.483915837125,1721.490541712654,1722.2851798831382,0.0,0.0,0.0,1048.8964143426294,1723.9067679897694,0,1080.0,1009.0,1063.0,1713.0,1707.0,1678.0,0.0,0.0,0.0,21
8,22,25517,1709.0,1827.0,1.0,1.023023578305607,0.5491930024428245,1.0,0.733879781420765,0.7862042832254396,197.4459208295347,210.75341041131458,81.25269226308751,29.093380491672598,25.632011235952593,163.35920778832997,165.00467666787682,32.645028257975994,638.6339999999975,0.9682584855901493,31.965728275477886,32.80926230177283,2.2611734587699175,3632.5798595398664,3153.1748861670494,156.31903842836618,0.09781032800674438,0.09648279845714569,0.004943923093378544,0.039703965187072754,0.025864042341709137,0.001098649576306343,3.4566732257354764,0.9066316448374973,0.9194583580871836,0.08676280081272125,0.06573586910963058,0.00588998245075345,0.3053940534591675,0.2235294133424759,0.015411612577736378,0.05897735844184112,0.06053369428371371,0.004171906750498003,0.14235920600148397,0.12357153608053648,0.006126074320193055,0.1443045735359192,0.12462043017148972,0.006042572669684887,0.04065003618597984,0.05511558800935745,0.0027618829626590014,0.04065003618597984,0.05511558800935745,0.0025787746999412775,0.0068225242269180095,0.001713457574710971,0.0005767908537971872,0.05470854719328679,0.035780599799070056,0.0015044912316286507,0.17865262925624847,0.14805448055267334,0.00714122224599123,1714.8206927623849,1713.6207006974166,1713.7657546921632,1828.9643382480376,1826.6583003463982,1826.4551358117135,0.0,0.0,0.0,1712.9308304267743,1826.0700317435435,0,1749.0,1678.0,1700.0,1832.0,1821.0,1815.0,0.0,0.0,0.0,22
