,label,area,centroid-0,centroid-1,day,cebp_integrated,gr_integrated,vdr_integrated
13,14,43732,1700,586,-2.0,185422448,178998725,182422223
14,15,63719,1730,321,-2.0,332398290,150604652,246969899
15,16,42385,1944,1619,-2.0,258897186,123509522,184524496
0,1,42722,130,1671,-2.0,236289089,168498172,197293047
1,2,38168,187,533,-2.0,203529262,58301516,169449936
2,3,87852,331,1246,-2.0,583491978,291311009,414317470
3,4,37635,424,543,-2.0,232605541,127770320,181479271
4,5,47582,504,1817,-2.0,227244017,204071173,206156367
5,6,40306,657,1360,-2.0,275904926,104505476,190803706
6,7,38515,730,836,-2.0,239367903,102451922,186601922
7,8,59531,908,1602,-2.0,276352346,112359135,240855614
8,9,38985,854,569,-2.0,257034312,159660796,192293758
9,10,31000,949,1134,-2.0,171715105,54951117,154017949
10,11,75184,1027,161,-2.0,340396705,370587246,326673231
11,12,41172,1080,430,-2.0,264810757,174371541,196171972
12,13,92153,1371,1813,-2.0,473438620,551552806,399950243
13,14,39017,1600,664,-2.0,224056983,76766736,247685645
14,15,41503,1655,1151,-2.0,182764254,179650101,245732152
15,16,50913,1730,413,-2.0,273134402,195820563,301651680
16,17,36339,1916,1484,-2.0,169083831,66751701,213743028
0,1,42951,86,1917,-2.0,160983785,172479403,135856425
1,2,46413,310,854,-2.0,198693259,102168197,141445645
2,3,40632,291,1770,-2.0,181357566,121115671,126316960
3,4,41091,633,658,-2.0,236649680,214797907,157009578
4,5,36866,653,365,-2.0,205064285,157927257,140812189
5,6,46763,738,161,-2.0,216059558,307977034,157956003
6,7,71961,868,1110,-2.0,350516432,381784805,260701428
7,8,40937,871,1586,-2.0,215612850,115342765,153797797
8,9,48260,1058,1954,-2.0,256632381,128697579,165693427
9,10,42340,1125,1633,-2.0,237729856,184739671,161418604
10,11,44295,1288,1354,-2.0,248305611,177960825,170975962
11,12,49054,1428,586,-2.0,221071815,115197617,159936385
12,13,66365,1489,246,-2.0,389126347,513902667,271842014
13,14,39791,1749,1266,-2.0,208609647,142284428,149141106
14,15,32878,1785,1884,-2.0,157600128,82482222,122343397
15,16,51584,1871,790,-2.0,283887920,155879023,186369148
0,1,73447,132,1567,-2.0,325691240,271453399,214029053
1,2,37518,182,1214,-2.0,164146446,107831580,113786074
2,3,34935,363,101,-2.0,154177496,109585506,106714054
3,4,61622,458,1295,-2.0,272247442,109445322,194009394
4,5,32935,731,1330,-2.0,173559649,83899948,109409138
5,6,24660,791,1990,-2.0,106393880,71398689,104695517
6,7,54400,868,969,-2.0,313165471,273975489,203846865
7,8,35439,890,668,-2.0,169734414,129105129,116631625
8,9,32929,899,1509,-2.0,208667519,234745599,115134661
9,10,39938,1140,187,-2.0,189365287,173139789,120020074
10,11,44863,1375,1051,-2.0,236115374,162632315,152642453
11,12,97222,1696,1051,-2.0,539210849,387622749,320505053
12,13,41037,1950,1448,-2.0,202071788,156092334,144579398
0,1,36508,121,1965,-2.0,126639150,76611341,136000485
1,2,64501,388,1793,-2.0,262413646,131009511,258145768
2,3,35084,503,1530,-2.0,167137913,97295581,148613148
3,4,45824,616,1245,-2.0,190272716,137824124,176626064
4,5,29524,819,1488,-2.0,136926165,84403962,137000779
5,6,38823,889,1085,-2.0,157183268,73055012,160859373
6,7,45525,968,834,-2.0,187105785,135439086,182165391
7,8,44822,980,1837,-2.0,165129718,211523407,184695345
8,9,33033,1046,1569,-2.0,148450929,94918760,143471702
9,10,39937,1183,516,-2.0,157459144,78286293,178713175
10,11,48537,1342,947,-2.0,190077584,216206115,202727415
11,12,63560,1489,1578,-2.0,228869107,141332748,240051813
12,13,52911,1625,488,-2.0,218720022,152095962,280470510
13,14,75489,1758,1259,-2.0,342684202,224716272,344483189
0,1,67674,309,1538,-1.0,227565938,149513525,450750072
1,2,55574,544,1193,-1.0,195483584,107858803,369249333
2,3,39658,642,483,-1.0,131738984,101111400,273310656
3,4,86294,905,463,-1.0,313435733,197621859,578160137
4,5,48495,925,1570,-1.0,182685096,99791496,333555556
5,6,37420,1190,1548,-1.0,129836425,106672414,263334661
6,7,35465,1271,507,-1.0,123248222,81085521,257319768
7,8,40950,1372,1199,-1.0,176878228,97982712,301581609
8,9,38934,1570,681,-1.0,158299736,64487423,272539689
9,10,44462,1642,925,-1.0,162519795,105199628,298541862
10,11,37986,1844,770,-1.0,135079783,73125909,258364662
11,12,41043,1871,1629,-1.0,132544745,71386578,278410306
0,1,35256,72,591,-1.0,131753729,101398374,267953848
1,2,40934,509,797,-1.0,171744112,120466876,330123608
2,3,50707,707,1302,-1.0,287065053,292777216,445128939
3,4,45637,877,243,-1.0,170976508,179035845,338678909
4,5,41960,974,725,-1.0,171959168,147084729,334126092
5,6,41440,1017,1376,-1.0,183051630,95811894,309841332
6,7,37886,1040,1007,-1.0,151337940,109898930,303923497
7,8,56664,1253,1632,-1.0,254214188,194753277,459808181
8,9,38660,1809,669,-1.0,169591676,106236267,294715487
0,1,59554,349,1737,-1.0,249916116,227137757,538562822
1,2,34491,558,1044,-1.0,170154663,162038997,330579873
2,3,50587,975,147,-1.0,199784571,146816905,432806671
3,4,38523,996,1207,-1.0,156980251,139273082,347926894
4,5,50501,1152,969,-1.0,202609039,183019185,450658475
5,6,44462,1172,1471,-1.0,220679613,183177804,398847322
6,7,73849,1392,771,-1.0,270875863,204992916,654663760
7,8,48461,1370,1841,-1.0,173592468,171659884,418697048
8,9,101167,1447,211,-1.0,382106928,256299458,826263158
9,10,65984,1447,1551,-1.0,303806003,151418645,532568311
10,11,64033,1588,1239,-1.0,291245862,136291470,517533694
