Channel_cebp,Channel_dapi,Channel_ppar,Count_nuclei,ExecutionTime_01Images,ExecutionTime_02Metadata,ExecutionTime_03NamesAndTypes,ExecutionTime_04Groups,ExecutionTime_05IdentifyPrimaryObjects,ExecutionTime_06ConvertObjectsToImage,ExecutionTime_08MeasureObjectIntensity,ExecutionTime_09MeasureObjectSizeShape,FileName_cebp,FileName_dapi,FileName_ppar,Frame_cebp,Frame_dapi,Frame_ppar,Group_Index,Group_Number,Height_cebp,Height_dapi,Height_ppar,ImageNumber,ImageSet_ImageSet,MD5Digest_cebp,MD5Digest_dapi,MD5Digest_ppar,Metadata_ChannelNumber,Metadata_FileLocation,Metadata_Frame,Metadata_Plate,Metadata_Series,Metadata_Site,Metadata_Well,ModuleError_01Images,ModuleError_02Metadata,ModuleError_03NamesAndTypes,ModuleError_04Groups,ModuleError_05IdentifyPrimaryObjects,ModuleError_06ConvertObjectsToImage,ModuleError_08MeasureObjectIntensity,ModuleError_09MeasureObjectSizeShape,PathName_cebp,PathName_dapi,PathName_ppar,ProcessingStatus,Scaling_cebp,Scaling_dapi,Scaling_ppar,Series_cebp,Series_dapi,Series_ppar,Threshold_FinalThreshold_nuclei,Threshold_OrigThreshold_nuclei,Threshold_SumOfEntropies_nuclei,Threshold_WeightedVariance_nuclei,URL_cebp,URL_dapi,URL_ppar,Width_cebp,Width_dapi,Width_ppar
-1,-1,-1,364.0,0,0,8.9375,0,125.796875,33.359375,96.859375,322.921875,img1824-c2.tiff,img1824-c1.tiff,img1824-c3.tiff,0,0,0,1,1,7545,7545,7545,1,eLud1hpXGy3dR7tXgybcRot38sLNmFrhBsq2dgC28D9J,711731edc244258e19d5723bf6f28641,1490642ee79ea391fb0cc5670ba1e832,bdbc24097bc25b5e42b855c2f4f49f04,nan,nan,0,nan,0,nan,nan,0,0,0,0,0,0,0,0,Z:\TAD\190603_3t3l1_timecourse\t2d\111kb_imgs,Z:\TAD\190603_3t3l1_timecourse\t2d\111kb_imgs,Z:\TAD\190603_3t3l1_timecourse\t2d\111kb_imgs,Done,65535,65535,65535,0,0,0,0.06935226917266846,0.06935226917266846,-12.400827779287528,0.5392596071446898,file:///Z:/TAD/190603_3t3l1_timecourse/t2d/111kb_imgs/img1824-c2.tiff,file:///Z:/TAD/190603_3t3l1_timecourse/t2d/111kb_imgs/img1824-c1.tiff,file:///Z:/TAD/190603_3t3l1_timecourse/t2d/111kb_imgs/img1824-c3.tiff,7539,7539,7539
-1,-1,-1,348.0,0,0,8.765625,0,131.28125,32.8125,86.953125,380.3125,img1825-c2.tiff,img1825-c1.tiff,img1825-c3.tiff,0,0,0,2,1,7544,7544,7544,2,eLud1hpXGy3dRxtngybcRot38sLNmFrhBsq2dgC7iz9M,ed9ff34f8e0141356a76e46a18ab5551,b3aeded17036f54dc97ed4fb0c65e7b9,b817d9f7cb08c636f0c1c44628a80660,nan,nan,0,nan,0,nan,nan,0,0,0,0,0,0,0,0,Z:\TAD\190603_3t3l1_timecourse\t2d\111kb_imgs,Z:\TAD\190603_3t3l1_timecourse\t2d\111kb_imgs,Z:\TAD\190603_3t3l1_timecourse\t2d\111kb_imgs,Done,65535,65535,65535,0,0,0,0.06119191227480769,0.06119191227480769,-11.921633828383705,0.5836656622094462,file:///Z:/TAD/190603_3t3l1_timecourse/t2d/111kb_imgs/img1825-c2.tiff,file:///Z:/TAD/190603_3t3l1_timecourse/t2d/111kb_imgs/img1825-c1.tiff,file:///Z:/TAD/190603_3t3l1_timecourse/t2d/111kb_imgs/img1825-c3.tiff,7546,7546,7546
-1,-1,-1,372.0,0,0,9.296875,0,129.296875,34.1875,95.953125,358.40625,img1831-c2.tiff,img1831-c1.tiff,img1831-c3.tiff,0,0,0,3,1,7542,7542,7542,3,eLud1hpXGy3dR0v3QRNuo8U7eeFmTK1wA2VbOwCtvT9D,b941f22777fa0c5aec636bbfd84c23a7,c8aee1b9df3908608752e1ddf745e15a,1799fc7f52d8bec86d2178815570deaf,nan,nan,0,nan,0,nan,nan,0,0,0,0,0,0,0,0,Z:\TAD\190603_3t3l1_timecourse\t2d\111kb_imgs,Z:\TAD\190603_3t3l1_timecourse\t2d\111kb_imgs,Z:\TAD\190603_3t3l1_timecourse\t2d\111kb_imgs,Done,65535,65535,65535,0,0,0,0.08603113424032927,0.08603113424032927,-12.565506582124407,0.3831931480575266,file:///Z:/TAD/190603_3t3l1_timecourse/t2d/111kb_imgs/img1831-c2.tiff,file:///Z:/TAD/190603_3t3l1_timecourse/t2d/111kb_imgs/img1831-c1.tiff,file:///Z:/TAD/190603_3t3l1_timecourse/t2d/111kb_imgs/img1831-c3.tiff,7523,7523,7523
-1,-1,-1,337.0,0,0,9.265625,0,125.828125,32.890625,82.125,334.71875,img1833-c2.tiff,img1833-c1.tiff,img1833-c3.tiff,0,0,0,4,1,7543,7543,7543,4,eLud1hpXGy3daZAcR0t38sJttHgnL9yMqRVuoGxrBwC28z9J,9c650b485a1960e7348e4d534ad06f74,424efe2e27e78c426aa70282e4843fd1,d4eec54e0ed0c0a14405ac2d4ae770d6,nan,nan,0,nan,0,nan,nan,0,0,0,0,0,0,0,0,Z:\TAD\190603_3t3l1_timecourse\t2d\111kb_imgs,Z:\TAD\190603_3t3l1_timecourse\t2d\111kb_imgs,Z:\TAD\190603_3t3l1_timecourse\t2d\111kb_imgs,Done,65535,65535,65535,0,0,0,0.07745550805702806,0.07745550805702806,-12.745747758566077,0.41563916578188126,file:///Z:/TAD/190603_3t3l1_timecourse/t2d/111kb_imgs/img1833-c2.tiff,file:///Z:/TAD/190603_3t3l1_timecourse/t2d/111kb_imgs/img1833-c1.tiff,file:///Z:/TAD/190603_3t3l1_timecourse/t2d/111kb_imgs/img1833-c3.tiff,7538,7538,7538
