Channel_cebp,Channel_dapi,Channel_ppar,Count_nuclei,ExecutionTime_01Images,ExecutionTime_02Metadata,ExecutionTime_03NamesAndTypes,ExecutionTime_04Groups,ExecutionTime_05IdentifyPrimaryObjects,ExecutionTime_06ConvertObjectsToImage,ExecutionTime_08MeasureObjectIntensity,ExecutionTime_09MeasureObjectSizeShape,FileName_cebp,FileName_dapi,FileName_ppar,Frame_cebp,Frame_dapi,Frame_ppar,Group_Index,Group_Number,Height_cebp,Height_dapi,Height_ppar,ImageNumber,ImageSet_ImageSet,MD5Digest_cebp,MD5Digest_dapi,MD5Digest_ppar,Metadata_ChannelNumber,Metadata_FileLocation,Metadata_Frame,Metadata_Plate,Metadata_Series,Metadata_Site,Metadata_Well,ModuleError_01Images,ModuleError_02Metadata,ModuleError_03NamesAndTypes,ModuleError_04Groups,ModuleError_05IdentifyPrimaryObjects,ModuleError_06ConvertObjectsToImage,ModuleError_08MeasureObjectIntensity,ModuleError_09MeasureObjectSizeShape,PathName_cebp,PathName_dapi,PathName_ppar,ProcessingStatus,Scaling_cebp,Scaling_dapi,Scaling_ppar,Series_cebp,Series_dapi,Series_ppar,Threshold_FinalThreshold_nuclei,Threshold_OrigThreshold_nuclei,Threshold_SumOfEntropies_nuclei,Threshold_WeightedVariance_nuclei,URL_cebp,URL_dapi,URL_ppar,Width_cebp,Width_dapi,Width_ppar
-1,-1,-1,304.0,0,0,8.703125,0,120.28125,32.75,84.40625,310.859375,img173-c2.tiff,img173-c1.tiff,img173-c3.tiff,0,0,0,1,1,7541,7541,7541,1,eLv7eP9bsxmtikarosERbKN1EVnBZkytYAPlWTsAiuk+vw==,1e76dc4bf2ad9ca3519020b564fc238a,80b806cf346432ff24250efe130b1e21,1d9780dc63aff84cf596fbfaf27407d8,nan,nan,0,nan,0,nan,nan,0,0,0,0,0,0,0,0,Z:\TAD\190603_3t3l1_timecourse\t4h\111kb_imgs,Z:\TAD\190603_3t3l1_timecourse\t4h\111kb_imgs,Z:\TAD\190603_3t3l1_timecourse\t4h\111kb_imgs,Done,65535,65535,65535,0,0,0,0.06329813553020358,0.06329813553020358,-11.851411279100537,0.25832303987927635,file:///Z:/TAD/190603_3t3l1_timecourse/t4h/111kb_imgs/img173-c2.tiff,file:///Z:/TAD/190603_3t3l1_timecourse/t4h/111kb_imgs/img173-c1.tiff,file:///Z:/TAD/190603_3t3l1_timecourse/t4h/111kb_imgs/img173-c3.tiff,7538,7538,7538
-1,-1,-1,297.0,0,0,9.203125,0,121.859375,33.21875,80.234375,306.21875,img174-c2.tiff,img174-c1.tiff,img174-c3.tiff,0,0,0,2,1,7538,7538,7538,2,eLv7eP9bsxmtiqie3UarIrKCbbQuIivYjKkVbKA8awcAj4E+wg==,cc00f36053ba051875454f9a47a2b134,47a22d8aae677ea66d82b2011b483b6d,8b9394400e7ddc3dc685bd5c64660c2c,nan,nan,0,nan,0,nan,nan,0,0,0,0,0,0,0,0,Z:\TAD\190603_3t3l1_timecourse\t4h\111kb_imgs,Z:\TAD\190603_3t3l1_timecourse\t4h\111kb_imgs,Z:\TAD\190603_3t3l1_timecourse\t4h\111kb_imgs,Done,65535,65535,65535,0,0,0,0.04274951573461294,0.04274951573461294,-12.129525688453654,0.26526127581401193,file:///Z:/TAD/190603_3t3l1_timecourse/t4h/111kb_imgs/img174-c2.tiff,file:///Z:/TAD/190603_3t3l1_timecourse/t4h/111kb_imgs/img174-c1.tiff,file:///Z:/TAD/190603_3t3l1_timecourse/t4h/111kb_imgs/img174-c3.tiff,7537,7537,7537
-1,-1,-1,253.0,0,0,9.328125,0,122.484375,34.25,72.90625,326.78125,img175-c2.tiff,img175-c1.tiff,img175-c3.tiff,0,0,0,3,1,7515,7515,7515,3,eLv7eP9bsxmtiqieGEerIrKCbbQuIivYjKkVbKA8awcAlBk+xQ==,c77adcdad3317ff63ad896cf2ecb0a18,cec24445742af6839b6140f1dce82c25,29e759efd2c95cd19e6f82884f5f9818,nan,nan,0,nan,0,nan,nan,0,0,0,0,0,0,0,0,Z:\TAD\190603_3t3l1_timecourse\t4h\111kb_imgs,Z:\TAD\190603_3t3l1_timecourse\t4h\111kb_imgs,Z:\TAD\190603_3t3l1_timecourse\t4h\111kb_imgs,Done,65535,65535,65535,0,0,0,0.04649736802093685,0.04649736802093685,-12.251381797256705,0.26926473559290615,file:///Z:/TAD/190603_3t3l1_timecourse/t4h/111kb_imgs/img175-c2.tiff,file:///Z:/TAD/190603_3t3l1_timecourse/t4h/111kb_imgs/img175-c1.tiff,file:///Z:/TAD/190603_3t3l1_timecourse/t4h/111kb_imgs/img175-c3.tiff,7530,7530,7530
