,label,area,bbox_area,centroid-0,centroid-1,convex_area,eccentricity,equivalent_diameter,extent,local_centroid-0,local_centroid-1,major_axis_length,minor_axis_length,perimeter,solidity,inertia_tensor_eigvals-0,inertia_tensor_eigvals-1,moments_hu-0,moments_hu-1,moments_hu-2,moments_hu-3,moments_hu-4,moments_hu-5,moments_hu-6
0,1,20667,28152,68,428,22701,0.5779159146121184,162.21603395176942,0.7341219096334186,68,85,184.382443713334,150.47383289694216,682.3574311003805,0.9104004228888595,2124.8053468562985,1415.1483991685545,0.1712853218185926,0.001179076650345903,0.0001391670731730713,5.154182101192767e-06,-1.3498004293443104e-10,-1.4681571264030606e-07,-2.8908252527316705e-11
2,3,2295,3008,174,13,2324,0.932010285675068,54.05631096520737,0.7629654255319149,49,13,92.41249852346554,33.493230444611925,219.88225099390857,0.9875215146299484,533.754367709345,70.11228035099244,0.263122722466378,0.04081316970586057,0.0018273024914434864,0.00024685600173740243,4.9390449838231886e-08,-4.3899629647504985e-06,-1.5826711809188598e-07
6,7,81474,108811,648,414,87418,0.8906661127613885,322.080608959547,0.7487662092986922,233,110,486.24265371777125,221.07410101845846,1265.5676759431465,0.932004850259672,14776.994893406274,3054.6098838199737,0.2188625178244133,0.020701122010477694,4.022975031277251e-05,6.418190323321485e-06,8.574329571019525e-11,7.831904548316387e-07,-5.730840559338166e-11
7,8,2065,3315,697,209,2161,0.8738560645812496,51.27611198090307,0.6229260935143288,22,33,74.73926752703473,36.33708958147312,187.58073580374355,0.955576122165664,349.12238190485425,82.52400495325017,0.2090297272920602,0.01666766987980924,0.0005390871665402181,4.3018714123405796e-05,-3.337461497501403e-09,-3.802362976117762e-06,5.637245747132152e-09
8,9,31783,44929,910,1928,34335,0.7216910330229666,201.16503784285598,0.7074050168042912,131,91,244.62741368244494,169.33484408112145,819.2518754031088,0.9256735109946119,3740.1607203101285,1792.143088748607,0.17406487144255528,0.0037566089680301424,5.187099668669147e-05,8.672055749307058e-06,1.5773689035826264e-10,3.578448294066765e-07,9.459492224572804e-11
11,12,109549,199430,1420,1829,134203,0.8749170954816095,373.4730497454834,0.5493105350248207,212,188,588.2897328237274,284.89267434563635,1779.6164491784255,0.8162932274241261,21630.300609113285,5072.7397434880495,0.24375430494665704,0.022844196401108265,0.0024048520384158095,0.00044194508840569846,3.381641816284933e-07,3.4644937829295195e-05,-3.0533376649026764e-07
12,13,3033,4818,1275,728,3233,0.43990394419426326,62.14286394415491,0.6295143212951432,34,39,68.84058117255891,61.82192813857801,228.8944443027283,0.9381379523662233,296.1891010109796,238.87192492321896,0.1764131308718096,0.00035712869770858314,0.0016777051465615297,9.66987916512455e-06,7.536251393964126e-10,1.825254000456642e-07,-9.741793408808173e-10
13,14,15588,38212,1399,674,19558,0.9029230116932528,140.88029678891124,0.40793468020517115,113,78,223.99018412186047,96.27150096931624,695.0092347159894,0.7970140096124348,3135.7251614340594,579.262618680316,0.23832356813666766,0.026896642679180946,0.0003743423877973228,6.141114368151693e-05,9.190851163416073e-09,9.582579858668616e-06,1.4921632180724785e-09
15,16,4055,8774,1525,622,4847,0.8916792182790964,71.85392371959297,0.46216093002051517,61,39,115.32693294930927,52.20479341784213,312.3919189857867,0.8365999587373634,831.2688414684047,170.33377848747335,0.24700434524189346,0.026566593280592094,0.004704483636752688,0.0019098310024756703,5.664055123149494e-06,0.0003026871039769158,8.306709405011013e-07
17,18,11109,15225,2007,1101,11225,0.853099631362298,118.93030775400744,0.7296551724137931,50,77,170.74154626047033,89.08406739033158,456.73506473629425,0.9896659242761693,1822.0422262135207,495.9981914253212,0.20866328361138192,0.014248395411688052,0.0017817177449967814,0.00021707091972135586,9.007922211243394e-08,1.2843791038205315e-05,1.0054720046087064e-07
