,label,area,bbox_area,centroid-0,centroid-1,convex_area,eccentricity,equivalent_diameter,extent,local_centroid-0,local_centroid-1,major_axis_length,minor_axis_length,perimeter,solidity,inertia_tensor_eigvals-0,inertia_tensor_eigvals-1,moments_hu-0,moments_hu-1,moments_hu-2,moments_hu-3,moments_hu-4,moments_hu-5,moments_hu-6
1,2,22538,30125,254,464,22943,0.8890106615703922,169.39974279567573,0.748149377593361,121,61,250.73485460718348,114.80810410930633,621.9726547895301,0.9823475569890598,3929.2479571803397,823.8062980733325,0.21089068485463092,0.018985236009600125,1.519735757445195e-05,1.8807029519382189e-06,5.723396937554129e-12,8.690431166309291e-08,-8.266649884702948e-12
2,3,29215,37436,266,763,29467,0.2770773360335388,192.86703528451352,0.7803985468532962,97,92,196.85287597960166,189.14561747727427,639.9554108468271,0.9914480605423016,2421.940923840027,2236.00403817871,0.1594367606373006,4.0505996765825754e-05,6.5025431897386295e-06,1.3963650084855532e-09,-8.081622624845158e-17,-1.7764547705340637e-12,1.0570285191325613e-16
3,4,23246,30051,509,1305,23457,0.6709880428879933,172.0398978635874,0.7735516288975408,78,94,200.05204249573944,148.332221743214,581.286363288515,0.9910048173253186,2501.3012316698214,1375.1530004548758,0.1667579038167727,0.0023469003576546046,1.218460624549617e-06,4.9611489510064236e-08,-1.1317249738745631e-14,-2.3358721641135305e-09,4.550227104260949e-15
4,5,25008,31400,566,128,25505,0.6565549551611428,178.44095531782202,0.7964331210191082,99,76,206.10840796734354,155.46307730757255,610.3574311003804,0.980513624779455,2655.0422396770573,1510.5480253712676,0.16657030810333995,0.0020944465502635897,5.625525543099525e-06,4.58859252090374e-08,-2.6790830616449868e-15,8.928648398294898e-10,-2.315869288242364e-14
6,7,25444,32437,874,1782,25607,0.5694453093758564,179.98974130833534,0.7844128618552887,81,96,198.71319355581662,163.34805163487096,598.7422074112307,0.9936345530518998,2467.933330821965,1667.6616233067793,0.16253713858389973,0.0009892456580921133,2.811143663268315e-05,2.8890256371498896e-07,8.212598108573469e-13,9.08013401364164e-09,-5.820640220748538e-14
7,8,30986,42411,910,809,32104,0.17902229546213527,198.62678704838316,0.7306123411379123,98,98,200.93534949927758,197.68924236972447,687.3523804664972,0.9651756790431099,2523.438417399802,2442.564784294729,0.1602660298746057,6.812129161861567e-06,7.869819714014955e-06,2.0966808612518852e-07,2.3740933187562265e-13,-4.864355154129565e-10,-1.271777271619623e-13
8,9,47242,69954,1021,1144,48260,0.6912989438284628,245.25574931564512,0.675329502244332,126,133,290.84671521446467,210.15678202738886,855.6610383315985,0.9789059262329051,5286.988234440244,2760.3670645067145,0.17034323904464158,0.0028603798551944198,0.00018344159080614048,4.165762489216398e-06,7.533361931819846e-11,1.5817715886018225e-07,8.709764600460663e-11
9,10,32974,43232,1136,418,33251,0.6443993176546595,204.89948937978656,0.7627220577350111,110,97,234.4131995060338,179.25323384702503,688.239682094289,0.9916694234759856,3434.3467564159755,2008.2326152885153,0.16505669229406472,0.0018705327026274695,3.860698254391179e-06,6.070912490118389e-08,6.576737954038058e-15,2.161925584689595e-10,2.864568925753863e-14
10,11,24594,34038,1153,1843,25200,0.1641626671061319,176.9577728250912,0.7225453904459721,89,87,178.58664976546464,176.1638149491716,602.0975464705581,0.9759523809523809,1993.3244671532955,1939.6056060903736,0.15991420969519676,4.770844430271184e-06,2.2710641771064837e-05,1.5972561594863506e-08,-7.65579021501309e-15,2.832645916520765e-11,5.825282026280546e-15
11,12,41019,57534,1366,540,42126,0.5492505961837806,228.53230162384406,0.7129523412243195,112,124,250.39112211598584,209.24126786287928,791.6782822743016,0.9737216920666572,3918.4821271564083,2736.369261054075,0.16223826490676233,0.0008305155176752124,4.868548452270141e-06,5.0682192149274944e-08,-2.0543000347978488e-14,-1.1082804089502147e-09,-1.455351310330535e-14
