,label,area,bbox_area,centroid-0,centroid-1,convex_area,eccentricity,equivalent_diameter,extent,local_centroid-0,local_centroid-1,major_axis_length,minor_axis_length,perimeter,solidity,inertia_tensor_eigvals-0,inertia_tensor_eigvals-1,moments_hu-0,moments_hu-1,moments_hu-2,moments_hu-3,moments_hu-4,moments_hu-5,moments_hu-6
1,2,32190,39831,99,609,32375,0.6421886269796304,202.4489588637711,0.8081644949913384,99,94,232.40321222738092,178.14790389610323,689.3868683519033,0.9942857142857143,3375.7033158503164,1983.542228910952,0.16648790135946778,0.0018704109115911475,6.785422936035626e-05,6.590985091399441e-07,-6.142724712800165e-13,-2.214355536058781e-08,-4.364706299089457e-12
2,3,30958,38280,71,1170,31080,0.7000396082364915,198.53702381649416,0.8087251828631139,71,121,239.40735818551886,170.9617561468762,693.3452377915606,0.996074646074646,3582.2426970855827,1826.7451290514978,0.17472019594731836,0.0032155455982194755,0.0006116232728089661,2.9580196046129527e-05,1.4151259888612421e-09,4.031771460210671e-07,3.718554231834232e-09
3,4,10394,13664,161,2021,10495,0.9535077399784332,115.03934904187038,0.7606850117096019,115,34,216.31233202064016,65.18972913680001,508.7645019878171,0.9903763696998571,2924.439061512979,265.6062990580846,0.30691219555234406,0.06543598107846527,0.002290180882309933,0.0002524417084250348,-7.779859751127087e-08,-4.018546388311089e-05,1.7547142119923063e-07
5,6,30222,36582,386,1967,30380,0.401110802854505,196.16280361216826,0.8261440052484829,99,101,208.25214766758555,190.7651196776935,671.2031021678297,0.9947992100065832,2710.5598130101157,2274.458180352795,0.1649466611528989,0.00020822315501292974,0.00043376453260129873,4.711304856864244e-06,-1.4409858013253572e-10,-4.421027355704454e-08,-1.5683137807791589e-10
6,7,38780,50826,463,167,39046,0.7201363026952518,222.20762710768867,0.7629953173572581,98,128,266.81686896603236,185.12624744032146,754.7665940288701,0.9931875224094657,4449.452597802305,2141.9829682084455,0.16996997333704875,0.003540432981262451,3.717571726832935e-06,9.348363641189242e-08,-2.817298579937839e-14,-3.263545840973914e-09,-4.73648839013775e-14
8,9,90386,122130,668,1097,90940,0.6499918295771226,339.23889737238625,0.7400802423646934,178,171,389.2497871160038,295.80694879059143,1147.4255403194156,0.9939080712557731,9469.712298115894,5468.859434549973,0.16527528303792471,0.0019593085125090568,2.6832841004805126e-06,4.541034521656039e-08,9.218999239088046e-15,1.0511583035659529e-09,-1.2894747574632483e-14
9,10,37527,48000,635,575,37755,0.5719683368383031,218.5883354510859,0.7818125,117,98,241.4436691546143,198.0503743796223,731.3107499061545,0.9939610647596345,3643.440335927678,2451.4969244942845,0.16241472167831061,0.001008842989198087,8.946680841340836e-06,9.294187519034513e-08,6.960268710199304e-14,2.3993624531612844e-09,-4.8356040731183884e-14
10,11,32540,41990,725,365,32742,0.5110251366314735,203.5465911915063,0.7749464158132888,109,94,219.6001099790048,188.76073721424135,676.8254685319159,0.993830554028465,3014.0130189244373,2226.913494603992,0.1610610483567434,0.0005850920574568441,2.7440623845638246e-06,9.564171340428653e-09,-1.8059174064633457e-16,-5.123310843251851e-11,1.5388555146132532e-15
12,13,37489,46805,962,1464,37708,0.681372966719712,218.47763568058062,0.8009614357440444,92,124,255.44726446104352,186.9711487974196,735.9970414071697,0.9941922138538242,4078.3315575393945,2184.888155164176,0.16706819901047162,0.0025509206178464493,6.113859079883558e-06,1.753407080546413e-07,1.7541482414360146e-13,8.510925281381986e-09,4.6774514543962843e-14
13,14,35714,44919,992,930,35922,0.33576089077849725,213.24276564674264,0.7950755804893253,101,107,219.7938802218358,207.03424132658685,707.1686142824235,0.9942096765213518,3019.3343614356686,2678.9485676047125,0.15955319843871818,9.083764449177135e-05,5.884446635468658e-06,5.2075599109402566e-09,9.034923366296288e-16,4.734616310325114e-11,-1.213087578855483e-16
