,label,area,bbox_area,centroid-0,centroid-1,convex_area,eccentricity,equivalent_diameter,extent,local_centroid-0,local_centroid-1,major_axis_length,minor_axis_length,perimeter,solidity,inertia_tensor_eigvals-0,inertia_tensor_eigvals-1,moments_hu-0,moments_hu-1,moments_hu-2,moments_hu-3,moments_hu-4,moments_hu-5,moments_hu-6
0,1,22383,27716,73,157,22572,0.2153573702329528,168.8162336086407,0.80758406696493,73,83,172.36743850976333,168.32288924089113,572.3746750430836,0.9916267942583732,1856.908366151065,1770.7871901500812,0.16207369683693637,1.4804144439173212e-05,0.00022322487301804425,5.580539799054756e-07,2.0748007808146056e-12,2.137210562583439e-09,5.872801372576068e-12
4,5,40307,53463,278,1754,40611,0.6570952702212925,226.54020907918357,0.7539232740399903,107,124,261.1639821228692,196.86737863940553,768.5655839020934,0.9925143434044963,4262.914097392147,2422.2977982719417,0.16585734228953009,0.0020852857539825744,6.612023070727335e-06,9.360841504310001e-08,9.516364675139957e-15,8.633084868912074e-10,7.3026921096429e-14
7,8,118454,194038,693,1785,129918,0.6983764032555667,388.3559154075794,0.610468052649481,227,200,476.8439704200223,341.29185689830484,1529.53318805774,0.9117597253652304,14211.260757870694,7280.008224068312,0.18143134872557282,0.003423922950405119,0.0006100353516127379,1.9435741669274562e-05,-2.048123022924737e-09,-1.0805794775613457e-06,-5.328770240922988e-10
11,12,9271,12675,733,26,9345,0.9281610983916009,108.64715283540427,0.731439842209073,100,26,184.77611290430897,68.76973118289033,454.8711037056154,0.9920813269127876,2133.8882437516213,295.57974543543736,0.26205026309859325,0.03931729469179582,0.0023088932622164116,0.00021135486744560536,-9.609447340542293e-08,-3.259616962245252e-05,-1.1209395751916653e-07
14,15,56156,74025,1101,148,61057,0.7727687408964833,267.3949137028373,0.7586085781830463,112,148,346.58130480826634,219.97089027306308,1035.9036790187176,0.9197307434037048,7507.412552662526,3024.199535470247,0.18754206296981216,0.006373623691288883,0.0001793943795659046,4.624332637166785e-06,-1.3312871721750397e-10,-2.6426235101907673e-07,4.104061376614146e-12
19,20,76222,122177,1592,1460,86239,0.7511270483584648,311.5266675243126,0.6238653756435336,199,171,404.69582275787667,267.163053851799,1310.8813844421313,0.8838460557288466,10236.169309854671,4461.006083963704,0.19282064750096267,0.005740739584923827,0.0004497035569869935,1.2999799395013552e-05,4.016671929652451e-10,6.661720530849256e-07,-9.0918449372183e-10
24,25,1,1,1745,6,1,0.0,1.1283791670955126,1.0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,27,628,812,1929,1157,648,0.32452101689386115,28.277100878514442,0.7733990147783252,13,13,29.114865072804207,27.539124484639338,91.25483399593905,0.9691358024691358,52.97971051297465,47.400211086278865,0.1598406394892572,7.893528604735131e-05,3.238708530185037e-05,1.2649334663945797e-08,8.083771341806524e-15,9.444939245516048e-11,4.5052816359349195e-16
27,28,10620,14007,2014,888,10721,0.9325915620412768,116.2832918569449,0.758192332405226,39,101,199.6440873143887,72.05823558977517,482.0071426749364,0.9905792370114728,2491.110099974704,324.5243322694713,0.2651256527536888,0.04162006349125298,0.001883894289186262,0.0001604543432798052,-8.629324350299614e-08,-3.227257182672113e-05,-1.8325658596521912e-08
28,29,1,1,2013,1570,1,0.0,1.1283791670955126,1.0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
