,label,area,bbox_area,centroid-0,centroid-1,convex_area,eccentricity,equivalent_diameter,extent,local_centroid-0,local_centroid-1,major_axis_length,minor_axis_length,perimeter,solidity,inertia_tensor_eigvals-0,inertia_tensor_eigvals-1,moments_hu-0,moments_hu-1,moments_hu-2,moments_hu-3,moments_hu-4,moments_hu-5,moments_hu-6
1,2,19462,24928,71,903,19968,0.4528997134648959,157.41597129781888,0.7807284980744544,71,83,167.16123608860448,149.0345168824601,536.7594513539337,0.9746594551282052,1746.4299281668855,1388.2054513992678,0.16106440137530334,0.00033879389636148487,1.0509761220292335e-05,4.378121581803869e-08,2.8799480834000624e-14,5.943551079115532e-10,-7.250169650914443e-15
5,6,19139,26123,122,1339,19994,0.616552936561236,156.10423327599506,0.7326493894269418,87,72,176.765277924215,139.1696816858394,553.6122650963194,0.9572371711513454,1952.8727174765609,1210.5125187836168,0.1652847712137613,0.0015044954331557754,4.6398969236610705e-06,1.4240593442631468e-07,-1.1566192203023084e-13,-2.74440505621674e-10,4.684368377965147e-15
11,12,18025,25921,395,1690,18373,0.7762352760168882,151.49304536463484,0.6953821226032946,84,85,191.75825312353206,120.89271225118007,533.0853531617382,0.9810591629020846,2298.2017275617873,913.440492215414,0.1781770995715507,0.005902000585311319,0.00016093571749804014,5.940837485859328e-06,-5.490594323290841e-11,-2.2250127840267527e-07,1.7529760845360695e-10
18,19,36066,81125,669,539,42079,0.9453147764295856,214.2910577238779,0.44457318952234204,143,143,397.93917367140097,129.7916138677575,949.033621333629,0.8571021174457568,9897.224121392339,1052.8664393998163,0.30361255921899166,0.060136291048052466,0.0005422595495046924,0.00022387296927342277,7.799983623703076e-08,5.4614679921433075e-05,5.894970776907842e-10
23,24,22759,29400,1078,1635,23021,0.6696980392895939,170.22825499495542,0.7741156462585034,93,72,198.05952646901702,147.08564213028774,578.7005768508881,0.9886190869206377,2451.7235015707033,1352.136632554942,0.16713652331498066,0.002334278867265598,6.528072714499272e-05,1.4774678684368464e-06,1.3708906242262703e-11,6.415396677035553e-08,-4.754794490821579e-12
24,25,58523,79442,1111,1360,59017,0.6614895188533857,272.97215586307686,0.7366758138012638,122,150,315.9616202565405,236.9568103691454,929.9036790187176,0.9916295304742702,6239.484092196144,3509.283123769945,0.16658010040438959,0.0021763867397093187,4.7040037017495016e-05,1.428021370097131e-06,1.1221027483913744e-11,6.504209633126222e-08,3.3276344893574112e-12
28,29,25189,34506,1264,578,27374,0.782373789937547,179.08554071262708,0.7299889874224772,110,84,230.0983762380472,143.30737698353806,685.2274887854692,0.9201797325929715,3309.07892171162,1283.5627686188684,0.1823272734261181,0.00646620648920744,0.00019975286610879323,1.49735257127129e-05,-4.0072166782641226e-10,-6.85658539279744e-07,7.141601725634936e-10
30,31,27278,37635,1360,1171,27775,0.500409922810126,186.36369899013533,0.724804038793676,96,97,200.82044705213312,173.8680547789447,631.9970414071697,0.9821062106210621,2520.5532471386623,1889.381279538382,0.1616663438183534,0.000535390122194542,9.699331987194323e-06,1.688444327338782e-07,-2.0445143922380991e-13,-2.767700817679213e-09,6.990896900953492e-14
33,34,17083,22701,1459,918,17605,0.542318079247776,147.48135862783062,0.7525219153341263,81,71,161.48276422272602,135.67349988401378,510.1147904132612,0.9703493325759728,1629.7926963132827,1150.4561606735929,0.1627494501543567,0.0007873227190987918,2.940379427438243e-05,6.141296777114177e-07,1.2478810958239661e-12,9.752775981891919e-09,-2.292022127524902e-12
34,35,24429,31243,1483,486,24686,0.6464756164045556,176.3631731352532,0.7819031463047723,79,100,202.48887067901472,154.48577531196705,600.2152954766495,0.9895892408652678,2562.6089218039215,1491.6159233587227,0.16595950899188028,0.001922037622014113,3.8189386689400874e-05,6.587733262587659e-07,-1.805038557421134e-12,-2.2990417809383018e-08,2.7676754119602452e-12
35,36,18347,23652,1520,1744,18651,0.43451011577572485,152.84019735415166,0.7757060713681718,72,79,161.26720785354803,145.2480446323203,513.58787847868,0.9837006058656372,1625.4445205549662,1318.562154344532,0.16046256471900028,0.00027977811920449713,9.773110061092992e-06,8.565012949968192e-08,-4.3255105366309165e-14,-9.165643053024871e-10,6.534279951281516e-14
36,37,22066,27540,1652,1618,22427,0.2879479468733136,167.61653794935063,0.8012345679012346,81,85,171.67610710287443,164.40494789108124,567.2447327281723,0.9839033308066171,1842.0428593748509,1689.3116806918213,0.1600360074352702,4.7908015244469305e-05,6.49613552645741e-06,3.053928634391491e-08,-1.3398880839773825e-14,-7.663145105237244e-11,2.3442595742487646e-15
37,38,14871,19865,1729,772,15212,0.3665507162829046,137.6021266905298,0.7486030707274101,74,70,143.0098535728248,133.05609204201716,470.5168106668145,0.9775834867210097,1278.2386386825494,1106.4952268433588,0.16036136544455032,0.0001333766562168396,3.566186967701547e-05,3.673847239598368e-08,2.4151934314803542e-14,1.748722917682011e-10,3.442427437380272e-14
39,40,17520,22330,1778,564,17692,0.30998087081837417,149.35580612671222,0.7845947156291984,75,71,153.3066779660273,145.75521929859457,497.00209204105306,0.9902780917929007,1468.9335943112,1327.786497048837,0.15963014220091531,6.490463301429474e-05,7.290115539590429e-06,5.5451667676751444e-09,-4.43160074185977e-16,-3.748146657758579e-11,-1.023049129884277e-15
41,42,24412,32886,1884,1210,24967,0.5384700321551323,176.30179739887734,0.7423219607127653,85,94,192.6242534889189,162.31379875400768,597.0264786586926,0.9777706572675933,2319.0064395102054,1646.6105791222817,0.1624453964702805,0.0007586532794616546,2.779172430395815e-05,1.2787152522972533e-07,5.2754196833632533e-14,-8.342293258168847e-10,2.35212971706804e-13
43,44,25453,34112,1921,1923,25911,0.5958746452568269,180.02157129673125,0.7461597091932458,79,102,201.38620689028778,161.72872355613265,615.8132752230962,0.9823241094515842,2534.775270353612,1634.7612514434984,0.1638131662985546,0.00125031831647237,3.251952149491592e-05,5.374324396837815e-07,1.3496776889982158e-12,4.366469185302179e-09,-1.796198391046299e-12
