,label,area,bbox_area,centroid-0,centroid-1,convex_area,eccentricity,equivalent_diameter,extent,local_centroid-0,local_centroid-1,major_axis_length,minor_axis_length,perimeter,solidity,inertia_tensor_eigvals-0,inertia_tensor_eigvals-1,moments_hu-0,moments_hu-1,moments_hu-2,moments_hu-3,moments_hu-4,moments_hu-5,moments_hu-6
0,1,11753,15824,35,1631,11832,0.8557446002093881,122.32900052429255,0.7427325581395349,35,90,176.0224037783442,91.07372281809377,471.5634918610405,0.9933231913455037,1936.4929144941527,518.4014367466859,0.2088738493355602,0.014558311976393661,0.0015462598007754975,0.00010381647135873595,-3.204172180461667e-08,-1.0146964350828622e-05,-2.652297304148518e-08
5,6,18956,27492,741,1456,21327,0.5109055361121425,155.35613541151102,0.6895096755419758,89,81,176.27323140455235,151.5309673618997,687.955410846827,0.8888263703286914,1942.015756862679,1435.1021293520698,0.1781556175466738,0.0007151127696634903,0.0002316546641211059,3.286340484878114e-05,-2.0626869095431177e-09,-2.279548044516639e-07,-1.991819852499766e-09
15,16,60908,112944,1841,476,68989,0.9058089468689817,278.4788577086765,0.5392761014307975,152,180,446.43856368263357,189.14994061163435,1161.2173875177025,0.8828653843366334,12456.711946438305,2236.10625208655,0.24122969394044874,0.028158180555530928,8.207331980845443e-05,1.3900330734219451e-05,2.599101998662861e-10,1.044571651275212e-06,-3.9099883528107946e-10
