,ImageNumber,ObjectNumber,AreaShape_Area,AreaShape_Center_X,AreaShape_Center_Y,AreaShape_Center_Z,AreaShape_Compactness,AreaShape_Eccentricity,AreaShape_EulerNumber,AreaShape_Extent,AreaShape_FormFactor,AreaShape_MajorAxisLength,AreaShape_MaxFeretDiameter,AreaShape_MaximumRadius,AreaShape_MeanRadius,AreaShape_MedianRadius,AreaShape_MinFeretDiameter,AreaShape_MinorAxisLength,AreaShape_Orientation,AreaShape_Perimeter,AreaShape_Solidity,Intensity_IntegratedIntensityEdge_c2,Intensity_IntegratedIntensityEdge_c3,Intensity_IntegratedIntensityEdge_cebp,Intensity_IntegratedIntensityEdge_dapi,Intensity_IntegratedIntensity_c2,Intensity_IntegratedIntensity_c3,Intensity_IntegratedIntensity_cebp,Intensity_IntegratedIntensity_dapi,Intensity_LowerQuartileIntensity_c2,Intensity_LowerQuartileIntensity_c3,Intensity_LowerQuartileIntensity_cebp,Intensity_LowerQuartileIntensity_dapi,Intensity_MADIntensity_c2,Intensity_MADIntensity_c3,Intensity_MADIntensity_cebp,Intensity_MADIntensity_dapi,Intensity_MassDisplacement_c2,Intensity_MassDisplacement_c3,Intensity_MassDisplacement_cebp,Intensity_MassDisplacement_dapi,Intensity_MaxIntensityEdge_c2,Intensity_MaxIntensityEdge_c3,Intensity_MaxIntensityEdge_cebp,Intensity_MaxIntensityEdge_dapi,Intensity_MaxIntensity_c2,Intensity_MaxIntensity_c3,Intensity_MaxIntensity_cebp,Intensity_MaxIntensity_dapi,Intensity_MeanIntensityEdge_c2,Intensity_MeanIntensityEdge_c3,Intensity_MeanIntensityEdge_cebp,Intensity_MeanIntensityEdge_dapi,Intensity_MeanIntensity_c2,Intensity_MeanIntensity_c3,Intensity_MeanIntensity_cebp,Intensity_MeanIntensity_dapi,Intensity_MedianIntensity_c2,Intensity_MedianIntensity_c3,Intensity_MedianIntensity_cebp,Intensity_MedianIntensity_dapi,Intensity_MinIntensityEdge_c2,Intensity_MinIntensityEdge_c3,Intensity_MinIntensityEdge_cebp,Intensity_MinIntensityEdge_dapi,Intensity_MinIntensity_c2,Intensity_MinIntensity_c3,Intensity_MinIntensity_cebp,Intensity_MinIntensity_dapi,Intensity_StdIntensityEdge_c2,Intensity_StdIntensityEdge_c3,Intensity_StdIntensityEdge_cebp,Intensity_StdIntensityEdge_dapi,Intensity_StdIntensity_c2,Intensity_StdIntensity_c3,Intensity_StdIntensity_cebp,Intensity_StdIntensity_dapi,Intensity_UpperQuartileIntensity_c2,Intensity_UpperQuartileIntensity_c3,Intensity_UpperQuartileIntensity_cebp,Intensity_UpperQuartileIntensity_dapi,Location_CenterMassIntensity_X_c2,Location_CenterMassIntensity_X_c3,Location_CenterMassIntensity_X_cebp,Location_CenterMassIntensity_X_dapi,Location_CenterMassIntensity_Y_c2,Location_CenterMassIntensity_Y_c3,Location_CenterMassIntensity_Y_cebp,Location_CenterMassIntensity_Y_dapi,Location_CenterMassIntensity_Z_c2,Location_CenterMassIntensity_Z_c3,Location_CenterMassIntensity_Z_cebp,Location_CenterMassIntensity_Z_dapi,Location_Center_X,Location_Center_Y,Location_Center_Z,Location_MaxIntensity_X_c2,Location_MaxIntensity_X_c3,Location_MaxIntensity_X_cebp,Location_MaxIntensity_X_dapi,Location_MaxIntensity_Y_c2,Location_MaxIntensity_Y_c3,Location_MaxIntensity_Y_cebp,Location_MaxIntensity_Y_dapi,Location_MaxIntensity_Z_c2,Location_MaxIntensity_Z_c3,Location_MaxIntensity_Z_cebp,Location_MaxIntensity_Z_dapi,Number_Object_Number,time,in_object
2809,121,2,28586,361.0,36.0,1.0,1.0796889366431504,0.6841082253264045,1.0,0.8158105022831049,0.8213969265779827,226.04050263990356,226.947130407062,100.30453628824571,40.38140421852815,36.87817782917155,159.0,164.86953828509345,10.41827392334226,661.3099999999979,0.9928107526134826,8.192645180039108,10.537041306495668,5.3593042297288775,12.179537706077099,524.148290286772,1285.8463444057852,1031.9316730145365,2056.183721089736,0.013397421687841415,0.03906309604644776,0.021301595494151115,0.056672006845474236,0.002471962012350559,0.005767911672592163,0.009308002889156342,0.013550009578466415,2.2112907520219967,0.3879828038867868,4.444037634977882,2.1404656429384774,0.173418790102005,0.034287020564079285,0.022537576034665108,0.03382925316691398,0.19807736575603485,0.11659418791532515,0.21104753017425534,0.15574882924556732,0.0202788247030671,0.026081785412117985,0.013265604529031876,0.030147370559596782,0.01833583888220709,0.04498168139669017,0.036099197964546866,0.07192974606764625,0.015365835279226303,0.04458686336874962,0.02915999107062817,0.07147325575351715,0.010193026624619959,0.02056916244328022,0.009353780187666416,0.026596475392580032,0.008758679032325745,0.02056916244328022,0.009308003820478916,0.026596475392580032,0.016355041429157103,0.002681631311946495,0.0024314225732607877,0.0013074477111267168,0.010551777092091041,0.009421142301718366,0.02398331957961268,0.02232775012417072,0.019226368516683582,0.05058365687727928,0.041069656610488885,0.08378729224205017,369.54302395894064,369.7178803031894,365.6639314872377,369.752106460146,67.92587565330821,69.77993517301542,71.33489819025542,67.96963888808034,0.0,0.0,0.0,0.0,369.93363884418955,70.10239277968236,0,340.0,405.0,388.0,348.0,65.0,121.0,87.0,32.0,0.0,0.0,0.0,0.0,2,-2.0,1.0
2811,121,4,44315,1086.0,158.0,1.0,1.0065172153508712,0.4410711346274293,1.0,0.7743587055287622,0.8850344294907648,250.29301584317585,253.60007886434104,112.72089424769483,39.21867382606269,34.655446902326915,225.55813128378966,224.6310102462018,76.23980632663019,793.2319999999969,0.989008536517324,14.775982367806135,27.55577937327325,12.161135359667242,20.358144549652934,980.8981206659226,2556.998554734513,2012.6354818083344,2272.355661502108,0.015350576490163803,0.05026321858167648,0.02943465299904346,0.040756847709417336,0.003936827182769775,0.006713967770338058,0.008087283000349998,0.008377201855182648,3.0959611859433225,0.6494458873066223,1.9030567369660143,1.8772722135039892,0.1426565945148468,0.06598000973463057,0.04017700627446175,0.03373769670724869,0.5967956185340881,0.16525520384311676,0.2945601642131805,0.1422903835773468,0.02195539727757227,0.04094469446251598,0.01807003768152636,0.030249843313005845,0.022134674955792008,0.057700520246745185,0.045416574112791035,0.05127734765885384,0.018478674814105037,0.05645838007330895,0.03657587617635727,0.048569466918706894,0.010208285413682459,0.030685892328619964,0.010971236974000929,0.027145799249410633,0.009597924537956716,0.030685892328619964,0.010971236974000929,0.027145799249410633,0.013665855941368786,0.005877046344065684,0.0041520919294281144,0.0011430719526479465,0.016104960800076045,0.010965102005207459,0.031501179256357544,0.014530517178486281,0.024414435029029846,0.0637979730963707,0.04669642075896263,0.058335240930318825,1087.1227221359738,1087.2139732915193,1088.098127437896,1088.6160550037234,162.32442218609614,158.76750529155908,157.87820285411,159.62407061671,0.0,0.0,0.0,0.0,1086.7768701342661,159.24783933205458,0,1147.0,1123.0,1053.0,1120.0,124.0,79.0,171.0,161.0,0.0,0.0,0.0,0.0,4,-2.0,1.0
2814,121,7,38650,1707.0,242.0,1.0,1.0225163999533355,0.5847664925159276,1.0,0.7855691056910569,0.8830251472300814,245.85420278939938,246.48326515201802,100.0,36.23888247740498,32.202484376209235,199.0,199.43733985197716,-83.95328585168495,741.6399999999974,0.990517683239364,14.217013875953851,18.63263912685216,9.876142600551248,19.393621804192666,939.467113405466,1800.9565619640052,1676.574384318665,2632.010380100459,0.016571298241615295,0.040711071342229836,0.02658121660351753,0.054085604846477515,0.004013122990727425,0.005554281175136565,0.010330356657505035,0.012680243700742722,5.622894665235561,1.743845455523394,2.663635702652169,2.265958189216,0.13582055270671844,0.05548180267214775,0.026215000078082085,0.03497367724776268,0.6682993769645691,0.1118028536438942,0.2822308838367462,0.16453802585601807,0.02242431210718273,0.029389020704814126,0.015577511988251181,0.0305893088394206,0.024307040450335483,0.04659654752817608,0.04337837993062522,0.06809858680725638,0.019806209951639172,0.04605172947049141,0.035858701914548874,0.06564430892467499,0.010894942097365856,0.019653620198369026,0.01033035758882761,0.02684061974287033,0.010238803923130035,0.019653620198369026,0.01033035758882761,0.02684061974287033,0.013604546885306492,0.00557572615494691,0.0029712046022929844,0.001495608075898622,0.01958481533360494,0.009337185621972123,0.02831748158025675,0.020719671339005503,0.025894559919834137,0.051895935088396065,0.048935681581497185,0.0800335705280304,1714.632168977367,1709.0205776427515,1709.5878250392495,1706.8969732975784,239.06111460895843,237.05334183700268,236.19576340313444,239.60125007316572,0.0,0.0,0.0,0.0,1709.0154721862873,238.79717981888746,0,1760.0,1658.0,1692.0,1645.0,247.0,190.0,196.0,276.0,0.0,0.0,0.0,0.0,7,-2.0,1.0
2815,121,8,32247,1621.0,484.0,1.0,1.0672745790547926,0.7147364508320271,1.0,0.7516257604363331,0.8457676111425257,242.09774134076432,241.3731550939333,84.21995013059555,31.91091546794157,28.63564212655271,168.5995255034841,169.32167977546146,27.41936731420477,692.1879999999974,0.9890655911175179,10.623056443408133,17.48935687355697,7.726268486119808,18.289036467671394,621.7383417729287,1579.1532804891467,1185.2494274349885,2408.0534703005105,0.014755474403500557,0.04226749017834664,0.02073701098561287,0.05571068823337555,0.002471961081027985,0.0061799027025699615,0.010086214169859886,0.016479745507240295,3.391681836697773,1.8925042031820187,7.915242789227811,3.8344834718630927,0.056565195322036736,0.04252689331769943,0.02362096682190895,0.036057069897651665,0.3809414803981781,0.11334401369094847,0.1922331601381302,0.17763027548789978,0.017944352100351574,0.029542832556684075,0.0130511291995267,0.030893642681877363,0.019280501807080627,0.04897054859333106,0.03675533933187547,0.07467527119733651,0.016906997188925743,0.0480354018509388,0.028915846720337868,0.07219043374061583,0.009826810099184513,0.02232394926249981,0.0079499501734972,0.026001373305916783,0.009826810099184513,0.02232394926249981,0.0079499501734972,0.026001373305916783,0.006852803552299509,0.003676765161898735,0.002405296254146841,0.0018767953775763184,0.012187307649987579,0.010002444542884976,0.025812715841176257,0.02569939674636156,0.019943540915846825,0.05479514598846436,0.04238956421613693,0.08865492045879364,1613.2004271311184,1614.869761118672,1613.988360387231,1614.2581064312162,477.8333774783823,478.32195324576514,472.2419564361401,476.4500384276555,0.0,0.0,0.0,0.0,1615.8653208050364,479.9314354823704,0,1616.0,1584.0,1553.0,1635.0,497.0,470.0,434.0,487.0,0.0,0.0,0.0,0.0,8,-2.0,1.0
2816,121,9,38433,534.0,495.0,1.0,1.078688077311381,0.7135290247838585,1.0,0.7342809652089184,0.7516769632522393,265.5458374918042,281.5848007261756,93.60555539069249,34.15484652788868,30.413812651491103,187.06347350369086,186.04823056007962,-32.00939264294223,801.5699999999972,0.9776777196932116,18.4130617827177,19.782009681686763,9.942549848929046,21.18748769722879,906.9827461987734,1633.9466277565807,1711.9784129476175,2599.957155890763,0.01753261685371399,0.03761348873376846,0.02183566056191921,0.05378805100917816,0.003341725096106529,0.0044708922505378714,0.011459525674581528,0.01271076500415802,2.524393649718464,4.759705261833654,4.128732254487509,3.3190764897674003,0.209430068731308,0.03756771236658096,0.025650415569543842,0.035904478281736374,0.2687113881111145,0.13492026925086975,0.32449835538864136,0.1758602261543274,0.02649361407585281,0.02846332328300253,0.014305827120761219,0.030485593808962288,0.02359906190510169,0.042514157826778566,0.04454449074877365,0.06764908167176027,0.020309757441282272,0.04127565398812294,0.0319218747317791,0.06643778085708618,0.011718928813934326,0.019378958269953728,0.008941787295043468,0.02677958272397518,0.011459525674581528,0.019378958269953728,0.008941787295043468,0.02677958272397518,0.017081330983758757,0.004207023809856454,0.0026837049669180967,0.001461081082660064,0.012593846417854104,0.008152604783945184,0.039092999877786416,0.02104914469376082,0.02500953711569309,0.046814680099487305,0.0479133278131485,0.0792095810174942,513.8790523852372,519.2558624069277,513.8693486956762,518.9136978641269,505.24552476442574,502.3934907295085,509.45805876031534,504.0996651450411,0.0,0.0,0.0,0.0,516.25787734499,506.0903650508677,0,496.0,597.0,564.0,531.0,482.0,478.0,532.0,450.0,0.0,0.0,0.0,0.0,9,-2.0,1.0
2817,121,10,33520,444.0,747.0,1.0,1.04144525407083,0.6505134081615235,1.0,0.7360562143170839,0.8479442403960076,236.9489396243327,240.20824298928628,89.80534505250787,33.10914711156712,29.5296461204668,178.89801564019655,179.96148042430244,-48.765864650087394,704.8119999999973,0.9894326701694316,20.676386695355177,13.935759585350752,7.899260013364255,18.217792101204395,950.1470091221854,1360.5528379231694,1590.7536312844604,2819.114690249786,0.019333180040121082,0.036224916577339165,0.024505989626049995,0.06779583543539047,0.004989700391888618,0.004119936376810074,0.011795222759246826,0.013611048460006714,5.250207266519053,2.7181452423357815,2.1218749906671333,1.630577607442449,0.35565727949142456,0.03442435339093208,0.02113374508917332,0.03648431971669197,0.5761348605155945,0.0947432667016983,0.3918364346027374,0.1961699873209,0.03469192398549526,0.023382146955286492,0.013253791968731972,0.030566765270477175,0.02834567449648525,0.040589285140906,0.047456850575312064,0.08410246689289337,0.0235294122248888,0.04042115062475205,0.03401235863566398,0.08134584873914719,0.013000686652958391,0.01722743548452854,0.008209354244172573,0.02613870427012444,0.012924391776323318,0.01722743548452854,0.008163576945662498,0.02613870427012444,0.04049466965324318,0.003227579131711397,0.002653876983338097,0.0017236001451385982,0.02125531581429425,0.007921967034927656,0.040975998727680936,0.028461881720840663,0.030502784997224808,0.04444953054189682,0.05299458280205727,0.0950331911444664,451.38345058734484,448.1716750326237,449.37317782484166,448.4615775357624,744.2721581372607,745.4628189945198,746.6771606491455,746.6479935906775,0.0,0.0,0.0,0.0,447.8582040572792,748.1628281622911,0,548.0,443.0,474.0,407.0,704.0,818.0,693.0,781.0,0.0,0.0,0.0,0.0,10,-2.0,1.0
2819,121,12,36837,1322.0,807.0,1.0,1.0446072847030845,0.6657138258774384,1.0,0.771875785768167,0.8645261852573185,250.36094372562818,247.2508847304697,92.13034245024816,34.737372089747616,31.048349392520052,184.0445598217997,186.8211248334473,14.790572739051168,731.7419999999971,0.9906946722964798,22.466758289374408,20.16876483522356,9.712916819378735,19.48104072362184,929.5715614026414,1868.741897303611,1460.5386169971896,2599.940737387165,0.016632333397865295,0.04451056569814682,0.024353399872779846,0.05493247881531715,0.003982605412602425,0.005523767322301865,0.008957047015428543,0.014129854738712309,6.953719039095303,3.0614210795896186,4.576314922986116,2.917109598367245,0.5133287310600281,0.045059893280267715,0.024216067045927048,0.03634699061512947,0.5133287310600281,0.13464561104774475,0.19426260888576508,0.1584649384021759,0.03583215038177737,0.03216708905139323,0.015491095405707709,0.031070240388551582,0.02523472490709453,0.05073002408729297,0.03964868520773108,0.07057960033084032,0.019867246970534325,0.049835965037345886,0.0316472128033638,0.06892500072717668,0.012298772111535072,0.02362096682190895,0.00949111208319664,0.02641336619853973,0.011306934989988804,0.02362096682190895,0.00949111208319664,0.02641336619853973,0.039836167629823255,0.004571675528379341,0.002697734413013172,0.001822898799558036,0.02038375903489045,0.009800110524712769,0.025505115847587155,0.021550391506939853,0.026337072253227237,0.05560387670993805,0.04408331587910652,0.08319218456745148,1331.587820372454,1326.9953349215104,1329.2540772711156,1326.124101543402,804.7818807142099,804.1778869697764,805.2426536611447,803.7153330204529,0.0,0.0,0.0,0.0,1324.8057930884709,806.3175611477591,0,1361.0,1369.0,1256.0,1369.0,723.0,846.0,778.0,836.0,0.0,0.0,0.0,0.0,12,-2.0,1.0
2820,121,13,42286,920.0,892.0,1.0,1.0162068330782486,0.5342298896590693,1.0,0.7372807476374795,0.8351119676339416,252.09677125186454,250.6671099286861,104.35037134576952,37.81532474227819,33.52610922848042,209.16065353772169,213.1072921682313,42.67539019637173,797.6839999999967,0.9867917483431344,16.512336974963546,18.559182168915868,9.425726781599225,20.650568479672074,1062.831651961431,1681.8130966052413,2027.9473911337554,2955.925967346877,0.016708629205822945,0.035309378057718284,0.02244602143764496,0.05392538383603096,0.004242008551955223,0.0037689767777919774,0.013290606439113615,0.013229571282863615,4.494544643823433,2.766537775811225,7.666680232573648,2.8602101975591783,0.14819562435150144,0.03743037953972817,0.022995345294475555,0.04156557470560074,0.5336080193519592,0.07785152643918991,0.3638055920600891,0.1762264370918274,0.02494310721293587,0.028035018382048138,0.014238257978246559,0.03119421220494271,0.02513436248312517,0.03977233828229772,0.04795789129105982,0.06990318231440375,0.020111391320824627,0.03904783725738525,0.034241244196891785,0.06753642857074738,0.012252994813024998,0.022980086505413052,0.009689479134976864,0.02471961639821529,0.01109330914914608,0.022980086505413052,0.009597924537956716,0.02471961639821529,0.01415362721129253,0.0021796689080297877,0.002540034716995238,0.002649443438133123,0.019961600343192325,0.006766657886995053,0.04377178982755536,0.023362263663276338,0.02676432393491268,0.04287785291671753,0.05223163217306137,0.08045319467782974,918.674560736698,922.0031892561749,916.0998348809103,919.9926396683888,895.3243175571988,895.1211436401828,893.4704822228111,896.2931309555697,0.0,0.0,0.0,0.0,922.3846663198219,897.8612543158494,0,919.0,958.0,896.0,890.0,864.0,834.0,835.0,880.0,0.0,0.0,0.0,0.0,13,-2.0,1.0
2822,121,15,40298,308.0,947.0,1.0,1.083527265623634,0.743546932789508,1.0,0.7025453277545328,0.8185539557210806,276.60605823161114,276.55198426335687,90.97252332435328,35.136260697386874,31.622776601683796,183.6396727609933,184.96197654444958,-46.039461592591856,786.5439999999968,0.9876234590593828,14.501228424720464,18.168169759213928,9.474738765507935,19.861478688195348,892.116003703326,1691.3147215247157,1772.9062831755728,2673.827882729471,0.01596093736588955,0.03730830922722817,0.02235446684062481,0.052063781768083565,0.0036774240434169774,0.0045777037739753714,0.01466391980648041,0.012466616928577423,4.590507105086826,5.012793889825389,0.9107276627574726,0.9910879490848584,0.1725642830133438,0.041870757937431335,0.021850919350981712,0.03465323895215988,0.2676279842853546,0.125551238656044,0.24495308101177216,0.1447623372077942,0.02197155821927344,0.02752752993820292,0.014355664796224146,0.030093149527568707,0.02213797219969542,0.04197019012171114,0.04399489511081375,0.06635137929250759,0.01899748295545578,0.041886016726493835,0.03639276698231697,0.06718547642230988,0.010376134887337685,0.020019836723804474,0.008636606857180595,0.026596475392580032,0.009781032800674437,0.019714657217264172,0.008636606857180595,0.026596475392580032,0.014961605017275309,0.004579237236355311,0.0024403742721373386,0.0013169681014033778,0.013101677713829576,0.008020531950363625,0.031537134385984884,0.019358022631964882,0.0240939948707819,0.046463720500469215,0.05239948257803917,0.07722590863704681,300.1602341036433,291.69127100071137,296.44820496727385,296.3327355456915,958.1270980853827,959.5430297165536,957.3220899499307,957.5164128965916,0.0,0.0,0.0,0.0,295.804506427118,956.6778252022432,0,293.0,317.0,288.0,334.0,887.0,997.0,1005.0,970.0,0.0,0.0,0.0,0.0,15,-2.0,1.0
2823,121,16,35657,548.0,983.0,1.0,1.0092113071011557,0.4725720996318667,1.0,0.7666193670450636,0.8862362238260894,226.63926334864087,231.86418438387594,99.32774033471212,35.118816598981105,31.048349392520052,201.65021618778718,199.73537242487717,74.57427633512296,711.0539999999972,0.9900047199933368,17.229144845157858,15.391912780702114,9.045502464286985,18.10336470976472,970.6563707562165,1606.38073149696,1824.600263521075,2832.0866898931567,0.018539711833000183,0.038681618869304664,0.027283132076263428,0.05905241519212723,0.0049439240247011185,0.00639352947473526,0.01434347964823246,0.018051423132419583,6.141316424341537,5.0567340859485705,6.131963765389386,4.056226305686589,0.2672007381916046,0.035645075142383575,0.025940338149666783,0.03376821428537369,0.3883268535137177,0.1098191812634468,0.40796521306037903,0.20001526176929474,0.028572379511041232,0.02552556016700185,0.015000833274107766,0.030022163697785605,0.027222042537404054,0.04505092216106122,0.05117088547889826,0.07942582634246169,0.022766461595892903,0.045166704803705215,0.03979552909731865,0.07714961469173431,0.011978331953287123,0.020019836723804474,0.01028458122164011,0.026260776445269585,0.010833906009793282,0.020019836723804474,0.01028458122164011,0.026260776445269585,0.026398824601378625,0.002997116534049648,0.002769012443696176,0.0012337853574593,0.01811416004585962,0.010528083450883245,0.04313965541321301,0.030509432472939226,0.02944991178810596,0.051483940333127975,0.057923246175050735,0.0951400026679039,553.0575835899343,545.0240493737284,543.464035540185,543.5824037607904,986.7257759133728,990.879632470232,991.2518376576522,988.476989762576,0.0,0.0,0.0,0.0,546.938861934543,986.1994559273074,0,631.0,514.0,505.0,514.0,932.0,990.0,999.0,1022.0,0.0,0.0,0.0,0.0,16,-2.0,1.0
