,label,area,bbox_area,centroid-0,centroid-1,convex_area,eccentricity,equivalent_diameter,extent,local_centroid-0,local_centroid-1,major_axis_length,minor_axis_length,perimeter,solidity,inertia_tensor_eigvals-0,inertia_tensor_eigvals-1,moments_hu-0,moments_hu-1,moments_hu-2,moments_hu-3,moments_hu-4,moments_hu-5,moments_hu-6
10,11,40853,55255,491,700,41848,0.6600768252376351,228.06940856034507,0.739353904624016,129,101,263.47430271372315,197.92139548173415,802.9442635585339,0.9762234754349073,4338.669261905165,2448.3049243398136,0.1661315983219097,0.002141130426659401,1.3098505721352613e-05,1.968352340735796e-07,-4.9196866176711347e-14,-1.898240024340689e-09,3.122043708075903e-13
11,12,17912,27232,502,872,19029,0.6670605517212187,151.0174384807802,0.6577555816686251,71,82,177.4104981706589,132.17144270793156,568.6417023478424,0.9413001208681486,1967.1553038225854,1091.830641718502,0.17077858114901112,0.0023880871320219855,0.00021894751103405951,2.2124253617580994e-05,1.5249961664918924e-09,9.675990889887885e-07,2.1322523406543839e-10
13,14,37709,51256,744,1622,38190,0.8550103000127496,219.11775371342745,0.7356992352114874,150,85,304.6217908661712,157.98021673748178,791.4528855298855,0.9874050798638387,5799.652216907083,1559.8593050263573,0.19516591588038507,0.012641518885628717,3.195299110462602e-05,1.6328295730758813e-06,-1.1728699591942841e-11,-1.830860207598908e-07,1.2409010692068078e-12
14,15,36540,46550,740,590,36844,0.7677901592912189,215.69462896563476,0.7849624060150376,134,87,269.55624001065496,172.70505768905625,744.097546470558,0.991748995765932,4541.285408042613,1864.1898094612657,0.1753003617269808,0.005367730143408998,2.448370147060614e-06,1.59110285998075e-07,9.765123436225726e-14,1.1382478519337899e-08,1.8066319452785964e-14
15,16,81099,109074,806,330,82000,0.5298353566757927,321.33853463049985,0.743522746025634,169,159,349.20920019906725,296.1645048524152,1122.0468606629752,0.9890121951219513,7621.691593979515,5482.088370904765,0.1615775775889256,0.0006960420679162187,9.716796153915633e-06,6.85475833574734e-08,4.231687346013254e-14,1.4691437162132327e-09,-3.659179355073261e-14
17,18,35069,51744,795,844,35353,0.8321920838616221,211.30839451928412,0.6777404143475572,97,132,284.036114931831,157.49446193461682,747.8792924010781,0.9919667354962803,5042.282161598018,1550.2815962546542,0.1879883588882681,0.009915208396324045,2.356446566283055e-05,2.1525896921952473e-06,1.2051811623578049e-11,1.3734373865264438e-07,-9.475949185331968e-12
18,19,36964,49126,1082,1561,37201,0.6566132490760569,216.94244981466989,0.7524325204575988,101,119,249.9632332566758,188.529131151965,731.3523804664972,0.9936292035160346,3905.101123758207,2221.4520808071766,0.16574378326386172,0.002074651777513887,1.1490893696699855e-05,2.05092976634055e-07,-1.743846950398393e-13,-5.52862094572858e-09,-2.6214542030240554e-13
21,22,38366,52640,1259,1195,39689,0.5683203870151796,221.01834397467837,0.7288373860182371,110,114,245.46012601042736,201.96639618454958,768.8670990922585,0.9666658268033964,3765.66709131593,2549.401574235903,0.16460065332721247,0.0010049946345036924,3.1309069932850114e-05,8.99336235034148e-07,-5.361423888683658e-13,5.094503006381775e-09,4.741982773736293e-12
23,24,43664,60630,1366,1740,44449,0.7173751331545516,235.7853504383089,0.7201715322447633,127,110,282.9867684338809,197.15323165294933,825.4356415871824,0.9823393102207024,5005.094444290684,2429.337296950094,0.17026455984886352,0.003479868161508078,3.7988044160898896e-06,1.694101405665435e-07,-7.733785712012408e-14,-8.60731412340668e-09,-1.1175321611076446e-13
24,25,61382,78300,1460,727,61848,0.5303169534715292,279.56035079197795,0.7839335887611749,126,152,304.05033210659366,257.7737081769188,938.9919907732865,0.9924653990428146,5777.912778383119,4152.955289204955,0.16178795196618023,0.0007008126587215078,3.778625920779315e-05,3.7560822692688214e-07,1.0756855127799559e-12,7.853303474313934e-09,9.193731385754236e-13
27,28,25314,31262,1844,67,25732,0.6101908419562118,179.52934533224897,0.8097370609685881,97,67,204.61176486284734,162.10458418536194,633.5462479183373,0.9837556350069951,2616.623395018071,1642.3685133693186,0.16824650029183016,0.0014812338546641027,0.0003576208403279231,9.670982329710145e-06,-4.368280096100748e-10,-3.0614351916328775e-07,3.642138411760665e-10
