,label,area,bbox_area,centroid-0,centroid-1,convex_area,eccentricity,equivalent_diameter,extent,local_centroid-0,local_centroid-1,major_axis_length,minor_axis_length,perimeter,solidity,inertia_tensor_eigvals-0,inertia_tensor_eigvals-1,moments_hu-0,moments_hu-1,moments_hu-2,moments_hu-3,moments_hu-4,moments_hu-5,moments_hu-6
0,1,24520,30600,67,739,24671,0.6504349078708032,176.69135133589927,0.8013071895424837,67,106,206.30077581142604,156.69822971107715,622.3330444827409,0.993879453609501,2660.000631274767,1534.6459496615937,0.1710704152094764,0.0021063857706275103,0.0004533215982741405,2.3331652833618803e-05,1.6410103553356915e-09,7.957204550766362e-07,1.7506296255322403e-09
1,2,93327,136000,234,1087,100507,0.7262004186413781,344.7138334785805,0.6862279411764706,223,150,427.4367503387507,293.8555232694893,1361.307791313324,0.92856218969823,11418.885971259468,5396.941784749085,0.18018180972289424,0.004163502605021795,0.0004237887129002361,2.3953974028414747e-05,2.374369594560318e-09,1.3504136279348044e-06,-4.3264726492135494e-10
11,12,34851,53808,1339,94,38042,0.6383899833321668,210.65059072683647,0.6476917930419268,132,94,252.30700314301293,194.20400109432398,839.5117600329311,0.9161190263393092,3978.6764896880213,2357.199627565262,0.181798976134208,0.002164666636451975,0.0015738283697961635,2.7064149691487935e-05,-4.913450990040551e-09,-1.2554971112657643e-06,2.656499394378547e-09
16,17,110106,171969,1840,1621,118290,0.8344542878886262,374.4213045656054,0.6402665596706383,191,211,514.2794239020914,283.4076467737464,1458.2955980045044,0.9308141009383718,16530.207865566685,5019.993390614539,0.1957223153704723,0.010928105046407219,0.0003060419898491428,6.140860212200129e-05,7.832117524954846e-09,5.776736304547902e-06,-3.086899713837705e-09
17,18,4316,5969,1720,2024,4379,0.9169703559454547,74.1303033521175,0.7230691908192327,63,27,121.58668302165768,48.50765692194074,303.58073580374355,0.9856131536880567,923.9575930130661,147.0620487535441,0.24815098280041942,0.03240129656844559,0.0020095399185653794,0.0001582912973116344,-8.926816019159954e-08,-2.8492992768209272e-05,-1.1698992324345478e-09
18,19,44412,69300,1947,232,47766,0.8138573558969378,237.79637226160125,0.6408658008658009,109,187,320.37655995019173,186.1595148404426,963.3879143724297,0.9297826906167567,6415.071260344925,2165.96031035181,0.19321425674810264,0.009153674819076682,0.00044908524205275414,0.0001659209412491499,4.4957261278520365e-08,1.571189828020765e-05,5.491796417130704e-09
19,20,11962,13552,1989,1992,12066,0.40936749415643686,123.4118772003814,0.8826741440377804,62,60,130.85688043666303,119.38983734664286,425.9238815542512,0.9913807392673628,1070.2201973509455,890.870828853615,0.163943406303675,0.0002247978263189792,0.00012655152264987523,2.7940321285176366e-06,-4.203798962648331e-11,-4.169586711358493e-08,-3.151413914899908e-11
