,label,area,bbox_area,centroid-0,centroid-1,convex_area,eccentricity,equivalent_diameter,extent,local_centroid-0,local_centroid-1,major_axis_length,minor_axis_length,perimeter,solidity,inertia_tensor_eigvals-0,inertia_tensor_eigvals-1,moments_hu-0,moments_hu-1,moments_hu-2,moments_hu-3,moments_hu-4,moments_hu-5,moments_hu-6
0,1,26781,32656,69,326,26975,0.6412280951949003,184.65813886084845,0.820094316511514,69,104,213.37644030443198,163.73448201830902,638.4102089490162,0.9928081556997219,2845.5940798119263,1675.5612876127477,0.1688195126180753,0.0019087211620133417,0.0003059317706841413,9.197099615342332e-06,-2.023805888415804e-10,-2.607273849471163e-07,-4.4389442290537336e-10
5,6,52147,69460,501,864,52666,0.7219440623415727,257.67348047345604,0.7507486323063634,148,113,310.14734683711555,214.60689777250946,881.5777772109134,0.9901454448790491,6011.961046881377,2878.5075357212704,0.1704885915316825,0.003610670470955408,1.758107667898324e-05,7.178247611399132e-07,2.7348742962124655e-13,-3.0813658356521697e-09,-2.5353520980400877e-12
6,7,32396,43424,635,615,32813,0.7357300232572849,203.095712143906,0.746039056742815,118,91,246.9000763856743,167.21923232865316,704.3818177180199,0.9872916222228995,3809.977982453238,1747.641978786505,0.1715526596258718,0.0040526217104152,2.6628555619265134e-06,1.2440016357930355e-07,3.5538178859086703e-14,3.0604504138277837e-09,-6.215636679443863e-14
7,8,37214,46956,955,1195,37571,0.7909386409666129,217.6748410307777,0.7925291762501064,135,87,278.37905416128643,170.33888218858118,754.4406922210655,0.9904979904713742,4843.431112233278,1813.4584240784586,0.1788813225214096,0.006629254942538174,3.6500789264832323e-06,1.3780806809628636e-07,-9.770049271035724e-14,-1.1216340751729628e-08,-2.7045921856317763e-15
8,9,38826,50578,1023,177,39206,0.6126287601622162,222.33937699806444,0.7676460121001226,121,104,250.216508192465,197.7638218687527,752.1808075912431,0.9903076059786767,3913.0188107518693,2444.408077508484,0.16374148478494704,0.0014307643005023868,9.653864765181847e-06,1.250990831409643e-07,-5.568063695099503e-14,-2.2651443108289684e-09,-1.2569703428619568e-13
9,10,73241,96652,1086,584,74062,0.4964912986607102,305.3740943432302,0.757780490833092,149,165,328.1337724507219,284.8337971770108,1031.3006486383879,0.9889146930949745,6729.485788921384,5070.643250892158,0.16111370734716268,0.0005129816101623505,1.9124693255993215e-05,6.709778011575758e-08,1.3953807520238106e-14,-9.313313673728213e-11,-7.471620729440562e-14
10,11,34597,45400,1097,1602,34845,0.6431767092054178,209.8815583351773,0.7620484581497797,109,101,240.15988838777295,183.8946969149776,706.9676041556468,0.9928827665375233,3604.7982494017224,2113.5787220907173,0.1652853418357788,0.001857831323879859,3.744685672647086e-05,5.768641774260153e-07,-2.3214215362885093e-12,-2.2283881604752866e-08,-1.3414416500403383e-12
13,14,31456,39852,1546,1100,31765,0.7480687512823218,200.12751714641664,0.7893204857974506,120,81,245.8082772844586,163.12359250991364,690.1980515339463,0.9902723122934047,3776.3568238470802,1663.0816520837718,0.17292212855833075,0.00451341334887991,4.929349133180105e-06,2.0927587267268192e-07,6.564893160982363e-14,2.734464715270901e-09,2.0216405441032072e-13
14,15,41954,57375,1552,1674,42740,0.7213490169587987,231.12224440719464,0.7312244008714597,109,125,277.942048504373,192.49480427629186,817.5361466505707,0.9816097332709406,4828.236395425452,2315.8906045854947,0.1702847642658852,0.003586014822004599,9.814661095424368e-06,2.814231018493273e-07,-4.0501216095749687e-13,-1.49386995404048e-08,2.3391967591256247e-13
15,16,36235,46398,1613,1321,36563,0.522415354449944,214.79253921744726,0.7809603862235441,110,102,232.74089333428898,198.45610000925163,718.1391770309006,0.9910291825069059,3385.52021437768,2461.5514769301303,0.16136530126418686,0.0006502165551375268,1.3180103396475143e-05,1.0712136990150803e-07,1.1914477029004595e-13,2.5080033409696513e-09,4.478530178023815e-14
16,17,39465,51506,1879,1120,39945,0.7872504335791481,224.16154583909614,0.7662214110977362,136,92,285.9010950978881,176.29616545454522,788.6244584051393,0.9879834772812617,5108.714761135729,1942.5211221235238,0.17867061657821492,0.0064365141718806225,2.5935162260601434e-05,1.8174423123607195e-06,1.01073435528873e-11,1.0522360265776424e-07,7.316778446889071e-12
17,18,34866,43263,1949,1792,35654,0.4609234957018044,210.69591824887397,0.8059080507593094,110,98,224.75656407726797,199.4579370503837,731.286363288515,0.9778986929937735,3157.2195684886915,2486.466790774676,0.16186790452771666,0.00037010138305608133,5.212421691815711e-05,5.720718629255524e-07,2.896562933642764e-12,9.497686237673765e-09,-1.1698753473909383e-12
