,Unnamed: 0,label,area,bbox_area,centroid-0,centroid-1,convex_area,eccentricity,equivalent_diameter,extent,local_centroid-0,local_centroid-1,major_axis_length,minor_axis_length,perimeter,solidity,inertia_tensor_eigvals-0,inertia_tensor_eigvals-1,moments_hu-0,moments_hu-1,moments_hu-2,moments_hu-3,moments_hu-4,moments_hu-5,moments_hu-6,in_object
0,1,2,35127,43516,75,907,35361,0.7480632409441142,211.48306194093198,0.807220332751172,75,129,262.4643049909987,174.1785164790391,736.7422074112308,0.9933825400865359,4305.4694621505,1896.1347251774316,0.17654807377026024,0.004704485810026384,0.00034491399250305096,1.989284288352819e-05,8.212673617321773e-10,5.27561792257574e-07,1.4285366922443309e-09,1.0
1,4,5,59558,76880,151,1289,60450,0.6285052509276484,275.37538162540386,0.774687825182102,127,150,312.65034883880503,243.18111140703456,962.589970519733,0.9852440033085196,6109.390039314151,3696.0658090725346,0.16463709070799368,0.0016419167593785993,3.228186675380039e-05,4.836541279368379e-07,4.015196288073442e-14,-8.078129055021081e-10,1.9106704834805253e-12,1.0
2,6,7,44542,57720,331,732,45031,0.5746161981219317,238.14414920714225,0.7716909216909217,108,127,263.3726457514219,215.55023373829883,804.5655839020935,0.9891408141058382,4335.321908131497,2903.868954039704,0.1625250519099098,0.001032796437239142,1.2996358768260374e-05,1.3645949833547097e-07,7.144721179751614e-14,1.4842613326025535e-09,1.6709143880889676e-13,1.0
3,7,8,42689,57768,379,1182,43596,0.4170728939868512,233.13799116660363,0.7389731339149702,125,114,244.78265436231862,222.4763549755856,836.5422433049805,0.9791953390219286,3744.9092422913977,3093.4830327014233,0.16019096898481625,0.00023286193028085181,2.5206514297542025e-06,1.7561324551213659e-09,-7.226074088204693e-17,-2.6417116452437936e-11,-9.181513058395438e-17,1.0
4,8,9,44932,57750,371,1665,45717,0.6331583757443062,239.1844460328479,0.7780432900432901,102,134,272.06228845772154,210.58226952558456,830.3229432149742,0.9828291445195442,4626.118050053279,2771.555764909121,0.16464154310875098,0.0017036145744003266,4.6788910794566775e-06,6.840604030472635e-08,-3.858712552047472e-14,-2.757578786019316e-09,2.9561433736314018e-15,1.0
5,10,11,40165,51528,583,608,40533,0.4653617053389472,226.14081081106926,0.7794791181493557,113,115,240.4933061333063,212.86558032543425,759.6955262170047,0.9909209779685688,3614.814393433012,2831.9847054552433,0.16050788245707096,0.0003798735298304739,9.98015159597459e-06,3.3466185299164936e-08,4.038115846616818e-15,5.512320002031959e-11,-1.891470623391201e-14,1.0
6,11,12,38519,52432,777,1631,39108,0.6818758401295597,221.4586056662819,0.7346467805920048,109,112,259.2017421407299,189.59776284430825,772.3229432149742,0.984939142886366,4199.096445549339,2246.7069797229087,0.16734088177969958,0.00256911120871817,2.4689343517133616e-05,4.3261209180859e-07,-1.220483556365617e-12,-1.960739184658308e-08,-7.137130630548934e-13,1.0
7,12,13,49288,62880,825,849,49994,0.476345541347542,250.5103404670288,0.7838422391857507,128,121,267.4430376900371,235.1514752486604,869.8792924010784,0.9858783053966476,4470.361150554661,3456.0135194763343,0.16081753510045033,0.0004235368936047527,9.22220183845183e-06,5.894134472769296e-08,4.345177711985102e-14,1.1929289259879138e-09,5.88498641831684e-16,1.0
8,13,14,58293,74100,1105,672,59561,0.5697800549265364,272.43522676270567,0.7866801619433198,153,117,302.07225665041636,248.24214410087703,957.719912834644,0.9787109014287872,5702.978014867191,3851.5101317375374,0.1639045536617558,0.0010087871760848818,0.00010555769068971604,1.588981199022442e-06,1.4171641306711908e-12,-2.2774451173854304e-08,2.053008933218856e-11,1.0
9,16,17,41310,55278,1254,979,41813,0.5855833400788228,229.34150429656117,0.7473135786388798,111,123,254.85019032606652,206.5846754994141,782.1219330881978,0.9879702484873124,4059.2887193270203,2667.3267594498884,0.16283261870677582,0.0011353881148528193,2.1463951256316574e-06,2.9636028626557594e-08,3.5917399843599745e-15,4.0361633532140817e-10,-6.555017049276676e-15,1.0
10,17,18,37778,48246,1270,1486,38518,0.6943269084344402,219.3181331331383,0.7830286448617502,92,126,259.03650174742745,186.41814201044292,770.9676041556468,0.9807882029181162,4193.7443273465615,2171.9827294141046,0.16850354854043798,0.002864059009836655,2.533990012794221e-05,6.102111785528632e-07,-2.397737668241995e-12,-3.2449362293931224e-08,-9.222584533271221e-14,1.0
11,18,19,43276,58464,1389,1257,44344,0.6801442423935106,234.73541389819923,0.740216201423098,107,129,274.36733829704986,201.13274485512196,829.77878733769,0.9759155691863612,4704.839770262988,2528.398815809724,0.16714203221352972,0.002529295403417669,2.7001867449162976e-06,8.846897023719951e-08,1.3176733997724608e-14,1.517197390517437e-09,4.118314278350593e-14,1.0
12,19,20,73786,93148,1465,326,74390,0.4547641304834954,306.5081614701781,0.7921372439558552,159,147,325.07769598497816,289.51806979860163,1039.3595231414336,0.9918806291168168,6604.7192766813705,5238.794546244246,0.16051166648043824,0.00034269329019813227,2.2248351994560047e-05,1.0359077495306033e-07,1.2716311049900175e-13,1.5900532184844316e-09,9.252917903463467e-14,1.0
13,21,22,38463,45864,1579,84,39118,0.6701775911246881,221.29756575513562,0.8386316064887493,126,84,258.34174949893105,191.7414477273917,802.5351006300442,0.9832557901733218,4171.278720885527,2297.7989235372556,0.16818962754914546,0.002372530032816321,0.00010004896191123236,2.98377197530852e-06,-3.840975522654942e-11,-1.1320742961730394e-07,-3.438622191759512e-11,1.0
14,23,24,31231,43188,1627,981,31552,0.7984650702460475,199.41049175412982,0.7231406872279337,84,117,257.4385326409115,154.98858710329765,696.7249634685277,0.9898263184584178,4142.162380519103,1501.3413832672793,0.1807019872494119,0.007150001751506328,5.409636360618783e-05,4.428327843908225e-06,6.418084228389369e-11,3.358976378890016e-07,2.4052902081653966e-11,1.0
