,ImageNumber,ObjectNumber,AreaShape_Area,AreaShape_Center_X,AreaShape_Center_Y,AreaShape_Center_Z,AreaShape_Compactness,AreaShape_Eccentricity,AreaShape_EulerNumber,AreaShape_Extent,AreaShape_FormFactor,AreaShape_MajorAxisLength,AreaShape_MaxFeretDiameter,AreaShape_MaximumRadius,AreaShape_MeanRadius,AreaShape_MedianRadius,AreaShape_MinFeretDiameter,AreaShape_MinorAxisLength,AreaShape_Orientation,AreaShape_Perimeter,AreaShape_Solidity,Intensity_IntegratedIntensityEdge_cebp,Intensity_IntegratedIntensityEdge_dapi,Intensity_IntegratedIntensityEdge_ppar,Intensity_IntegratedIntensity_cebp,Intensity_IntegratedIntensity_dapi,Intensity_IntegratedIntensity_ppar,Intensity_LowerQuartileIntensity_cebp,Intensity_LowerQuartileIntensity_dapi,Intensity_LowerQuartileIntensity_ppar,Intensity_MADIntensity_cebp,Intensity_MADIntensity_dapi,Intensity_MADIntensity_ppar,Intensity_MassDisplacement_cebp,Intensity_MassDisplacement_dapi,Intensity_MassDisplacement_ppar,Intensity_MaxIntensityEdge_cebp,Intensity_MaxIntensityEdge_dapi,Intensity_MaxIntensityEdge_ppar,Intensity_MaxIntensity_cebp,Intensity_MaxIntensity_dapi,Intensity_MaxIntensity_ppar,Intensity_MeanIntensityEdge_cebp,Intensity_MeanIntensityEdge_dapi,Intensity_MeanIntensityEdge_ppar,Intensity_MeanIntensity_cebp,Intensity_MeanIntensity_dapi,Intensity_MeanIntensity_ppar,Intensity_MedianIntensity_cebp,Intensity_MedianIntensity_dapi,Intensity_MedianIntensity_ppar,Intensity_MinIntensityEdge_cebp,Intensity_MinIntensityEdge_dapi,Intensity_MinIntensityEdge_ppar,Intensity_MinIntensity_cebp,Intensity_MinIntensity_dapi,Intensity_MinIntensity_ppar,Intensity_StdIntensityEdge_cebp,Intensity_StdIntensityEdge_dapi,Intensity_StdIntensityEdge_ppar,Intensity_StdIntensity_cebp,Intensity_StdIntensity_dapi,Intensity_StdIntensity_ppar,Intensity_UpperQuartileIntensity_cebp,Intensity_UpperQuartileIntensity_dapi,Intensity_UpperQuartileIntensity_ppar,Location_CenterMassIntensity_X_cebp,Location_CenterMassIntensity_X_dapi,Location_CenterMassIntensity_X_ppar,Location_CenterMassIntensity_Y_cebp,Location_CenterMassIntensity_Y_dapi,Location_CenterMassIntensity_Y_ppar,Location_CenterMassIntensity_Z_cebp,Location_CenterMassIntensity_Z_dapi,Location_CenterMassIntensity_Z_ppar,Location_Center_X,Location_Center_Y,Location_Center_Z,Location_MaxIntensity_X_cebp,Location_MaxIntensity_X_dapi,Location_MaxIntensity_X_ppar,Location_MaxIntensity_Y_cebp,Location_MaxIntensity_Y_dapi,Location_MaxIntensity_Y_ppar,Location_MaxIntensity_Z_cebp,Location_MaxIntensity_Z_dapi,Location_MaxIntensity_Z_ppar,Number_Object_Number
240,9,9,23043,1921.0,303.0,1.0,1.001689626413497,0.2592732627256947,1.0,0.7793222402597403,0.8905803979309981,174.0481092469962,175.41094606665797,82.46211251235322,28.45762287452729,25.0,167.0,168.09636089787608,-7.311059532892695,570.213999999998,0.9883548864440584,37.898939441889524,23.954680740833282,4.773662977851926,3859.4038004837926,2264.1663100458677,420.48761989455664,0.1103532463312149,0.07226672768592833,0.013000686652958391,0.05294117331504822,0.02251468598842621,0.004867628216743468,1.5850413115693058,0.4331782057610176,1.7499333084548296,0.093324176967144,0.054352637380361564,0.011841000989079477,0.34128329157829285,0.16984817385673526,0.03929198160767555,0.0778212308868368,0.04918825614134145,0.009802182706061452,0.16748703729912742,0.09825831315565978,0.01824795468882336,0.1660868227481842,0.1024414449930191,0.017990386113524437,0.06176852062344551,0.045441366732120514,0.007843137718737125,0.06176852062344551,0.045441366732120514,0.007797360420227052,0.008039497950475228,0.0013347183025613355,0.0007504405978405893,0.06302697383678857,0.028879878990071176,0.005891904433036299,0.21583886444568634,0.12076371163129808,0.022720683366060257,1921.6809975386386,1921.440555519864,1920.5774490241292,301.76654178341585,302.98192834003163,301.98175411058725,0.0,0.0,0.0,1921.6664930781585,303.3515167295925,0,1900.0,1907.0,1952.0,287.0,332.0,324.0,0.0,0.0,0.0,9
243,9,12,43319,1695.0,536.0,1.0,1.0142156988049305,0.5098257619896205,1.0,0.7953256100023868,0.8734121402907777,253.03311917995688,254.420911090264,105.80170130957252,38.19656129554063,33.955853692699286,213.01758470795602,217.67874557037803,-12.877124729466596,789.467999999997,0.987338887052844,27.743282303214073,33.62760359793901,3.4410315875429665,3586.231756862253,4291.5464146249,297.8946108855307,0.060975052416324615,0.07479972392320633,0.005676356144249439,0.02015716582536697,0.023544669151306152,0.0009918366558849812,1.5584662723003029,2.611949806862768,2.000570286441421,0.05803006142377853,0.05581750348210335,0.007400625851005316,0.21672388911247253,0.19981689751148224,0.02366674318909645,0.040798944563550106,0.04945235823226326,0.0050603405699161256,0.08278657764173349,0.09906845528809298,0.006876765642917213,0.08117799460887909,0.09779506921768187,0.006607156712561846,0.028381781652569767,0.04551766067743301,0.0033722438383847475,0.028381781652569767,0.04551766067743301,0.0027466239407658573,0.006189358994213012,0.0015437211740683932,0.0007236727925074012,0.027795888206816617,0.030405118815004763,0.0018404158716534863,0.10130464285612106,0.12205691635608673,0.0076905470341444016,1702.1292616047488,1699.234188081553,1700.6710687951352,538.7318145398767,537.1811438685827,541.3457059050486,0.0,0.0,0.0,1700.6966227290563,539.3452988296128,0,1722.0,1677.0,1673.0,492.0,559.0,572.0,0.0,0.0,0.0,12
245,9,14,45711,521.0,651.0,1.0,1.035166119553497,0.630091679285825,1.0,0.8083575015915683,0.8651984914737144,273.5903961771693,272.15620514697065,105.00476179678712,38.807437464613415,34.539832078341085,210.0,212.44861972287745,-3.9058885228212143,814.8119999999969,0.989533386009157,35.712535340338945,34.98011758551001,6.198168998584151,6587.217032585293,5845.688505612315,1041.182731717825,0.10568398237228394,0.09843595325946808,0.01574731059372425,0.03779660165309906,0.027649350464344025,0.007141223177313805,3.06211097619752,0.7518073613744053,2.9566412752047415,0.06158541142940521,0.05520714074373245,0.011688411235809326,0.3453269302845001,0.2579690217971802,0.07104600965976715,0.050441434096523935,0.04940694574224578,0.008754475986700778,0.1441057301871605,0.12788362769601005,0.022777509389814814,0.14665445685386658,0.13258564472198486,0.02180514298379421,0.03639276698231697,0.045197222381830215,0.006027313880622387,0.03639276698231697,0.045197222381830215,0.006027313880622387,0.0042445301613826935,0.0013610109748396155,0.0008983114414797068,0.05360213551796418,0.041011754096197735,0.00908599333002652,0.1829747408628464,0.15608453750610352,0.03004501387476921,540.1342198608946,537.5622556283735,539.4571498502066,652.1321829709334,651.6971951158965,653.0081160605594,0.0,0.0,0.0,537.2906302640503,650.9961715998337,0,559.0,535.0,515.0,699.0,665.0,687.0,0.0,0.0,0.0,14
247,9,16,24582,973.0,755.0,1.0,1.0386044496571525,0.6388414814442603,1.0,0.7661524076671342,0.7323650515347704,201.6920142569149,206.78491240900533,76.23647421018367,27.980725598027373,24.75883680627989,153.59239529939398,155.16940995137614,84.07397626433678,649.4559999999981,0.9757085020242916,27.67534913495183,28.157702010124922,3.69286647089757,1833.226750984788,1973.5817065611482,199.42930010589768,0.060700390487909324,0.06480506807565689,0.006958113983273506,0.012893874198198318,0.013977266848087309,0.0010376130230724812,3.2902050331329056,1.854255679723284,4.467506594891688,0.0790264755487442,0.06631571054458618,0.011017014272511005,0.15632867813110352,0.16621652245521545,0.023193713277578357,0.05022749389283454,0.05110290745939188,0.0067021170070736295,0.0745759804322182,0.08028564423403907,0.008112818326657624,0.07325856387615204,0.07791256904602051,0.0079499501734972,0.03657587617635727,0.04426642134785652,0.0038605325389653436,0.03657587617635727,0.04426642134785652,0.0038605325389653436,0.010107264785562516,0.004681190940709121,0.0013651674456614607,0.018597112626465274,0.02054233976603858,0.0016687086128834546,0.08656442910432817,0.09272907674312593,0.00906385947018862,974.2846532186952,974.0278671034764,972.3500702687396,757.5976014977981,759.4950748258044,755.7786429222957,0.0,0.0,0.0,972.3325197298835,760.2461150435277,0,1024.0,977.0,994.0,744.0,761.0,740.0,0.0,0.0,0.0,16
248,9,17,28601,1490.0,750.0,1.0,1.0074497519142838,0.3741102038590789,1.0,0.7808080808080808,0.8839029014326741,198.21644355224697,200.53179299053804,89.62700485902674,31.34915829930057,27.73084924772409,183.14047185816798,183.82280871987618,-88.67037961523751,637.6659999999978,0.989362990124012,29.2006867043674,27.059845920652148,3.223636287963018,3429.672741901129,2601.191991914064,232.92862155823968,0.08855191618204117,0.07770275324583054,0.006702525541186333,0.027695119380950928,0.013336390256881714,0.0011596856638789175,1.9139428994823264,1.1196596868747024,2.6241662666691195,0.06630045175552368,0.054306857287883765,0.008346685208380222,0.2721599042415619,0.15461966395378113,0.04141298681497574,0.05338333949610128,0.04946955378547011,0.005893302171778826,0.1199144345268043,0.09094758896241613,0.008144072639356655,0.12187381088733673,0.09246966987848282,0.007751583121716976,0.04370183870196343,0.04444953054189682,0.003891050582751632,0.04370183870196343,0.04444953054189682,0.003555352101102472,0.003873119544862127,0.0014917787866013856,0.0009109668566214641,0.039666293419119314,0.020400786891970887,0.002375185628547549,0.14537270367145538,0.10486000031232834,0.00909437704831362,1490.6732846590976,1490.4783874786508,1487.921750263451,750.4089915768756,753.3748847920656,753.4732557253624,0.0,0.0,0.0,1490.2575084787243,752.2772280689487,0,1542.0,1437.0,1487.0,768.0,776.0,746.0,0.0,0.0,0.0,17
249,9,18,26538,1757.0,819.0,1.0,1.029839932733631,0.6148075387290491,1.0,0.743111559139785,0.8723557116532762,206.72598529536853,205.37283169883983,80.72174428244226,29.788601462960983,26.47640458974745,161.44622190936315,163.04006660030413,-47.76068743354524,618.2899999999978,0.9881222772461556,22.646891079843048,26.077027574181557,2.1986725062597543,2672.955858334899,2347.280509058386,168.8053130644839,0.07329671084880829,0.0710078552365303,0.005050736479461193,0.024460211396217343,0.0162813737988472,0.0010681315325200558,0.6144584639129964,0.6755358850316634,2.3074631491850237,0.05313191562891007,0.05583276227116585,0.006134126801043749,0.2524605095386505,0.16455329954624176,0.019775692373514172,0.043468121074554784,0.050051876341999146,0.004220100779769202,0.10072182750527164,0.0884497893231738,0.0063608905367580045,0.09991607815027237,0.08818189054727554,0.006042572669684887,0.03508049249649048,0.04559395834803581,0.0030060273129493,0.03508049249649048,0.04559395834803581,0.0027618829626590014,0.0032185098407691163,0.0017833684513297683,0.0005215354834387622,0.03605351335553428,0.02181283508411744,0.0018263525107986831,0.12228579819202424,0.10366979241371156,0.00724803563207388,1756.3412733065188,1756.0388951564914,1754.7211540541903,822.5247156387271,821.2935704132199,823.8313730017876,0.0,0.0,0.0,1756.081769538021,821.9677443665688,0,1741.0,1767.0,1724.0,813.0,850.0,848.0,0.0,0.0,0.0,18
251,9,20,38846,292.0,1012.0,1.0,1.0196839212251858,0.5398261041378998,1.0,0.7743337253573066,0.8573479239837051,242.4676000946738,246.0284536390049,102.41581909060729,36.1376764251534,32.0,206.52178734615055,204.10354236608157,40.21663284273661,754.5699999999972,0.9868156992252002,35.669733744114644,31.846524830907587,6.411383302882314,6536.9525165334335,5493.332023054361,1036.9185974714346,0.09265278279781343,0.08921950310468674,0.01599145494401455,0.06547646224498749,0.047287702560424805,0.009613184258341791,3.064418023429455,1.7263199648262506,2.858096689329862,0.06749065220355988,0.05345235392451286,0.01269550621509552,0.4156557619571686,0.3074387609958649,0.07229724526405333,0.055045885407584316,0.04914587165263516,0.009894110035312213,0.16827865202423506,0.14141306757592445,0.026693059709402115,0.1757686734199524,0.1449607014656067,0.02748149819672108,0.04238956421613693,0.045181963592767715,0.00633249431848526,0.04238956421613693,0.045181963592767715,0.006271458230912685,0.005889861004557824,0.0013925597644722364,0.0012183114342051047,0.07641240224910975,0.0582137810225461,0.011234618503909426,0.2287479937076569,0.18815137445926666,0.035645075142383575,285.0175472949472,285.0191847281402,287.37555846145403,1007.4166900833113,1005.8331572748533,1007.2202792887832,0.0,0.0,0.0,286.229392987695,1004.6020697111672,0,309.0,301.0,293.0,995.0,972.0,994.0,0.0,0.0,0.0,20
252,9,21,21661,1490.0,1024.0,1.0,1.0228389471955657,0.5761992654116357,1.0,0.7366183772019316,0.8607336645045164,183.5580785798969,185.88437266214714,74.02702209328699,26.935015208144282,24.0,151.39446979001755,150.023715131714,48.956261018308076,562.3539999999979,0.9843448228851874,16.657053552567962,23.49205772951245,2.459144015563652,1544.0275748241693,2030.5401413366199,136.70988267892972,0.04973296821117401,0.07318226993083954,0.005508507136255503,0.019249256700277332,0.018112458288669583,0.0007324330508708954,1.9603171779348207,2.1473725068275584,1.93603074243252,0.04281681403517723,0.05537499114871025,0.008224613033235073,0.23143358528614044,0.20146486163139346,0.01728847250342369,0.035141463191071635,0.049561303226819516,0.005188067543383232,0.07128145398754301,0.09374175436667836,0.006311337550386857,0.06919203698635101,0.09008926898241043,0.006225680932402611,0.027267871424555782,0.045441366732120514,0.003219653619453311,0.027267871424555782,0.045441366732120514,0.0029602502472698693,0.0028498932569678264,0.0016975325384250288,0.0010027513851731539,0.02666571429737911,0.02872404214613097,0.0012621808686947248,0.08818189054727554,0.10983444005250932,0.006958113983273506,1491.7921236016875,1491.6255362002646,1494.5917899220324,1029.6227707235537,1029.707869913124,1027.0948404264038,0.0,0.0,0.0,1493.5283689580353,1028.712663311943,0,1465.0,1470.0,1486.0,1060.0,1004.0,1008.0,0.0,0.0,0.0,21
253,9,22,42082,1053.0,1233.0,1.0,1.0068792973486531,0.4166525163206048,1.0,0.7926838456901748,0.88599354200401,242.54909576569827,246.454864021792,107.20074626605916,38.05489332745681,33.734255586866,217.0484458616549,220.4930947071529,-60.01073952907576,772.5699999999972,0.9901297601261132,22.115922873839736,32.94876028969884,3.730418936349452,3672.0216259341687,5072.796371422708,401.86470302823,0.05589379742741585,0.09280537068843843,0.007293812464922666,0.02563516050577164,0.02551308274269104,0.0020599677227437496,1.793363672373646,0.6240109681443696,1.4573304806854954,0.0470435656607151,0.05499351397156715,0.008010986261069775,0.31284046173095703,0.2254367917776108,0.03515678644180298,0.03315730565793064,0.04939844121394129,0.005592831988529912,0.0872587240609802,0.1205455152184475,0.00954956283038425,0.0793926939368248,0.12416265904903412,0.009216449223458769,0.02610818669199944,0.044037535786628716,0.004074159078299999,0.024460211396217343,0.044037535786628716,0.003646906232461333,0.004341776618432196,0.0015342053572903731,0.0006950014941723863,0.042237267236327584,0.03656734382331274,0.002912015261350725,0.10788891464471816,0.1449301838874817,0.011444266885519028,1051.4135561001262,1053.0409830384767,1052.262026191623,1225.9544564659902,1226.156993485093,1228.0333556799367,0.0,0.0,0.0,1053.0056080984743,1226.7800009505252,0,994.0,1036.0,1115.0,1176.0,1199.0,1247.0,0.0,0.0,0.0,22
255,9,24,43791,682.0,1616.0,1.0,1.000653945334245,0.1917895533577112,1.0,0.7796848571174219,0.8877214506580062,237.90758388771428,239.14012628582432,115.43396380615197,39.27638509887107,34.525353003264144,232.6381310103741,233.49108509035062,-20.484125883343424,787.333999999997,0.9898284396826476,32.48392466455698,32.759456876665354,6.228671773802488,5102.804687473923,5389.7148886956265,890.1057954668067,0.06718547642230988,0.07342641055583954,0.012497139163315296,0.045624472200870514,0.043801024556159966,0.0070344097912311545,1.5858932693931598,0.4924681767735537,1.4833030542330234,0.057923246175050735,0.05323872715234757,0.011703670024871826,0.3189898431301117,0.2501869201660156,0.05105668678879738,0.04862862973736075,0.04904110310878047,0.0093243589428181,0.11652633389221352,0.12307814136913127,0.0203262267467472,0.1090867444872856,0.12888532876968384,0.01882963255047798,0.04242008179426193,0.044022276997566216,0.00724803563207388,0.04242008179426193,0.044022276997566216,0.007232776377350092,0.003099335212969869,0.0012532942151029394,0.0007657279759826522,0.052792765184765895,0.049025268676019085,0.008533471338361203,0.16128785908222198,0.16707102954387665,0.027222095057368282,682.0544006761418,681.9296306400527,682.1401012441839,1618.836242155964,1617.1926842636462,1618.7493679580045,0.0,0.0,0.0,682.4121394807153,1617.2912242241555,0,661.0,650.0,668.0,1618.0,1635.0,1634.0,0.0,0.0,0.0,24
