,Unnamed: 0,ImageNumber,ObjectNumber,AreaShape_Area,AreaShape_Center_X,AreaShape_Center_Y,AreaShape_Center_Z,AreaShape_Compactness,AreaShape_Eccentricity,AreaShape_EulerNumber,AreaShape_Extent,AreaShape_FormFactor,AreaShape_MajorAxisLength,AreaShape_MaxFeretDiameter,AreaShape_MaximumRadius,AreaShape_MeanRadius,AreaShape_MedianRadius,AreaShape_MinFeretDiameter,AreaShape_MinorAxisLength,AreaShape_Orientation,AreaShape_Perimeter,AreaShape_Solidity,AreaShape_Zernike_0_0,AreaShape_Zernike_1_1,AreaShape_Zernike_2_0,AreaShape_Zernike_2_2,AreaShape_Zernike_3_1,AreaShape_Zernike_3_3,AreaShape_Zernike_4_0,AreaShape_Zernike_4_2,AreaShape_Zernike_4_4,AreaShape_Zernike_5_1,AreaShape_Zernike_5_3,AreaShape_Zernike_5_5,AreaShape_Zernike_6_0,AreaShape_Zernike_6_2,AreaShape_Zernike_6_4,AreaShape_Zernike_6_6,AreaShape_Zernike_7_1,AreaShape_Zernike_7_3,AreaShape_Zernike_7_5,AreaShape_Zernike_7_7,AreaShape_Zernike_8_0,AreaShape_Zernike_8_2,AreaShape_Zernike_8_4,AreaShape_Zernike_8_6,AreaShape_Zernike_8_8,AreaShape_Zernike_9_1,AreaShape_Zernike_9_3,AreaShape_Zernike_9_5,AreaShape_Zernike_9_7,AreaShape_Zernike_9_9,Intensity_IntegratedIntensityEdge_cebp,Intensity_IntegratedIntensityEdge_dapi,Intensity_IntegratedIntensityEdge_ppar,Intensity_IntegratedIntensity_cebp,Intensity_IntegratedIntensity_dapi,Intensity_IntegratedIntensity_ppar,Intensity_LowerQuartileIntensity_cebp,Intensity_LowerQuartileIntensity_dapi,Intensity_LowerQuartileIntensity_ppar,Intensity_MADIntensity_cebp,Intensity_MADIntensity_dapi,Intensity_MADIntensity_ppar,Intensity_MassDisplacement_cebp,Intensity_MassDisplacement_dapi,Intensity_MassDisplacement_ppar,Intensity_MaxIntensityEdge_cebp,Intensity_MaxIntensityEdge_dapi,Intensity_MaxIntensityEdge_ppar,Intensity_MaxIntensity_cebp,Intensity_MaxIntensity_dapi,Intensity_MaxIntensity_ppar,Intensity_MeanIntensityEdge_cebp,Intensity_MeanIntensityEdge_dapi,Intensity_MeanIntensityEdge_ppar,Intensity_MeanIntensity_cebp,Intensity_MeanIntensity_dapi,Intensity_MeanIntensity_ppar,Intensity_MedianIntensity_cebp,Intensity_MedianIntensity_dapi,Intensity_MedianIntensity_ppar,Intensity_MinIntensityEdge_cebp,Intensity_MinIntensityEdge_dapi,Intensity_MinIntensityEdge_ppar,Intensity_MinIntensity_cebp,Intensity_MinIntensity_dapi,Intensity_MinIntensity_ppar,Intensity_StdIntensityEdge_cebp,Intensity_StdIntensityEdge_dapi,Intensity_StdIntensityEdge_ppar,Intensity_StdIntensity_cebp,Intensity_StdIntensity_dapi,Intensity_StdIntensity_ppar,Intensity_UpperQuartileIntensity_cebp,Intensity_UpperQuartileIntensity_dapi,Intensity_UpperQuartileIntensity_ppar,Location_CenterMassIntensity_X_cebp,Location_CenterMassIntensity_X_dapi,Location_CenterMassIntensity_X_ppar,Location_CenterMassIntensity_Y_cebp,Location_CenterMassIntensity_Y_dapi,Location_CenterMassIntensity_Y_ppar,Location_CenterMassIntensity_Z_cebp,Location_CenterMassIntensity_Z_dapi,Location_CenterMassIntensity_Z_ppar,Location_Center_X,Location_Center_Y,Location_Center_Z,Location_MaxIntensity_X_cebp,Location_MaxIntensity_X_dapi,Location_MaxIntensity_X_ppar,Location_MaxIntensity_Y_cebp,Location_MaxIntensity_Y_dapi,Location_MaxIntensity_Y_ppar,Location_MaxIntensity_Z_cebp,Location_MaxIntensity_Z_dapi,Location_MaxIntensity_Z_ppar,Number_Object_Number,in_object
8,478,17,14,32856,85.0,563.0,1.0,1.0788573076423509,0.5787088865906436,1.0,0.6531878093874873,0.6216891442893869,232.35194941510056,252.4836628378161,87.0,33.144225505903236,30.59411708155671,204.45386084755063,189.49096021761918,-11.697542720054145,814.9399999999976,0.9191646500958164,0.6239447971704526,0.0656768709964328,0.19014468279060515,0.04792798903834331,0.005511143164403275,0.029176037397156383,0.025017728757967563,0.02127940881103036,0.01345395227343498,0.02607222300689971,0.029344295517903667,0.015387858774172869,0.009886325470204864,0.016669080571048222,0.010090229215232943,0.009947450920403745,0.004394229513405111,0.0015519477769188922,0.008013373723719084,0.015393845590587946,0.005486284212433602,0.006779087225371445,0.005865034915004425,0.0061387026649334115,0.00251494609866223,0.007993617872419598,0.012237118655865391,0.003619764182926596,0.008453434131479745,0.003466860453305697,93.4135804399848,45.7076828815043,18.12590224668384,8247.557674080133,4321.057589974254,1655.5124778281895,0.1853513419628144,0.093019001185894,0.037216752767562866,0.0639658272266388,0.033890292048454285,0.01271076500415802,4.155289155331797,5.619730114700348,2.179898984179776,0.2903029024600983,0.13163958489894867,0.05268940329551697,0.4298466444015503,0.2551918923854828,0.09147783368825912,0.16133606293607047,0.07894245748100914,0.031305530650576584,0.2510213560409098,0.13151502282609734,0.05038691495703037,0.24966812133789065,0.12387274205684662,0.0484473928809166,0.09204242378473282,0.061203937977552414,0.019150072708725933,0.09192034602165222,0.061203937977552414,0.019150072708725933,0.051297006519758895,0.02160824259530376,0.008737318563523354,0.07806306830818525,0.046646301746507496,0.016189419863920584,0.31323719024658203,0.16227969527244568,0.0628213956952095,104.74797678258145,96.17301460224495,102.472726071541,562.2550268963266,563.1660705942784,562.015654781099,0.0,0.0,0.0,101.04623204285366,560.3672997321646,0,110.0,93.0,94.0,589.0,562.0,580.0,0.0,0.0,0.0,14,0.0
9,481,17,17,39032,234.0,675.0,1.0,1.0502530433414123,0.661894294575074,1.0,0.6992225287521049,0.6920352569294724,257.9844142229987,265.1377000729998,94.26027795418386,34.614782726902234,30.870698080866266,192.58176490271583,193.38439120011898,-36.16574233308421,841.8819999999972,0.9639673013756148,0.7069184481069334,0.04866603941977704,0.17537103245090774,0.07522477065881604,0.013077638230276115,0.010660694963950659,0.044171575983936416,0.002350409266313216,0.016537378954396376,0.012894794807996456,0.014984515119829876,0.004863836475174389,0.012619405773557442,0.025204047622743343,0.010994573038625331,0.007583896842164914,0.009316129035647549,0.009902542836545234,0.001988218877737241,0.0026734233990555532,0.004572153611863325,0.00726757675322741,0.0052317471866430605,0.00536838845108423,0.004890773053508609,0.0038476675215318727,0.007441937390339056,0.007347815451909736,0.001788537463782154,0.0031165920136924465,84.19041751325129,54.531364902853966,16.195330795831982,7560.049836926162,5612.393121428788,1592.313165344298,0.10589761286973952,0.10267795622348784,0.020401312038302415,0.07605098187923431,0.039978645741939545,0.018463417887687683,15.674197900316921,5.9707850988975135,18.235693989071137,0.286320298910141,0.13098344206809998,0.05282673239707947,0.6240024566650391,0.3100785911083221,0.10556191205978394,0.11841127638994554,0.07669671575647534,0.022778243032112486,0.1936885078122096,0.1437895347773311,0.040795069823332086,0.1888456493616104,0.1412375122308731,0.04235904663801193,0.058487832546234124,0.061173420399427414,0.009170671924948692,0.058487832546234124,0.061173420399427414,0.009033340960741043,0.06597571107306903,0.01991780060678443,0.01234245468603498,0.09625075777634567,0.04883302674771766,0.02055588336941517,0.2571450471878052,0.18231479823589325,0.05728236958384514,228.01929470995097,225.85910449631984,231.22776046724715,667.1631253858967,676.9202795124182,665.834474228741,0.0,0.0,0.0,222.4260350481656,681.8053904488626,0,231.0,219.0,208.0,632.0,679.0,650.0,0.0,0.0,0.0,17,0.0
10,487,17,23,53974,723.0,965.0,1.0,1.078530576727559,0.6891181281508011,1.0,0.7170147191667995,0.6216286362522293,311.0928474916765,306.12415781835966,111.8033988749895,38.79310531099224,34.655446902326915,242.20512487149387,225.43312776511144,-8.807508849123291,1044.5559999999962,0.9255039138523796,0.7308732806949927,0.04040466435848716,0.15028103869806458,0.09068472896670972,0.0036412676681435493,0.025974852552589158,0.03093052489182564,0.004418405334949563,0.017313905222590006,0.014246708720516213,0.02485593584804809,0.003304509473663809,0.00695033690116465,0.021594347898068432,0.01014015049072027,0.0068942116587010025,0.0058063713634002685,0.009899792312879529,0.004326795019658885,0.004546919879599206,0.005452108102606587,0.0070180351198474355,0.007641362808277062,0.007790193412274883,0.006327131112630666,0.005042660229551404,0.00979181413566414,0.007275270552636512,0.004085641612629535,0.007079238590286873,80.74200055003165,64.58446638286114,13.78519884776324,11333.57998432219,7604.626280516385,1530.2842660387976,0.1105516105890274,0.09825284034013748,0.016983291134238243,0.08307012170553207,0.041733428835868835,0.010727092623710629,18.605991426047023,8.333896789125356,18.26204943188101,0.1271229088306427,0.12397955358028412,0.021087968721985817,0.6370641589164734,0.2668497860431671,0.0784313753247261,0.0931280283160688,0.07449188740814433,0.01589988333075345,0.20998221336795847,0.1408942505746542,0.028352248601897168,0.18020905554294586,0.1416342407464981,0.02673380635678768,0.06976424902677536,0.060791943222284324,0.009872587397694588,0.06976424902677536,0.060791943222284324,0.00950637087225914,0.01418987118038679,0.017730093028466117,0.0024474798372909105,0.11187811294749199,0.04723584666355556,0.012088286520016705,0.2992217838764191,0.18207064270973208,0.03904783725738525,736.358001292179,746.1276787051761,737.1697095225016,961.6505962928177,957.0911706910074,963.2244316211212,0.0,0.0,0.0,754.4578500759625,957.3403305295143,0,692.0,721.0,687.0,992.0,986.0,927.0,0.0,0.0,0.0,23,0.0
11,488,17,24,37341,296.0,996.0,1.0,1.8624267488525423,0.9352681203995872,1.0,0.4835664335664336,0.5132696281597771,395.8329157034201,373.01608544404615,57.87054518492115,23.769837519772505,22.62741699796952,143.534407248097,140.10111301217032,23.166010704562048,956.1479999999956,0.8573494971759194,0.341696824372081,0.05970283780569216,0.10338287852764662,0.07618299076378729,0.06371835006150242,0.019684562399578262,0.006481707363875494,0.03926447833037999,0.03183814404167334,0.03724657120281883,0.025631923281196668,0.006908091500273794,0.013015807476054898,0.005627243889221121,0.017884189379673666,0.016561848249036802,0.011441526268002732,0.011501076079759741,0.00912363946249998,0.0025383956045896875,0.011386216825983748,0.0037912491954791953,0.002563708441163574,0.00904223726133938,0.00987997773509175,0.0015474136848702687,0.0009985961942064726,0.0021152804370677533,0.00344611974303503,0.0013555496898799645,65.11430543661118,52.248142182826996,7.610299939755349,4380.033648379147,3618.1139720007777,405.7546391412616,0.09336995333433153,0.07701228559017181,0.009979400783777235,0.017502091825008392,0.01454184949398041,0.0007782094180583954,13.360514235113339,11.558731687702384,4.3766016396614935,0.12970168888568878,0.07286182790994644,0.012527656741440296,0.28192567825317383,0.2180971950292588,0.030670633539557457,0.08180189125202407,0.06563836957641582,0.009560678316275566,0.11729824183549308,0.09689386925901228,0.010866196383097977,0.10467688739299774,0.08827344328165054,0.010696574114263058,0.06662088632583618,0.060914017260074615,0.007110704202204944,0.06662088632583618,0.06027313694357873,0.007110704202204944,0.006950143008212526,0.0016886357756433939,0.0009005172032818754,0.032995287834499384,0.02638846953214525,0.0013834440218519575,0.13867399096488953,0.11415274441242218,0.011551079340279102,377.7508897802072,376.1068258186454,369.381147434824,1039.9877589428384,1039.2445499725827,1036.7224864275008,0.0,0.0,0.0,365.3234782142953,1035.082375940655,0,369.0,403.0,261.0,1037.0,1031.0,1001.0,0.0,0.0,0.0,24,0.0
12,489,17,25,51178,1734.0,1092.0,1.0,1.7290489769880246,0.9246668990579308,1.0,0.4403545000860437,0.4374988951644457,442.6287523177263,430.7505078348719,80.75270893288967,28.755653521781074,25.806975801127876,190.54433499854173,168.5428496171949,-55.649774867914715,1212.4339999999952,0.8599682414323283,0.3504849604787414,0.0747959942169593,0.10616509092896499,0.08461068160528047,0.0452708087097838,0.02548631214029471,0.023116129693756458,0.042645873766946216,0.029318144587170032,0.0254192519632438,0.02284001363754205,0.009375238125871288,0.01974084084137648,0.003590314444694063,0.01431287819437619,0.01317920055774157,0.01386260899905401,0.009408150965695713,0.010544941722178198,0.004499053304523794,0.004843268914289206,0.003905995081480425,0.009558040216106541,0.01354670417410473,0.007270099503316202,0.0049814360032256685,0.001823631727283847,0.003793477871037685,0.004921733184601311,0.003402267661133084,97.63155566900969,67.47756157070397,15.500282409600914,6924.1030949652195,5130.551510658115,827.9623465975748,0.1092698574066162,0.07740902155637741,0.012985427863895891,0.01734951138496399,0.01968413591384888,0.002395667135715485,12.109851886268014,9.684695078839832,22.391348206420727,0.16266117990016934,0.08252079039812088,0.02694743312895298,0.42653542757034296,0.1905241459608078,0.03950560837984085,0.09666490660297987,0.06680946690168711,0.015346814266931597,0.13529452293886474,0.1002491600034803,0.016178091105505776,0.12300297617912292,0.09706263989210127,0.015152208507061003,0.0646677315235138,0.060791943222284324,0.00755321606993675,0.0646677315235138,0.060791943222284324,0.007171740289777517,0.017217795118134833,0.0037863805841113008,0.00565845944446477,0.043875992012609256,0.02575228185434552,0.004465721032057678,0.14811170101165771,0.11679255217313765,0.017975127324461937,1780.6923670249612,1780.0510314920534,1799.9480015770914,1052.679879201918,1049.1149574635535,1024.0812167260324,0.0,0.0,0.0,1786.9354605494545,1042.3033530032435,0,1781.0,1694.0,1705.0,1178.0,1065.0,1121.0,0.0,0.0,0.0,25,0.0
13,490,17,26,120128,1169.0,1084.0,1.0,1.3760694898668295,0.6717767662026038,1.0,0.5117796920664945,0.3642254073113457,520.1499274451402,550.3280839644657,128.97286536322278,40.168149965947855,36.124783736376884,416.117461025582,385.30295954995074,-12.118134398373678,2035.8319999999921,0.77400316358845,0.4968012685099007,0.06683330389543628,0.13919069907442252,0.05348410442848292,0.02846553197852132,0.03297585843538664,0.0016677979517159141,0.04351069149024375,0.04881617562263441,0.02708613688894013,0.019698582265463442,0.005190891823425442,0.005573158998063738,0.01967827641520485,0.02818945459401776,0.008537684825255295,0.014020741733893676,0.01079481154235627,0.009479955815207356,0.01599948052048069,0.0002403842701678229,0.009449992845928377,0.010163888493410529,0.002068243943878362,0.010160841033516964,0.0056933925499221705,0.008423766682710266,0.01143517197303937,0.011196992475059474,0.0022731246689807745,181.885908305645,117.10301380977036,34.132585823535926,21705.40817109496,14774.653993867341,4454.512914533727,0.12957961857318878,0.08725108951330185,0.02449073083698749,0.04103150218725205,0.02681010216474533,0.009872589260339735,5.766491189139339,9.893899475357602,8.352797408890396,0.1567864567041397,0.09892424196004868,0.03303578123450278,0.4307316839694977,0.3312276005744934,0.10438697040081024,0.1064905786332816,0.06856148349518171,0.019983949545395736,0.18068567004441052,0.1229909262941807,0.03708138747447495,0.16342411935329434,0.10885786265134813,0.03332570567727089,0.07806515693664551,0.05970855429768562,0.010894942097365856,0.07806515693664551,0.05970855429768562,0.010772869922220709,0.016621957018835804,0.007386467285518586,0.004057673581276696,0.06632369972228673,0.04672656146822324,0.01689229584565878,0.21931792795658112,0.15199512243270874,0.045136187225580215,1242.6469216762594,1236.512268249137,1242.4548487060965,1092.1428366178081,1082.6965291527613,1094.8902545240408,0.0,0.0,0.0,1245.387461707512,1087.0691928609483,0,1216.0,1157.0,1198.0,1112.0,1101.0,1108.0,0.0,0.0,0.0,26,0.0
14,492,17,28,15238,293.0,1213.0,1.0,1.1248237050394547,0.7889520044047735,1.0,0.7421585817260861,0.7981985083887049,177.66708661652427,178.46568297574746,55.326304774492215,21.039904713372977,19.0,112.53137493529344,109.16839901711599,-12.29033860709274,489.79399999999833,0.9800932625824088,0.6087293888689596,0.04466816540979767,0.18541962072753185,0.09235181542859272,0.01812909707363189,0.01423664357960135,0.008899294201217878,0.02116691441910538,0.0290582544943431,0.012869768337204629,0.00892637031400605,0.004766073714025403,0.019768323981998168,0.02300177430279985,0.002639714190594351,0.011512922623761713,0.011082958214944249,0.012607879919002007,0.0059519408631300156,0.002493659858401784,0.006395082664965328,0.0054970373626596685,0.010969386188192504,0.00546673662501512,0.0058700106032156425,0.002238888228123781,0.0022569632114867984,0.008622137506779337,0.0043469218908601046,0.0021749132451728283,31.124559491872787,27.437338896095753,3.6406805985607207,1443.9740459322934,1368.0492272488773,150.37178780697286,0.08146791905164719,0.07454032450914383,0.009002823382616043,0.011749446392059326,0.014373995363712309,0.00083924550563097,1.12028517829801,1.298901076843765,1.6961011895428983,0.08705271780490875,0.06973373144865036,0.011657892726361752,0.14825665950775144,0.13934539258480072,0.01440451666712761,0.07428295821449353,0.0654829090598944,0.00868897517556258,0.09476138902298813,0.08977879165565543,0.009868210251146665,0.09175249934196472,0.08708323538303375,0.009796292521059513,0.06646829843521118,0.06030365452170373,0.00668345158919692,0.06646829843521118,0.06030365452170373,0.006164644844830036,0.002914692151374961,0.001579483019217439,0.0008161275778198107,0.015992834257535463,0.01743448987444329,0.0012101426448351323,0.10624094307422638,0.10457007586956024,0.010696574114263058,299.6138948750006,300.9945125604884,301.10254849527894,1212.6928787465406,1211.712424790474,1212.5339430222484,0.0,0.0,0.0,299.70278251739074,1211.5761254757842,0,276.0,323.0,301.0,1217.0,1214.0,1234.0,0.0,0.0,0.0,28,0.0
15,493,17,29,58304,986.0,1207.0,1.0,1.4260616142035047,0.840056297086235,1.0,0.6000205824843059,0.4038170302639577,403.55687787676567,395.641251640928,83.81527307120105,30.60419843103449,28.63564212655271,241.49806098253242,218.9292966903297,-87.77126317341202,1346.9819999999952,0.8390936108052873,0.4711303048696598,0.10794587384196837,0.10513873452744453,0.06215411482828756,0.07587604298349092,0.007086017720571886,0.03441293003001092,0.02497563219046555,0.04479983078891782,0.011655225023477215,0.005371056563299466,0.015051563061581045,0.0063063170642650036,0.0070927401158101715,0.026914425934456445,0.009249228791592522,0.005782779451834761,0.002840511605796561,0.012671584657958578,0.004431029791021128,0.0011221113070544251,0.01116781236762529,0.006983577370018325,0.0048552358837704,0.0069121396635039144,0.008732196151221724,0.0004170018652071753,0.008918439372309569,0.005128986453018413,0.0038896948467912673,100.85108730942012,79.60898771509528,16.76746790157631,9707.32518935576,7349.635465908797,1719.780062688049,0.0947737842798233,0.08436713367700578,0.013290608301758766,0.054276339709758765,0.037170976400375366,0.013794155791401865,23.40410708354443,11.717902227639751,35.05881935042194,0.1292439103126526,0.09991607815027237,0.022720683366060257,0.4885938763618469,0.2431525141000748,0.08856336027383804,0.08964541094170676,0.07076354463564025,0.014904415912512275,0.16649501216650248,0.1260571395771953,0.02949677659659798,0.1414358764886856,0.11763180047273634,0.026230258867144585,0.05918974429368973,0.061295490711927414,0.0073853665962815285,0.05900663882493973,0.061234455555677414,0.007049668114632369,0.015742977088394318,0.008781316094526724,0.004135433300588003,0.07982485974512529,0.04605567432892714,0.0169760572502153,0.22990767657756805,0.16424810886383054,0.040466926991939545,954.8039420489492,955.1172444967112,954.6291556179319,1167.379410909413,1180.213193421577,1155.4084397963966,0.0,0.0,0.0,948.5867521953895,1189.9426282930845,0,918.0,956.0,935.0,1102.0,1211.0,1086.0,0.0,0.0,0.0,29,0.0
16,496,17,32,51517,462.0,1525.0,1.0,1.136111934194051,0.7947150290558241,1.0,0.6818837606385091,0.7356785311437379,329.3100430110672,327.2002444986862,98.97979591815695,37.93343070934557,34.48187929913333,198.76686018016773,199.88550568828083,32.423592613747054,938.071999999996,0.976505264754106,0.6126796340941656,0.040314169767642426,0.180904776203392,0.09587661463989837,0.021630987775606483,0.014923753067260044,0.015282925868691975,0.0302961123264528,0.020583948641561208,0.010729540791248394,0.0028408275615008946,0.001966068068097169,0.008407099697575445,0.02459555634421261,0.00816035457799092,0.006190797120013755,0.011086429400628995,0.013796958299699165,0.009541324128392129,0.00033082187338596226,0.00611301245665881,0.004169190119150907,0.015316865522959256,0.006710579245948041,0.002193677120049233,0.0014753228932777665,0.001970446739096545,0.006743478525389371,0.004946529830375331,0.0008849667432307006,76.2405738532543,51.98249803483486,12.820859160274267,8981.289238855243,6549.978000912815,1472.0901713715866,0.126375213265419,0.09185931086540222,0.02073701098561287,0.043831542134284966,0.03344777971506119,0.007431143894791603,12.98100733155072,5.233137621987137,13.436314995430589,0.13391317427158356,0.08052185922861099,0.026443885639309883,0.35487908124923706,0.2305943369865417,0.058258946985006325,0.09736982612165304,0.06638888637909944,0.016374021916059092,0.17433641785925505,0.12714206962580926,0.028574842699916274,0.17505912482738495,0.12150759249925612,0.028931105509400368,0.07444876432418822,0.060898754745721824,0.010925459675490856,0.07385366410017014,0.060898754745721824,0.010925459675490856,0.016026166052369582,0.003173796941488019,0.00320540844179006,0.055682679130714036,0.041051338414697006,0.008894099430913774,0.21449226140975952,0.16115052998065948,0.035599298775196075,411.3294783340548,426.7525604624186,410.35464526032797,1492.3340221752285,1501.2002286465267,1492.9197433274805,0.0,0.0,0.0,421.6029660112196,1500.268882116583,0,399.0,465.0,409.0,1425.0,1528.0,1466.0,0.0,0.0,0.0,32,0.0
17,499,17,35,39753,847.0,1695.0,1.0,1.016150010074742,0.4064739397263737,1.0,0.7392468619246861,0.7409045822736114,236.28552202303658,254.6291420870753,103.57605900979242,35.89008125973072,31.764760348537177,212.61348697897984,215.88519133735363,42.71779476646661,821.1239999999971,0.9716234051913768,0.7794058123530597,0.058044720325306186,0.15348880789811298,0.026177928902530064,0.017802853147691526,0.02919027985855082,0.06538575455770494,0.004292493758713784,0.0222352428170827,0.013832148693186705,0.012173878796682608,0.010628855268160743,0.006423667501507372,0.0066450065746405,0.00587035006053844,0.0075470329375503156,0.0175784542517049,0.012508904863605909,0.006070464366813477,0.00024477613077173365,0.008884094658702964,0.0038384689918230922,0.0069723638477433144,0.0041682259258749394,0.0020644027569896727,0.004911921591191272,0.006349956772540438,0.0077084028909810065,0.0033197278947068123,0.004011787524201594,70.7272298336029,51.37851533666253,13.465049291960895,8119.337411127984,5947.663449287415,1432.3378086909652,0.13232624530792236,0.09644083678722384,0.02532997727394104,0.0645609125494957,0.04887464642524719,0.009781036525964735,3.5440166582840007,3.1497360424067784,0.5134826797331589,0.1605554223060608,0.13325703144073486,0.030395971611142162,0.38750284910202026,0.27750056982040405,0.07101548463106155,0.1022069795283279,0.07424640944604413,0.019458163716706497,0.2042446459670461,0.1496154617082337,0.036030936248609285,0.1888761669397354,0.13775844871997833,0.03477530926465988,0.08032349497079849,0.06102082878351212,0.014343480579555038,0.08032349497079849,0.06102082878351212,0.014343480579555038,0.020104441807439345,0.019240331862408082,0.0035306938234068407,0.08268336373731268,0.06043597941916803,0.012609400223977685,0.2696269154548645,0.20096132159233093,0.045075152069330215,841.5337949137253,842.2371238509679,845.1551934435516,1692.7088876498515,1691.762353408387,1693.6908110256147,0.0,0.0,0.0,845.0451035142003,1693.189268734435,0,830.0,826.0,850.0,1701.0,1669.0,1692.0,0.0,0.0,0.0,35,0.0
