,label,area,centroid-0,centroid-1,day,dapi_integrated,cebp_integrated,ppar_integrated
4,5,46547,781,1933,-1.0,160991962,129779407,88382250
5,6,36408,982,518,-1.0,130986755,137733191,73081664
6,7,57577,1005,1358,-1.0,175099684,178833079,115433428
7,8,45365,1020,858,-1.0,156157342,158929447,92960383
8,9,36226,1142,177,-1.0,130716206,126871867,80633092
9,10,37287,1385,474,-1.0,128209906,97408160,79646648
0,1,65894,509,1371,-1.0,283512307,210204528,150420971
1,2,39651,917,579,-1.0,117497522,126885276,83946201
2,3,103188,1138,1195,-1.0,379828500,358097036,243181486
3,4,36846,1412,1181,-1.0,152810403,88597124,78711533
4,5,41369,1606,993,-1.0,137868730,98923496,84974586
5,6,41568,1616,1515,-1.0,141176497,128874958,89837263
0,1,34154,80,916,-1.0,130264676,117391799,70779007
1,2,42237,395,1493,-1.0,143125781,134768710,88818034
2,3,78259,673,1033,-1.0,280182769,313557355,166137230
3,4,56346,717,582,-1.0,191498985,214087962,139457816
4,5,39553,809,1373,-1.0,144728295,153745022,99444360
5,6,28769,1023,385,-1.0,102772321,87708276,71506230
6,7,42280,1249,1884,-1.0,165220112,152383691,85793413
7,8,47728,1254,1509,-1.0,174232136,144409278,100448086
8,9,32351,1292,254,-1.0,110163291,135677381,76956145
9,10,70256,1515,541,-1.0,271247985,267530916,169343747
10,11,50021,1531,1502,-1.0,185565691,161462943,108232176
11,12,63406,1708,322,-1.0,247422761,231610840,142830198
12,13,35981,1957,1463,-1.0,139976817,129745923,84758885
0,1,35127,75,907,0.0,89991331,80063927,85405170
1,2,59558,151,1289,0.0,165826541,237723226,139693392
2,3,44542,331,732,0.0,107579587,94499421,110155069
3,4,42689,379,1182,0.0,103082509,79085092,104432151
4,5,44932,371,1665,0.0,101097980,145109525,109559420
5,6,40165,583,608,0.0,110918787,106763473,92664693
6,7,38519,777,1631,0.0,92401832,115119323,111060691
7,8,49288,825,849,0.0,116371173,146328318,118384379
8,9,58293,1105,672,0.0,128456195,135021449,135505205
9,10,41310,1254,979,0.0,91712429,92673607,117313439
10,11,37778,1270,1486,0.0,85776933,101284232,101308219
11,12,43276,1389,1257,0.0,96443041,124078106,114156223
12,13,73786,1465,326,0.0,195168622,225238077,183917172
13,14,38463,1579,84,0.0,81648307,88804178,88541581
14,15,31231,1627,981,0.0,87549016,91154580,92518896
0,1,33398,417,336,0.0,82638843,106187649,78300416
1,2,38866,1027,399,0.0,96588607,87488748,82458753
2,3,56732,1359,151,0.0,218794149,126875121,111264386
3,4,46244,1631,1184,0.0,131263208,124747610,101997615
4,5,43860,1654,852,0.0,126649488,123213519,113518264
5,6,25446,1769,255,0.0,102772730,14194407,41134393
6,7,48182,1844,1646,0.0,137916318,137123018,137952221
0,1,76302,271,1679,0.0,292547278,275887172,148632891
1,2,37792,257,1039,0.0,129339704,92790239,71219349
2,3,38806,332,1414,0.0,145776414,110548364,87737165
3,4,52075,967,1548,0.0,172728452,153903681,110347486
4,5,33258,959,1110,0.0,143134552,106222755,68135097
5,6,40320,1600,1077,0.0,174362774,147670009,82299102
6,7,42240,1737,1252,0.0,168911927,120089284,74744907
7,8,37600,1867,847,0.0,164499822,177618676,75477477
8,9,33955,1956,119,0.0,126463487,94894404,79822797
0,1,41161,94,1378,0.0,127577999,101454997,60365076
1,2,69905,662,413,0.0,283849715,268328702,132848174
2,3,42168,914,994,0.0,144804320,123806552,85148513
3,4,45917,1020,1824,0.0,179312483,198322565,91758597
4,5,39931,1134,1574,0.0,175164569,164876633,93663313
5,6,53207,1397,1169,0.0,175808165,171529436,102766671
6,7,75454,1502,268,0.0,333753298,259023248,146945255
7,8,45111,1567,744,0.0,163889496,125560064,82659993
8,9,36891,1709,1874,0.0,170104178,118222924,76693322
9,10,42027,1731,1247,0.0,160288941,107550127,91387402
0,1,43086,197,1197,0.0,133035081,118147589,78469435
1,2,32169,834,82,0.0,74839365,80004291,75417623
2,3,54931,1213,1696,0.0,167986604,130410018,104531197
3,4,55619,1238,1019,0.0,245178557,205520287,125088918
4,5,43418,1248,332,0.0,115033644,96251539,90196976
5,6,43633,1442,1954,0.0,123482284,113533903,72095880
6,7,47135,1528,1670,0.0,166518842,114244813,94089012
