,label,area,centroid-0,centroid-1,day,dapi_integrated,cebp_integrated,ppar_integrated
9,10,39949,1178,671,0.083,132300103,219752297,99531645
10,11,41130,1367,846,0.083,136238315,290088841,91763163
11,12,44725,1505,1542,0.083,153036148,316094251,109641088
12,13,64420,1559,1201,0.083,276272011,382137279,151548547
13,14,71247,1636,646,0.083,259346954,320677305,136874672
14,15,77496,1922,556,0.083,272682967,385957711,164071193
15,16,30304,1935,851,0.083,135478388,164687243,66005546
0,1,77499,147,1589,0.083,186383219,1041542137,254015123
1,2,60618,419,1508,0.083,108296737,509630678,215596193
2,3,78111,719,1909,0.083,198773354,1170036184,373818482
3,4,57151,831,519,0.083,98468045,640511410,226105932
4,5,42973,867,1459,0.083,111469768,675865584,160115857
5,6,50472,1226,1883,0.083,97525915,573606698,164401168
6,7,46166,1345,1568,0.083,84233749,452382062,176540676
7,8,45651,1851,1080,0.083,125438241,436760637,151030911
8,9,39952,1870,1795,0.083,77548222,361850368,160271686
0,1,41303,217,1252,0.083,120148139,240049255,85616249
1,2,80434,438,1355,0.083,254319273,413381600,157554757
2,3,34285,456,339,0.083,92335879,154251290,56363296
3,4,39094,716,700,0.083,110989774,238956952,84671741
4,5,33076,733,495,0.083,101781897,195798466,69118364
5,6,36717,857,1507,0.083,116396269,187963342,75114530
6,7,38082,1071,1372,0.083,117320875,211044832,80634157
7,8,83288,1741,1860,0.083,250106846,661012641,204511493
8,9,36652,1697,1413,0.083,120028574,175469706,84386905
9,10,38085,1878,1116,0.083,128679538,245090461,84021193
10,11,71947,1924,659,0.083,218726674,369852552,154304793
0,1,33661,193,1661,0.083,138619518,140564906,65608035
1,2,62746,614,117,0.083,265226720,437871930,129923156
2,3,38193,793,1185,0.083,121580163,157288850,70602765
3,4,52032,867,693,0.083,190905024,502597029,114810068
4,5,45564,1435,594,0.083,221387844,248469368,90676115
5,6,34391,1718,548,0.083,124178400,164470043,62289880
6,7,40404,1827,1730,0.083,135640659,174687809,84893399
7,8,29284,1974,233,0.083,119484148,148833918,61477957
0,1,38691,84,789,0.167,118882972,220348998,43327029
1,2,41561,136,373,0.167,128470181,294111449,66801474
2,3,37185,120,1451,0.167,128247104,214627548,50968441
3,4,41513,486,1563,0.167,149303057,262877228,64544275
4,5,45061,566,950,0.167,137576750,179169740,53904156
5,6,39199,691,110,0.167,131112684,205820111,52507175
6,7,42768,781,1568,0.167,152471843,235954097,73066827
7,8,38764,919,1825,0.167,158998008,264763781,62080534
8,9,35925,1126,1974,0.167,140255611,212629956,62141761
9,10,39411,1208,1746,0.167,154188126,247173712,65086649
10,11,38290,1204,284,0.167,121320001,247602257,60032065
11,12,38831,1220,1109,0.167,132038395,210991123,62707355
12,13,39445,1428,745,0.167,125706407,220317104,56694483
13,14,38274,1461,1507,0.167,137260940,352985397,58328650
14,15,87082,1669,232,0.167,279157969,273202388,110904760
15,16,40298,1869,809,0.167,127297113,254923989,58592953
16,17,42665,1949,1606,0.167,122916631,226283482,69339451
17,18,31956,1963,549,0.167,116170766,186277860,55466669
0,1,35223,201,579,0.167,123297846,198656099,52041279
1,2,26512,226,1031,0.167,120573841,179189863,35574605
2,3,34675,257,313,0.167,120407557,218216362,48015343
3,4,31578,390,1142,0.167,128913742,220451442,46428434
4,5,33768,460,1848,0.167,134397540,236257473,56329450
5,6,36320,502,494,0.167,121491514,208436431,52972472
6,7,26649,593,1243,0.167,124785502,228966389,44011374
7,8,51640,653,1658,0.167,233449285,469936030,87586901
8,9,31589,667,1892,0.167,131529004,182509721,48923230
9,10,34028,1127,532,0.167,119635176,180058366,52007115
10,11,34011,1318,90,0.167,106474758,168365427,48492701
11,12,34634,1419,1842,0.167,125158650,217082586,55204011
12,13,32724,1545,278,0.167,109684371,170081640,46914045
13,14,37171,1660,1322,0.167,137245277,234904603,56117834
14,15,32275,1670,865,0.167,121235347,202062057,46474605
15,16,30772,1787,1439,0.167,121162721,224218200,48976041
16,17,31224,1906,979,0.167,120184353,243214649,49226921
0,1,28722,70,1610,0.167,108823270,199982513,40042386
1,2,28136,144,749,0.167,118780656,196354493,40459041
2,3,37136,286,1395,0.167,127227692,213887069,51457032
3,4,32596,386,1818,0.167,122352889,206465561,48737450
4,5,35877,391,126,0.167,135934851,264509429,57150567
5,6,53187,874,500,0.167,196602844,601074940,82113222
6,7,35903,923,1458,0.167,131852422,272762774,66978714
7,8,33443,1249,437,0.167,134099667,189899298,54785639
8,9,41733,1499,1636,0.167,140967966,221217912,61137951
9,10,31978,1561,502,0.167,130761981,192721648,49335025
10,11,33634,1883,1566,0.167,124214422,235291328,50642161
11,12,34958,1933,1017,0.167,126447391,209038811,56257372
0,1,36771,236,448,0.167,126878971,232292821,48423468
1,2,93593,310,1719,0.167,462753049,480212476,165515752
2,3,36149,351,205,0.167,126825950,228828042,50741108
3,4,41602,419,611,0.167,140848898,236588144,59064510
4,5,47046,421,1004,0.167,147288090,291842841,64150860
5,6,34076,527,1244,0.167,132628407,198221608,47718755
6,7,45478,620,188,0.167,150081204,340054676,67533333
7,8,43563,1039,625,0.167,146114969,253402241,69175807
8,9,44866,1242,878,0.167,142253862,261550250,68842213
9,10,30756,1208,115,0.167,118206637,210031597,40495094
10,11,38415,1244,369,0.167,133848709,265757513,55844757
11,12,47488,1384,1201,0.167,145102169,299171264,75674305
12,13,36799,1683,1130,0.167,135076178,214374177,77154541
13,14,32806,1879,115,0.167,113990121,214036690,44286966
0,1,34479,150,1764,0.167,137521551,209043462,51774855
1,2,48113,314,1926,0.167,153153779,243283012,79565125
2,3,32960,375,1473,0.167,143881043,175506914,52548184
3,4,74531,630,435,0.167,258788691,280470707,114152647
4,5,30650,625,1968,0.167,127074007,222397114,49883645
5,6,37712,695,879,0.167,147158903,222409736,53389114
6,7,39159,663,1284,0.167,144018140,256245540,65824411
7,8,35126,1044,822,0.167,137243325,206407016,62927553
8,9,37209,1146,1674,0.167,139910226,217293174,63692188
9,10,40191,1437,967,0.167,135244555,271854538,57216105
10,11,37362,1569,362,0.167,134432633,222553763,63988699
11,12,35579,1666,618,0.167,131036872,261734094,47453932
12,13,28522,1699,77,0.167,93249861,135983209,42292291
0,1,66399,363,1251,0.167,287103772,287836811,98529889
1,2,63806,570,252,0.167,304091619,512968187,109451159
2,3,46468,689,833,0.167,165421678,288612455,70463943
3,4,37875,759,1446,0.167,153395447,266723432,53889116
4,5,37097,1096,1007,0.167,146119359,218980871,55849629
5,6,43299,1257,340,0.167,162046415,244782314,69679413
6,7,41573,1295,666,0.167,144118081,244656239,65004949
7,8,37023,1393,1195,0.167,155321038,303998897,59241006
8,9,32682,1510,1800,0.167,138522720,223840712,52016284
9,10,35359,1695,528,0.167,143375708,208526162,57968244
10,11,50463,1851,332,0.167,164764205,306197113,73473092
11,12,33792,1828,737,0.167,141220528,175891877,54355558
0,1,26781,69,326,0.167,121603819,182399973,41718429
1,2,52147,501,864,0.167,265580413,588073779,91382426
2,3,32396,635,615,0.167,145643721,236428252,48799905
3,4,37214,955,1195,0.167,154662310,194008978,59241928
4,5,38826,1023,177,0.167,149285635,234581100,72993609
5,6,73241,1086,584,0.167,302984617,407784207,121152718
6,7,34597,1097,1602,0.167,171079660,292027967,54737828
7,8,31456,1546,1100,0.167,145335491,206533633,47222164
8,9,41954,1552,1674,0.167,155126386,351378029,73739050
9,10,36235,1613,1321,0.167,151062750,237943929,61653274
10,11,39465,1879,1120,0.167,145980097,233360071,62603489
11,12,34866,1949,1792,0.167,126382047,226660959,57682702
0,1,33690,257,1005,0.167,152558521,221583709,71882433
1,2,41740,323,362,0.167,134460283,275504826,66059873
2,3,78026,516,1401,0.167,330333552,603672768,154948403
3,4,32813,550,670,0.167,145610892,163556550,47614993
4,5,36095,625,1640,0.167,158454902,277795389,64231140
5,6,32360,705,323,0.167,140848889,193152049,66845019
6,7,45232,771,1316,0.167,165018224,266720927,87742128
7,8,37911,836,912,0.167,149111295,246860547,69316355
8,9,32910,935,597,0.167,140076615,218170092,53477436
9,10,48224,1075,432,0.167,145910362,234244697,75261112
10,11,37308,1142,182,0.167,127527690,163534944,61388674
11,12,40287,1261,1146,0.167,144921546,277750319,75701260
12,13,36142,1326,644,0.167,133487502,202154541,72478896
13,14,30970,1463,1011,0.167,130100908,254524890,64012968
14,15,40035,1504,140,0.167,133853419,282148061,71703809
15,16,36564,1584,483,0.167,128025617,178118865,61774805
16,17,37231,1645,1508,0.167,135086525,241514438,74805621
17,18,31068,1816,1318,0.167,125651607,246823653,63385303
18,19,34116,1852,639,0.167,119090413,207821297,55470097
19,20,33252,1826,1064,0.167,110359380,207371709,60927947
20,21,32848,1931,1520,0.167,120457555,243412167,66007976
0,1,38605,93,279,0.167,113239045,216196888,58730030
1,2,57971,267,973,0.167,224918618,459592489,108732066
2,3,98142,548,1218,0.167,489497280,692657898,230955628
3,4,36797,519,352,0.167,110237348,198130173,65101975
4,5,61829,701,576,0.167,245799044,533405061,125717522
5,6,43534,1187,494,0.167,195602325,274226337,80926630
6,7,40542,1186,792,0.167,144763748,247260201,87420296
7,8,60891,1261,1025,0.167,253852272,399367839,115018235
8,9,33113,1326,1887,0.167,119225622,227707371,56962136
9,10,34524,1377,251,0.167,116601287,148026891,58955270
10,11,30964,1759,1275,0.167,122905753,192329025,59740044
11,12,32979,1855,285,0.167,114902271,233563548,52803295
0,1,42759,324,276,0.167,181565674,290417064,96081376
1,2,36748,516,1051,0.167,170536952,318540954,62295700
2,3,41633,583,1374,0.167,208305576,431424228,70509797
3,4,53612,613,266,0.167,184246251,279570453,86130826
4,5,46310,660,1951,0.167,168433796,320220202,80317959
5,6,41458,701,656,0.167,175488508,218842867,67685443
6,7,48533,1049,801,0.167,170669677,350882756,77545888
7,8,46513,1176,222,0.167,165542105,217038571,74777154
8,9,41568,1238,1584,0.167,164057550,359492415,87656501
9,10,36260,1467,828,0.167,142756456,181376531,59959080
0,1,33970,591,1772,0.167,150265597,203152976,54564034
1,2,36933,790,1540,0.167,171420834,269965382,64094613
2,3,69767,963,1905,0.167,291927732,559588151,128810799
3,4,43551,1263,387,0.167,155547970,204934281,72635357
4,5,38374,1264,1066,0.167,164546296,306983606,67416693
5,6,42734,1701,322,0.167,160710699,252991816,72922261
6,7,33640,1762,717,0.167,167598510,251811774,63532886
7,8,37540,1911,1349,0.167,163092376,296521678,78797140
8,9,46883,1947,127,0.167,212875160,320301142,86300943
0,1,42480,129,1005,0.167,178451737,315591517,67782176
1,2,34547,143,745,0.167,166950026,285372083,62957999
2,3,43126,354,1838,0.167,180690420,292613916,70555759
3,4,32527,463,1227,0.167,171269731,256332177,52727485
4,5,51438,569,1537,0.167,192153965,403138041,86354648
5,6,42725,874,1638,0.167,196580504,322591241,81656050
6,7,40294,1023,222,0.167,175268394,200137253,61859691
7,8,29564,1164,115,0.167,153611851,163993134,52840840
8,9,67150,1424,1389,0.167,285762419,735115554,123754754
9,10,38535,1466,492,0.167,170052342,275061364,67457494
10,11,34780,1634,78,0.167,133567928,271501228,56075286
11,12,49141,1748,1607,0.167,184230222,306865436,91893372
12,13,35023,1964,599,0.167,160744628,243517167,58303197
0,1,46223,407,425,0.167,150132798,235210069,77965451
1,2,41683,421,1065,0.167,161636159,301499356,69183314
2,3,31118,667,104,0.167,143923989,147376881,47737312
3,4,35473,675,1427,0.167,157276800,355538390,75023448
4,5,36655,796,584,0.167,154365640,260616881,68892014
5,6,44979,896,1495,0.167,155881232,267735995,78167103
6,7,40448,988,1950,0.167,131068235,162382325,75326964
7,8,82647,1143,672,0.167,374349599,691569912,149733660
8,9,38191,1095,1152,0.167,154222904,299721739,68597674
9,10,45036,1245,291,0.167,168316501,324424288,92178066
10,11,34253,1602,1709,0.167,139990412,193748937,58791937
11,12,55480,1651,1240,0.167,169771297,297916735,91839589
12,13,67299,1726,407,0.167,310232465,294793333,117686527
13,14,43418,1841,1000,0.167,161910910,301833564,77404819
0,1,39575,117,1083,0.167,162761885,229115132,63697509
1,2,33860,215,436,0.167,143122232,291717324,58043977
2,3,35588,346,1188,0.167,153655024,256634162,63123494
3,4,32859,448,1653,0.167,155994383,204257090,57692801
4,5,37390,472,561,0.167,146395092,201290811,53457439
5,6,37478,481,965,0.167,157643380,309030361,67892324
6,7,52602,745,1335,0.167,335484957,502458966,121621933
7,8,44330,878,1893,0.167,209291326,367857885,85165792
8,9,35153,895,531,0.167,154149698,310188593,60966043
9,10,37028,944,930,0.167,177808287,323353051,68943565
10,11,28895,1114,264,0.167,124742247,196999087,40537595
11,12,36533,1336,606,0.167,145706813,292857605,68251531
12,13,86786,1603,800,0.167,377037774,668300329,173226405
13,14,53446,1658,331,0.167,278777883,323567630,120699979
14,15,35329,1755,1887,0.167,149609132,273255449,65734519
0,1,38029,207,1428,0.167,181939816,189688151,54374758
1,2,75782,408,215,0.167,309844345,401429070,133714646
2,3,46430,554,1300,0.167,186541331,244423867,78398260
3,4,43456,597,1003,0.167,164818350,254585162,63639098
4,5,37569,737,542,0.167,155307309,215432614,63416600
5,6,37059,763,313,0.167,146277305,254621052,71506782
6,7,40940,772,1902,0.167,199999227,326638108,91350379
7,8,37540,1076,1035,0.167,165844949,307642273,67396559
8,9,37011,1135,650,0.167,154527491,265948796,72156599
9,10,31385,1138,1763,0.167,172158678,281466127,67733605
10,11,36435,1210,1441,0.167,201574516,256091126,78384030
11,12,56361,1418,1767,0.167,334567049,507046334,132700622
12,13,64965,1483,369,0.167,303991073,525167754,132533129
13,14,32297,1918,1743,0.167,142214025,204861850,50568057
14,15,29301,1951,359,0.167,124907564,197686022,49065313
0,1,41028,261,1274,0.167,162146106,330588247,67883684
1,2,39000,493,640,0.167,153508317,257053522,63107948
2,3,38919,525,134,0.167,147991544,253411408,58821985
3,4,35571,531,1012,0.167,161623687,207367623,50993082
4,5,57092,1013,1666,0.167,207735709,273884806,82358074
5,6,63401,1211,325,0.167,334507401,434849273,127859791
6,7,31952,1422,749,0.167,163412604,329566836,67569309
7,8,42820,1592,135,0.167,147419690,248128737,78334518
8,9,36347,1636,1357,0.167,161327803,246370731,60372721
9,10,31898,1737,1076,0.167,154017051,232209650,55132825
10,11,53939,1744,709,0.167,168321827,270027561,94243435
11,12,44414,1773,359,0.167,156362672,234752980,75583878
12,13,40850,1893,1722,0.167,163905729,291703504,72521024
0,1,33021,99,1470,0.167,129471039,208172632,53518534
1,2,52500,158,1711,0.167,348197139,437257236,89310681
2,3,38889,238,1923,0.167,190728163,345838627,70090981
3,4,33252,376,1777,0.167,182079467,200864188,59830461
4,5,37764,616,1104,0.167,180422640,212410473,68052146
5,6,35457,945,917,0.167,154326068,358048845,75110365
6,7,59856,1047,257,0.167,290429276,386771072,102581856
7,8,29442,1246,1305,0.167,149193067,214565228,79120834
8,9,35576,1323,1089,0.167,137085159,215628850,57666746
9,10,63319,1574,571,0.167,316770097,411053533,134591805
10,11,40070,1651,1633,0.167,150711187,223834425,70861361
0,1,40619,309,917,0.167,133699830,219647014,77200664
1,2,52384,568,958,0.167,160925430,316840954,92973803
2,3,40519,926,284,0.167,139376475,263634798,71208215
3,4,42529,1018,610,0.167,150064705,257201122,76024624
4,5,44081,1064,1390,0.167,148457385,249087625,93623742
5,6,38909,1322,540,0.167,149207102,288214328,73833050
6,7,42047,1597,783,0.167,158402024,284302235,72768958
0,1,56519,302,293,0.25,259724929,461077496,86024498
1,2,38182,347,562,0.25,202783036,295843974,59778528
2,3,38579,365,1345,0.25,178694045,295732572,71925889
3,4,42700,683,1203,0.25,194429641,313102127,77659152
4,5,38300,750,1787,0.25,188629904,319014184,85718598
5,6,27700,750,85,0.25,141546757,244461877,46715851
6,7,37081,1126,1222,0.25,172803863,251955605,68662224
7,8,104110,1169,1690,0.25,764127155,1309343098,220764102
8,9,50491,1153,301,0.25,250740122,605998991,93306248
9,10,38804,1274,970,0.25,195789314,402853132,75269843
10,11,68820,1506,534,0.25,402246114,584847479,131756626
11,12,81732,1712,1214,0.25,433592662,698656609,171888221
12,13,42649,1922,217,0.25,174609464,320523752,64196264
0,1,39034,97,980,0.25,165965681,219223460,64179789
1,2,41820,320,358,0.25,159225133,365433802,71584763
2,3,41722,426,968,0.25,197100468,328906960,73360944
3,4,39553,982,569,0.25,177904429,376305095,83696127
4,5,37130,1110,1563,0.25,191163295,271368686,69099890
5,6,75832,1241,165,0.25,317950368,698057930,140187435
6,7,27049,1623,594,0.25,124723729,231531195,41620796
7,8,30823,1810,1561,0.25,165436896,274320773,61064645
0,1,30304,78,1188,0.25,147398486,280592325,67681503
1,2,39805,234,673,0.25,173504506,258588725,68405558
2,3,59854,550,1104,0.25,352632314,505081786,108178287
3,4,32823,651,106,0.25,142173268,298897460,56315494
4,5,30224,851,1184,0.25,180797230,338323489,64436938
5,6,45992,1043,1681,0.25,206361008,328481520,96356187
6,7,35871,1222,1270,0.25,168758091,323310233,81105704
7,8,32448,1231,1923,0.25,172465878,350584931,65370242
8,9,50131,1326,1678,0.25,202950090,271504638,104765440
9,10,18985,1851,726,0.25,140806104,19733473,35956060
10,11,34794,1887,550,0.25,189086719,318069130,70817757
11,12,70164,1938,1796,0.25,347816738,636490810,121544815
12,13,27486,1929,77,0.25,124482113,303452521,53230654
0,1,46583,174,720,0.25,181445879,248580597,84942422
1,2,52670,762,1102,0.25,189915155,307988006,103065246
2,3,43152,887,1624,0.25,155729483,318057432,94082017
3,4,34775,1096,302,0.25,173619393,360926949,60419828
4,5,40581,1284,632,0.25,187742157,401046731,72483072
5,6,42510,1316,1798,0.25,162946858,368946962,87665710
6,7,42494,1457,785,0.25,173683025,243251430,77736594
7,8,42833,1557,1123,0.25,171909139,333602310,83440047
8,9,44936,1747,1337,0.25,156462200,316846266,89135053
9,10,32940,1821,1670,0.25,142667465,285154401,69177275
0,1,41286,170,1434,0.25,181673982,322419865,71958862
1,2,35238,225,1735,0.25,161629113,313365431,69582608
2,3,39812,351,711,0.25,181301113,406520063,79268411
3,4,38388,470,1907,0.25,199704206,372232842,79578814
4,5,45668,569,960,0.25,188416634,318981749,84981513
5,6,34563,753,1300,0.25,182962280,334116279,77076545
6,7,34937,788,972,0.25,191286485,405256733,77845576
7,8,36263,876,686,0.25,180981414,312395801,76723221
8,9,43911,1027,1323,0.25,185794928,335156312,94710765
9,10,54196,1214,1031,0.25,215543789,448981813,118873074
10,11,36314,1210,106,0.25,161347685,324986624,73511660
11,12,72615,1301,391,0.25,398254267,507525432,147724042
0,1,40803,189,1125,0.25,194318682,264152380,68226242
1,2,48315,284,1784,0.25,211289860,380989864,83446339
2,3,42938,297,656,0.25,185400103,338473902,71096363
3,4,52133,609,822,0.25,206587671,298056599,83514219
4,5,37380,607,1113,0.25,185600605,271902103,67571649
5,6,49966,658,1516,0.25,199189663,293255817,86134856
6,7,49882,971,1595,0.25,198148155,377711310,82810830
7,8,54176,999,816,0.25,204164998,427709817,100558579
8,9,41753,1130,596,0.25,188502642,279344864,73539172
9,10,40494,1322,1187,0.25,187770260,323253208,80025366
10,11,44153,1628,1186,0.25,186849832,280190970,82455481
11,12,35484,1719,840,0.25,177778819,362016082,75502249
12,13,37372,1923,1476,0.25,164411819,285259126,70900624
13,14,33084,1970,505,0.25,130524448,189163866,59982702
0,1,34628,347,928,0.25,170680132,320197699,57410432
1,2,42441,490,1648,0.25,206094109,335348488,77577120
2,3,34752,664,459,0.25,162872872,219788742,58099540
3,4,44284,740,1831,0.25,218380049,395167384,79578943
4,5,41986,1318,1815,0.25,606245106,134139245,66412769
5,6,32016,1816,100,0.25,147942587,247550361,55960427
6,7,39465,1829,1046,0.25,182243134,366147917,81441504
7,8,26008,1959,802,0.25,129569346,253559006,55018964
8,9,32639,1952,1327,0.25,152931709,238528766,59158376
0,1,37587,98,1924,0.25,186470083,307930629,58944936
1,2,90284,278,1218,0.25,403447135,570910491,152967513
2,3,29243,287,893,0.25,170782134,358271211,49194468
3,4,77660,466,496,0.25,399137160,610122762,152755396
4,5,45534,533,1895,0.25,190849756,210145816,77902196
5,6,66659,885,1039,0.25,367757437,838945175,138083119
6,7,65304,1621,1011,0.25,315444755,735200916,131227632
0,1,38550,111,680,0.25,141380570,317260272,81899443
1,2,75538,136,1072,0.25,323157828,612268455,150730359
2,3,35789,554,800,0.25,136296229,268524388,79640870
3,4,29694,605,255,0.25,125811682,301684520,55250468
4,5,38312,802,504,0.25,145812599,183519401,66600846
5,6,40991,1019,1569,0.25,157641747,281150021,88268549
6,7,43382,1060,700,0.25,146800976,332042409,94067978
7,8,45346,1398,1492,0.25,169516370,336822153,99226867
8,9,35812,1380,1824,0.25,140864836,261747840,80761268
9,10,42152,1626,684,0.25,149010839,228964102,83999744
10,11,43160,1677,1237,0.25,175491465,400345357,91536798
11,12,36424,1942,1542,0.25,152334925,263595561,77306742
12,13,31019,1950,1918,0.25,141535729,222672363,58707251
0,1,48186,112,1632,0.25,301780471,390410707,75233617
1,2,33565,151,1402,0.25,174849280,269101417,48014708
2,3,36434,1300,667,0.25,181638954,262370693,56242065
3,4,65345,1651,1845,0.25,313754256,666863659,114661830
4,5,32247,1753,94,0.25,152432310,222385282,49441612
5,6,30351,1964,439,0.25,151750367,196843942,45077444
0,1,38135,438,1464,0.25,163561743,268732487,54919942
1,2,70021,839,1052,0.25,373439985,444563843,96167790
2,3,62378,1054,1522,0.25,356054702,616351302,111488745
3,4,29633,1106,1904,0.25,154814279,234286190,45517559
4,5,37773,1331,1292,0.25,175430759,268219630,60660663
5,6,39218,1534,1515,0.25,182431069,266319074,54209744
6,7,77632,1753,222,0.25,354910226,613462366,124607303
7,8,31593,1754,1652,0.25,159389411,249286053,49219487
8,9,33628,1861,1342,0.25,174307494,265603096,59452784
9,10,41611,1925,1964,0.25,236661415,322697426,66800717
0,1,38939,207,652,0.25,167546434,251444353,54209614
1,2,40191,372,263,0.25,163094462,207459160,54068096
2,3,33578,731,614,0.25,175404455,273689427,48918264
3,4,80077,842,1577,0.25,385605765,585282511,131491949
4,5,41447,862,1221,0.25,196033148,272996277,61553997
5,6,36793,961,1901,0.25,169595048,262306804,55209265
6,7,35163,1179,211,0.25,166649545,268797074,45161132
7,8,43340,1241,744,0.25,183690656,222971583,55223583
8,9,49702,1377,1922,0.25,192266392,267963639,69684297
9,10,40022,1375,955,0.25,202750058,246544738,63025588
10,11,85574,1920,1011,0.25,352294284,312408628,126346469
11,12,38729,1940,1775,0.25,181250413,236167489,54042173
0,1,36442,408,410,0.25,155116313,209350185,47548034
1,2,44604,491,195,0.25,163718583,247900322,64101799
2,3,67309,758,1382,0.25,339360342,627052369,127905616
3,4,35468,824,1021,0.25,172304838,272018574,55911888
4,5,36554,974,364,0.25,172098158,215608540,53781784
5,6,34106,1241,510,0.25,173010454,228309618,47943112
6,7,32344,1262,853,0.25,172374255,229888216,43477653
7,8,36740,1406,1148,0.25,160037059,232740643,55197851
8,9,33909,1593,333,0.25,166977618,238088933,53945225
9,10,77489,1877,372,0.25,351048291,521842843,118835001
10,11,40204,1887,1177,0.25,162110327,219008779,56582331
0,1,27710,170,404,0.25,131948895,194820369,34028557
1,2,25043,175,1971,0.25,115771117,142837959,31440742
2,3,30443,230,1294,0.25,164720270,228632005,40625162
3,4,36071,267,840,0.25,157175456,235788867,52780515
4,5,40799,524,1417,0.25,173679229,258095148,58561357
5,6,32123,565,107,0.25,132738941,260704202,42379799
6,7,58748,694,742,0.25,312297143,469367485,89117020
7,8,32662,827,365,0.25,150993938,232277239,55640555
8,9,29196,1000,1433,0.25,162892949,210395048,42464547
9,10,25896,1068,1649,0.25,155649890,229522471,44577043
10,11,33264,1184,1284,0.25,163348184,235141481,54323157
11,12,49007,1279,774,0.25,316746983,453471571,73876945
12,13,40958,1490,879,0.25,167920935,263620372,61808993
13,14,38150,1716,1175,0.25,177005728,311738712,68288870
14,15,30458,1881,646,0.25,138149736,203983224,46691019
0,1,39818,93,1015,0.25,165526128,230505181,51391323
1,2,36733,74,1613,0.25,151020374,262882849,52676971
2,3,31048,212,223,0.25,161470541,255617866,44065484
3,4,35441,382,1024,0.25,178259635,275302586,50737561
4,5,54771,620,1210,0.25,204486650,309337593,86010753
5,6,40342,658,670,0.25,175107104,234942147,60141235
6,7,43702,741,408,0.25,171381470,306584931,70884716
7,8,42895,786,1658,0.25,200606574,339504233,75390386
8,9,52097,1117,571,0.25,177190178,258931217,77865120
9,10,42214,1118,822,0.25,172337593,253086844,60244531
10,11,42217,1532,1368,0.25,172855324,253926703,66180512
11,12,27216,1584,1836,0.25,146814534,175892919,38306014
12,13,27825,1736,427,0.25,138083334,227787367,42468510
13,14,42468,1949,1651,0.25,156348520,207730869,63672917
0,1,31064,344,497,0.25,153018773,266591762,45836327
1,2,29731,358,141,0.25,144517666,268849826,49959894
2,3,23213,657,496,0.25,143532707,161415714,35891330
3,4,30662,1070,1708,0.25,183996645,262953906,52400922
4,5,24104,1242,169,0.25,129217296,180492700,37433153
5,6,32991,1295,1615,0.25,179501021,269126486,51505119
6,7,31964,1293,670,0.25,154475022,255165440,47470924
7,8,26546,1668,75,0.25,114079437,184749505,39804702
8,9,30474,1695,1948,0.25,165051054,210341749,48883520
9,10,23144,1872,439,0.25,127549757,198419145,34180897
10,11,56200,1946,1615,0.25,305628427,367356201,94463319
0,1,90247,221,1654,0.25,364687545,557667617,127619646
1,2,39227,290,204,0.25,155387671,238484552,52209327
2,3,35019,298,459,0.25,158679406,228235030,44486304
3,4,72293,432,1230,0.25,376078028,604146064,112022077
4,5,35014,527,1796,0.25,169593224,211080497,47526371
5,6,35284,623,113,0.25,140454460,228046488,48509996
6,7,44199,853,1725,0.25,188993424,315844830,61172454
7,8,32738,903,145,0.25,156189470,219936300,46400285
8,9,40878,1054,1916,0.25,167608428,230460770,56135068
9,10,32452,1143,422,0.25,137977211,236392968,59343568
10,11,74560,1400,1396,0.25,344781857,513221608,119428486
11,12,29514,1617,1967,0.25,112432389,180379043,42480416
0,1,64493,101,845,0.25,259344662,458168145,109466371
1,2,98861,809,872,0.25,605097868,287413636,137482447
2,3,33623,1219,1973,0.25,139594497,176411761,50954755
3,4,77441,1398,410,0.25,337215040,552393998,121718126
4,5,34607,1860,1501,0.25,142122526,244353452,53005772
0,1,47703,92,677,0.33,290557607,484922450,70885114
1,2,45107,267,1691,0.33,301235719,488145623,75056423
2,3,38325,683,431,0.33,186645568,243782979,52116575
3,4,30797,704,1563,0.33,173535048,364586908,50380330
4,5,33424,709,896,0.33,188998953,334022711,50466770
5,6,32977,953,617,0.33,182465396,232430713,48006066
6,7,41702,1061,1920,0.33,192179465,308492578,70701178
7,8,40205,1155,1381,0.33,174351230,340450171,70973342
8,9,40455,1343,831,0.33,190735728,247196929,58092792
9,10,46516,1467,1865,0.33,182651851,291879011,74052236
10,11,41912,1475,523,0.33,155494089,234652552,65189942
11,12,31848,1722,220,0.33,153866684,235168919,46933096
12,13,43305,1837,737,0.33,155812159,274844319,65418244
13,14,30775,1965,1328,0.33,137696172,252242059,48086004
0,1,45100,97,378,0.33,201880515,285939579,62716917
1,2,38522,161,732,0.33,181381111,285012032,56003765
2,3,39388,207,1573,0.33,163333125,250419800,60528903
3,4,75199,392,193,0.33,352835912,517756234,160791052
4,5,41275,385,1747,0.33,187672438,314964983,66348453
5,6,37541,531,1044,0.33,172606049,305513783,62498829
6,7,39919,718,1256,0.33,159352144,325463708,64664727
7,8,40138,862,850,0.33,174962714,248150777,62296403
8,9,38035,943,1490,0.33,189282350,317898931,61395439
9,10,33146,1024,568,0.33,164702186,361828250,62019575
10,11,35039,1085,1801,0.33,192146733,220219515,54787549
11,12,39886,1240,1098,0.33,189854644,272442449,64631600
12,13,39015,1312,1754,0.33,194886569,312222712,71521833
13,14,42247,1400,567,0.33,190734740,285643520,68266500
14,15,65837,1404,1257,0.33,407758837,679385675,108337757
