,index_count,segm_img_name,day,area_nucleus,x_coord,y_coord,dapi_nucleus,cebp_nucleus,ppar_nucleus,area_blob,dapi_blob,cebp_blob,ppar_blob,area_n_blob,dapi_n_blob,cebp_n_blob,ppar_n_blob,area_heteroc,dapi_heteroc,cebp_heteroc,ppar_heteroc,area_n_heteroc,dapi_n_heteroc,cebp_n_heteroc,ppar_n_heteroc,area_m1_heteroc,dapi_m1_heteroc,cebp_m1_heteroc,ppar_m1_heteroc,area_n_m1_heteroc,dapi_n_m1_heteroc,cebp_n_m1_heteroc,ppar_n_m1_heteroc,area_m2_heteroc,dapi_m2_heteroc,cebp_m2_heteroc,ppar_m2_heteroc,area_n_m2_heteroc,dapi_n_m2_heteroc,cebp_n_m2_heteroc,ppar_n_m2_heteroc,area_m3_heteroc,dapi_m3_heteroc,cebp_m3_heteroc,ppar_m3_heteroc,area_n_m3_heteroc,dapi_n_m3_heteroc,cebp_n_m3_heteroc,ppar_n_m3_heteroc,area_m4_heteroc,dapi_m4_heteroc,cebp_m4_heteroc,ppar_m4_heteroc,area_n_m4_heteroc,dapi_n_m4_heteroc,cebp_n_m4_heteroc,ppar_n_m4_heteroc,area_p1_heteroc,dapi_p1_heteroc,cebp_p1_heteroc,ppar_p1_heteroc,area_n_p4_heteroc,dapi_n_p4_heteroc,cebp_n_p4_heteroc,ppar_n_p4_heteroc,area_p2_heteroc,dapi_p2_heteroc,cebp_p2_heteroc,ppar_p2_heteroc,area_p3_heteroc,dapi_p3_heteroc,cebp_p3_heteroc,ppar_p3_heteroc,area_p4_heteroc,dapi_p4_heteroc,cebp_p4_heteroc,ppar_p4_heteroc,area_m1_blob,dapi_m1_blob,cebp_m1_blob,ppar_m1_blob,area_n_m1_blob,dapi_n_m1_blob,cebp_n_m1_blob,ppar_n_m1_blob,area_m2_blob,dapi_m2_blob,cebp_m2_blob,ppar_m2_blob,area_n_m2_blob,dapi_n_m2_blob,cebp_n_m2_blob,ppar_n_m2_blob,area_m3_blob,dapi_m3_blob,cebp_m3_blob,ppar_m3_blob,area_n_m3_blob,dapi_n_m3_blob,cebp_n_m3_blob,ppar_n_m3_blob,area_m4_blob,dapi_m4_blob,cebp_m4_blob,ppar_m4_blob,area_n_m4_blob,dapi_n_m4_blob,cebp_n_m4_blob,ppar_n_m4_blob,area_p1_blob,dapi_p1_blob,cebp_p1_blob,ppar_p1_blob,area_n_p1_blob,dapi_n_p1_blob,cebp_n_p1_blob,ppar_n_p1_blob,area_p2_blob,dapi_p2_blob,cebp_p2_blob,ppar_p2_blob,area_n_p2_blob,dapi_n_p2_blob,cebp_n_p2_blob,ppar_n_p2_blob,area_p3_blob,dapi_p3_blob,cebp_p3_blob,ppar_p3_blob,area_n_p3_blob,dapi_n_p3_blob,cebp_n_p3_blob,ppar_n_p3_blob,area_p4_blob,dapi_p4_blob,cebp_p4_blob,ppar_p4_blob,area_n_p4_blob,dapi_n_p4_blob,cebp_n_p4_blob,ppar_n_p4_blob
1,1,stad3-42-xy5_cebp_segm_cell11.tif,3,55382,993.5788162218771,1411.9252825827887,327161242,215225829,243869672,3631,21743858,36613116,19106354,51751.0,305417384.0,178612713.0,224763318.0,2304,22525328,9469969,10179454,53078.0,304635914.0,205755860.0,233690218.0,526,4676882,2177073,2177073,53604.0,309312796.0,207932933.0,236082407.0,473,4411488,1981616,1981616,54077.0,313724284.0,209914549.0,238221667.0,457,4479649,1937954,1937954,54534.0,318203933.0,211852503.0,240287627.0,326,3284972,1385795,1385795,54860.0,321488905.0,213238298.0,241754271.0,570,4799822,2335903,2335903,50330.0,283563593.0,194692889.0,220893067.0,612,4845210,2486960,2486960,810,6064868,3231707,3231707,756,5362421,3008401,3008401,1230,7424516,10343355,10343355,52981.0,312841900.0,188956068.0,231174500.0,1056,6318049,10250812,10250812,54037.0,319159949.0,199206880.0,236668427.0,873,5226208,9773765,9773765,54910.0,324386157.0,208980645.0,241296430.0,378,2241878,4893150,4893150,55288.0,326628035.0,213873795.0,243377429.0,1346,8201091,9708370,9708370,55288.0,326628035.0,213873795.0,243377429.0,1452,8929467,8995921,8995921,55288.0,326628035.0,213873795.0,243377429.0,1910,11826910,10159603,10159603,55288.0,326628035.0,213873795.0,243377429.0,1753,10923644,8270582,8270582,55288.0,326628035.0,213873795.0,243377429.0
1,2,stad3-42-xy5_cebp_segm_cell12.tif,3,65354,585.4880803011292,1498.719757015638,322730618,237306449,230080258,6777,32405179,60988874,30465882,58577.0,290325439.0,176317575.0,199614376.0,3134,23638632,8815142,10162114,62220.0,299091986.0,228491307.0,219918144.0,845,5793269,2406372,2406372,63065.0,304885255.0,230897679.0,222670383.0,740,5317742,2096334,2096334,63805.0,310202997.0,232994013.0,225105066.0,657,4963434,1844697,1844697,64462.0,315166431.0,234838710.0,227272023.0,408,3234293,1130842,1130842,64870.0,318400724.0,235969552.0,228569906.0,921,5980582,2647651,2647651,57758.0,272561576.0,215136324.0,205865565.0,994,6088986,2915707,2915707,1315,7626043,3975802,3975802,1232,6834799,3815823,3815823,1935,9363843,13373295,13373295,60512.0,299689282.0,189690870.0,208071018.0,1666,7982686,13428444,13428444,62178.0,307671968.0,203119314.0,215451471.0,1488,7062886,14056984,14056984,63666.0,314734854.0,217176298.0,222069755.0,905,4236241,9817589,9817589,64571.0,318971095.0,226993887.0,226162652.0,2131,10420637,12546365,12546365,64571.0,318971095.0,226993887.0,226162652.0,2317,11447596,11666872,11666872,64571.0,318971095.0,226993887.0,226162652.0,3097,15500642,13524213,13524213,64571.0,318971095.0,226993887.0,226162652.0,2863,14440540,11053091,11053091,64571.0,318971095.0,226993887.0,226162652.0
