,segm_cebp_imagename,day,area_nucleus,xcoord_nucleus,ycoord_nucleus,dapi_nucleus,cebp_nucleus,ppar_nucleus,count_heteroc,area_heteroc,dapi_heteroc,cebp_heteroc,ppar_heteroc,area_n_heteroc,dapi_n_heteroc,cebp_n_heteroc,ppar_n_heteroc,area_p3_heteroc,dapi_p3_heteroc,cebp_p3_heteroc,ppar_p3_heteroc,area_n_p3_heteroc,dapi_n_p3_heteroc,cebp_n_p3_heteroc,ppar_n_p3_heteroc,area_blob,count_blob,dapi_blob,cebp_blob,ppar_blob,area_n_blob,dapi_n_blob,cebp_n_blob,ppar_n_blob,area_p1_blob,dapi_p1_blob,cebp_p1_blob,ppar_p1_blob,area_n_p1_blob,dapi_n_p1_blob,cebp_n_p1_blob,ppar_n_p1_blob,area_p2_blob,dapi_p2_blob,cebp_p2_blob,ppar_p2_blob,area_n_p2_blob,dapi_n_p2_blob,cebp_n_p2_blob,ppar_n_p2_blob,area_p3_blob,dapi_p3_blob,cebp_p3_blob,ppar_p3_blob,area_n_p3_blob,dapi_n_p3_blob,cebp_n_p3_blob,ppar_n_p3_blob,area_p5_blob,dapi_p5_blob,cebp_p5_blob,ppar_p5_blob,area_n_p5_blob,dapi_n_p5_blob,cebp_n_p5_blob,ppar_n_p5_blob,area_p7_blob,dapi_p7_blob,cebp_p7_blob,ppar_p7_blob,area_n_p7_blob,dapi_n_p7_blob,cebp_n_p7_blob,ppar_n_p7_blob
10,stad3-26-xy7_cebp_segm_cell1.tif,-3.0,68488,423.2581036093914,1324.06761768485,79986501,225927657,76443656,17,1800,2764076,4722443,1914274,66688.0,77222425.0,221205214.0,74529382.0,2138,2863013,5925719,2342810,64550.0,74359412.0,215279495.0,72186572.0,5309,41,6053859,45036417,6221146,63179.0,73932642.0,180891240.0,70222510.0,1849,2132454,10931995,2111611,61342.0,71810621.0,170082431.0,68125568.0,1992,2315423,10173548,2269465,59363.0,69506390.0,160022565.0,65872122.0,2622,3062285,11622550,2969595,56767.0,66466578.0,148571332.0,62933758.0,5690,6716887,21335315,6367017,51144.0,59807163.0,127543535.0,56645845.0,5327,6332159,17595312,5940083,45930.0,53571419.0,110263393.0,50831787.0
11,stad3-26-xy8_cebp_segm_cell1.tif,-3.0,46972,456.3011155582049,251.87479775185216,67228923,183346705,70132084,8,1052,1870317,3139055,1528882,45920.0,65358606.0,180207650.0,68603202.0,1040,1743104,3372435,1516955,44880.0,63615502.0,176835215.0,67086247.0,1202,12,1849638,9625368,1891288,45770.0,65379285.0,173721337.0,68240796.0,412,631727,2820092,646296,45358.0,64747558.0,170901245.0,67594500.0,454,695934,2938530,710520,44904.0,64051624.0,167962715.0,66883980.0,599,921511,3667069,938485,44305.0,63130113.0,164295646.0,65945495.0,1373,2107381,7711470,2141347,42932.0,61022732.0,156584176.0,63804148.0,1362,2091255,7050437,2106156,41590.0,58949963.0,149587581.0,61722890.0
12,stad3-26-xy8_cebp_segm_cell2.tif,-3.0,69099,382.9190002749678,684.7275503263434,101401222,186990468,93672225,17,4248,9015091,13138240,5909354,64851.0,92386131.0,173852228.0,87762871.0,3389,6443129,10508737,4718706,61462.0,85943002.0,163343491.0,83044165.0,1470,16,2120240,7199971,1948985,67629.0,99280982.0,179790497.0,91723240.0,543,781424,2269420,717744,67086.0,98499558.0,177521077.0,91005496.0,602,864528,2368780,794436,66484.0,97635030.0,175152297.0,90211060.0,835,1207261,3115499,1102234,65649.0,96427769.0,172036798.0,89108826.0,1912,2758596,6690106,2530994,63742.0,93673684.0,165357512.0,86584058.0,1958,2836500,6464059,2606047,61802.0,90853810.0,158930310.0,84000672.0
13,stad3-26-xy8_cebp_segm_cell3.tif,-3.0,65854,633.4049564187445,1343.0897591642117,102960395,252894097,91411260,20,2387,5075242,8381131,3264667,63467.0,97885153.0,244512966.0,88146593.0,2715,5239428,9749186,3741842,60752.0,92645725.0,234763780.0,84404751.0,2285,23,3545775,19096927,3410698,63569.0,99414620.0,233797170.0,88000562.0,894,1406645,6233499,1308860,62675.0,98007975.0,227563671.0,86691702.0,971,1536242,6254770,1406779,61704.0,96471733.0,221308901.0,85284923.0,1280,2044763,7583573,1827953,60424.0,94426970.0,213725328.0,83456970.0,2818,4527178,14983739,3977934,57606.0,89899792.0,198741589.0,79479036.0,2720,4389478,13132139,3799963,54886.0,85510314.0,185609450.0,75679073.0
14,stad3-26-xy8_cebp_segm_cell4.tif,-3.0,45488,1450.6928420682377,1622.870691171298,68533365,154979208,67155213,7,733,1537130,2714995,1105831,44755.0,66996235.0,152264213.0,66049382.0,815,1563560,3042528,1243003,43940.0,65432675.0,149221685.0,64806379.0,1200,11,1910836,9092202,1905276,44288.0,66622529.0,145887006.0,65249937.0,399,642657,2611797,632748,43889.0,65979872.0,143275209.0,64617189.0,439,713345,2710490,693532,43450.0,65266527.0,140564719.0,63923657.0,599,971901,3504383,941781,42851.0,64294626.0,137060336.0,62981876.0,1335,2183474,7125531,2072721,41516.0,62111152.0,129934805.0,60909155.0,1281,2104448,6113253,1969343,40235.0,60006704.0,123821552.0,58939812.0
15,stad3-26-xy8_cebp_segm_cell5.tif,-3.0,38452,1045.9411994174554,1689.0024446062623,60303543,142378370,57125826,5,418,964152,1816488,641931,38034.0,59339391.0,140561882.0,56483895.0,561,1183246,2325614,865727,37473.0,58156145.0,138236268.0,55618168.0,269,3,510330,3732291,441058,38183.0,59793213.0,138646079.0,56684768.0,79,148990,855563,127284,38104.0,59644223.0,137790516.0,56557484.0,87,164543,868248,139422,38017.0,59479680.0,136922268.0,56418062.0,118,223600,1095205,189088,37899.0,59256080.0,135827063.0,56228974.0,270,508867,2230209,435136,37629.0,58747213.0,133596854.0,55793838.0,278,522395,2044515,453145,37351.0,58224818.0,131552339.0,55340693.0
16,stad3-26-xy9_cebp_segm_cell2.tif,-3.0,35306,1320.866170056081,589.4194754432674,60987573,131459044,54219127,3,162,401215,811697,274568,35144.0,60586358.0,130647347.0,53944559.0,230,532815,1169714,383079,34914.0,60053543.0,129477633.0,53561480.0,901,11,2086404,6580510,1527921,34405.0,58901169.0,124878534.0,52691206.0,378,874324,2609810,635047,34027.0,58026845.0,122268724.0,52056159.0,418,968763,2811951,701393,33609.0,57058082.0,119456773.0,51354766.0,573,1326882,3735457,961584,33036.0,55731200.0,115721316.0,50393182.0,1276,2954943,7953224,2145007,31760.0,52776257.0,107768092.0,48248175.0,1245,2880177,7427803,2083059,30515.0,49896080.0,100340289.0,46165116.0
17,stad3-26-xy9_cebp_segm_cell3.tif,-3.0,36868,733.0781707714007,618.8618313985028,60596720,115539375,58158144,3,398,1078373,2152758,692334,36470.0,59518347.0,113386617.0,57465810.0,372,963420,2105859,650756,36098.0,58554927.0,111280758.0,56815054.0,434,5,1020676,3165289,773812,36434.0,59576044.0,112374086.0,57384332.0,166,392251,1133921,299082,36268.0,59183793.0,111240165.0,57085250.0,182,432247,1197626,327985,36086.0,58751546.0,110042539.0,56757265.0,240,576031,1538018,430226,35846.0,58175515.0,108504521.0,56327039.0,533,1281854,3261765,947257,35313.0,56893661.0,105242756.0,55379782.0,525,1266359,3074530,923349,34788.0,55627302.0,102168226.0,54456433.0
18,stad3-26-xy9_cebp_segm_cell4.tif,-3.0,105269,180.36888352696425,850.7447966637851,152968690,496220750,167236820,24,3373,6656768,13951589,5382427,101896.0,146311922.0,482269161.0,161854393.0,3396,6064179,14715346,5517007,98500.0,140247743.0,467553815.0,156337386.0,10477,50,14775763,92733975,17488089,94792.0,138192927.0,403486775.0,149748731.0,2694,3886977,19659063,4448904,92114.0,134320996.0,383886928.0,145322431.0,2867,4158221,19784358,4733642,89269.0,130183277.0,364180479.0,140617938.0,3677,5342775,24017831,6037328,85629.0,124875063.0,340292346.0,134628670.0,7878,11503005,47322961,12919683,77851.0,113462386.0,293296743.0,121837165.0,7290,10701387,39921290,11836202,70674.0,102860920.0,253692216.0,110144220.0
19,stad3-26-xy9_cebp_segm_cell5.tif,-3.0,63543,510.6736697984042,1689.3290055552932,102470437,192094585,72578253,12,1770,3911213,4664615,2047940,61773.0,98559224.0,187429970.0,70530313.0,1733,3456883,4785340,2022329,60040.0,95102341.0,182644630.0,68507984.0,3554,23,5735333,21453020,4239393,59989.0,96735104.0,170641565.0,68338860.0,1015,1682826,5093675,1196765,58974.0,95052278.0,165547890.0,67142095.0,1101,1838929,5188464,1294826,57873.0,93213349.0,160359426.0,65847269.0,1457,2443571,6423679,1716420,56416.0,90769778.0,153935747.0,64130849.0,3228,5431460,12973016,3800913,53188.0,85338318.0,140962731.0,60329936.0,3215,5428414,11923451,3737890,49979.0,79915612.0,129048626.0,56597281.0
