,AreaShape_Area,AreaShape_Compactness,AreaShape_Eccentricity,AreaShape_EulerNumber,AreaShape_Extent,AreaShape_FormFactor,AreaShape_MajorAxisLength,AreaShape_MaxFeretDiameter,AreaShape_MaximumRadius,AreaShape_MeanRadius,AreaShape_MedianRadius,AreaShape_MinFeretDiameter,AreaShape_MinorAxisLength,AreaShape_Orientation,AreaShape_Perimeter,AreaShape_Solidity,AreaShape_Zernike_0_0,AreaShape_Zernike_1_1,AreaShape_Zernike_2_0,AreaShape_Zernike_2_2,AreaShape_Zernike_3_1,AreaShape_Zernike_3_3,AreaShape_Zernike_4_0,AreaShape_Zernike_4_2,AreaShape_Zernike_4_4,AreaShape_Zernike_5_1,AreaShape_Zernike_5_3,AreaShape_Zernike_5_5,AreaShape_Zernike_6_0,AreaShape_Zernike_6_2,AreaShape_Zernike_6_4,AreaShape_Zernike_6_6,AreaShape_Zernike_7_1,AreaShape_Zernike_7_3,AreaShape_Zernike_7_5,AreaShape_Zernike_7_7,AreaShape_Zernike_8_0,AreaShape_Zernike_8_2,AreaShape_Zernike_8_4,AreaShape_Zernike_8_6,AreaShape_Zernike_8_8,AreaShape_Zernike_9_1,AreaShape_Zernike_9_3,AreaShape_Zernike_9_5,AreaShape_Zernike_9_7,AreaShape_Zernike_9_9,Intensity_IntegratedIntensityEdge_dapi,Intensity_IntegratedIntensity_dapi,Intensity_LowerQuartileIntensity_dapi,Intensity_MADIntensity_dapi,Intensity_MassDisplacement_dapi,Intensity_MaxIntensityEdge_dapi,Intensity_MaxIntensity_dapi,Intensity_MeanIntensityEdge_dapi,Intensity_MeanIntensity_dapi,Intensity_MedianIntensity_dapi,Intensity_MinIntensityEdge_dapi,Intensity_MinIntensity_dapi,Intensity_StdIntensityEdge_dapi,Intensity_StdIntensity_dapi,Intensity_UpperQuartileIntensity_dapi,in_object
2,33662,1.0457873532151247,0.6633615355489116,1.0,0.7338245552842693,0.7304024213831182,239.2282128306108,246.84002916869053,87.09190547921202,32.584455028886104,29.017236257093817,175.065755713473,179.01424518132148,16.31735162884998,761.0159999999976,0.9709678815062665,0.7009657492346695,0.05925539069309866,0.17709683282628258,0.07029482008778468,0.01863750015291265,0.0142178611339513,0.046360070788845485,0.007550392221222583,0.012552668023728194,0.02326115951664267,0.013125111490810129,0.0008474760013911638,0.00958880567152462,0.020011022911496663,0.009477679077033344,0.0035424393911982345,0.003772485730632122,0.006388962713732732,0.008047389483563974,0.0030595691564154768,0.009349936579607565,0.0032805137157102342,0.00469216776583909,0.005996997504211115,0.0016643333333937614,0.013331024389202578,0.009125943643208777,0.005745307484755883,0.0022601723811655245,0.0038591958539265533,34.429114278405905,2891.0334205739205,0.07215991616249083,0.013565272092819214,3.0132378300104685,0.06158541142940521,0.1899137794971466,0.05329584253623205,0.08588418455748084,0.08456549793481828,0.048645760864019394,0.048645760864019394,0.0021973387446754,0.020572253494313096,0.09878690540790558,1.0
3,31272,1.1380980795281082,0.7991380984584237,1.0,0.7070953737620405,0.761223130908489,257.48368641047347,254.91174943497603,74.33034373659251,29.30877495085317,26.683328128252672,156.07045107733194,154.78567070059617,26.256157583485503,718.4999999999974,0.969253657327052,0.6124208164413162,0.01662174588453636,0.18466433363654391,0.10017430638933424,0.008164948213410912,0.001000695662522294,0.009596540593392268,0.02571453379846857,0.02894544087931212,0.0018067658077100977,0.010258485125806727,0.0021126917004379133,0.01889928229421724,0.025724308901770118,0.006862062067745522,0.00975620150793398,0.006284651160292336,0.005255363794513882,0.002791302049272701,0.001265915147768552,0.00768991180299663,0.006871997105988633,0.01718508628592079,0.0092525344256348,0.0030502623475500037,0.0030394439397961165,0.0032319639943856177,0.002700208069836966,0.001647642750032468,0.0007208717665103114,32.33846042305231,2358.6107153855264,0.06485084444284439,0.009231708943843842,0.6302989293435587,0.05761806666851044,0.14935530722141266,0.052754421571047816,0.07542244549071138,0.07406729459762572,0.0486762784421444,0.0486762784421444,0.001353963745130641,0.0148720725269979,0.08332952111959457,1.0
4,31872,1.0667623695563628,0.7160916641900249,1.0,0.7351062112231013,0.8351791144852323,240.78564563237651,238.15961034566715,82.68010643437755,31.70352174546465,28.442925306655784,166.32098488870008,168.0698861547596,-28.1293736836994,692.4999999999973,0.9865965020894596,0.7152195892963632,0.009112682442052279,0.1692967574069511,0.0940796665643978,0.00044054590280220466,0.0049217103816446475,0.04106764847222994,0.0013387482508022456,0.01845390089649413,0.003915949234570347,0.003654875581141439,0.0009621117219514693,0.013796329117596436,0.028895809258587143,0.01769319509364109,0.004483897383485289,0.0013373895675575034,0.0018995388577610715,0.003223522652468867,0.0008529647843510403,0.005204203725261274,0.008775274780379509,0.00495669795596857,0.010112573820467569,0.002416254146498338,0.0015652595993936125,0.0029689519189472803,0.0020521048884300872,0.0012305930312805945,0.0005456219625201943,30.85803009569645,2632.0784346610308,0.06675822287797928,0.015411615371704103,0.5749646622222455,0.056656748056411736,0.14012359082698822,0.052569046159619166,0.08258278221200523,0.08116273581981659,0.04917982593178749,0.04917982593178749,0.0013659063328055672,0.01880382485646586,0.09779506921768187,1.0
5,30073,1.1314860104241813,0.7842148558816944,1.0,0.7149173897539522,0.7952331183538563,249.6108000457724,246.4345754962156,75.16648189186455,29.139375788807268,26.47640458974745,153.28685276307903,154.88084837363485,22.934788849357,689.3599999999975,0.9736931569830501,0.6304372036821069,0.03975759917319156,0.17573381309388447,0.09793440622316267,0.02581103190797343,0.004897821033333302,0.017658408900369155,0.02192685706841271,0.02745345247585191,0.009762073130102458,0.01152258368809956,0.004833350071067026,0.010509748828189093,0.022870949624281062,0.007468024807190181,0.008208204907377392,0.01686056740843231,0.009152882918639514,0.0060877585896405035,0.0027626038690950834,0.0013909925567562435,0.002363895998688393,0.01365508038723835,0.010044232413876027,0.0031942142378603108,0.001524538186465977,0.0012121918648339133,0.003385509167882785,0.0011658883720153759,0.0016075812434687249,31.124879896640767,3268.2572086118157,0.08569467067718506,0.020157173275947567,1.4354218499472111,0.058442052453756325,0.21472495794296265,0.052754033723119965,0.10867745847144668,0.11349660158157347,0.0480354018509388,0.0480354018509388,0.0013642149263688942,0.030633302274602987,0.13011367619037628,1.0
6,38900,1.0223197307236092,0.5799558637929638,1.0,0.7677429541327859,0.8701059815553642,246.2083717708965,249.11041728518703,100.22474744293447,36.26001041884637,32.202484376209235,201.75331471874264,200.573132281762,-27.110939661246995,749.5379999999969,0.989029149663755,0.7981342382718484,0.054375861840405326,0.13948878445724278,0.06228366998689897,0.009464412930334669,0.008901874290450938,0.06073809010745579,0.012857640531713314,0.01119608149600233,0.018995453769037832,0.012773622729072715,0.0008677344268073035,0.011180353184523371,0.012655595580741377,0.009636339920422171,0.0036158968045494977,0.01590681203673495,0.004120148438873455,0.004626543535828422,0.0009319974587065457,0.0016935297010685648,0.01130236801536891,0.003363982210137891,0.004461788455944308,0.002637252188124551,0.0011217803118356553,0.008661513599137109,0.005114340059560438,0.001097566269991523,0.002081463580711888,33.59308771416545,4004.873002242297,0.07620355486869812,0.024612806737422943,3.165906709193937,0.05636682733893395,0.21167315542697904,0.052571342275689284,0.10295303347666572,0.10292210429906844,0.0481269545853138,0.0481269545853138,0.0013038344670843346,0.03151102709715686,0.125490203499794,1.0
7,30730,1.1649250782340659,0.819596165125489,1.0,0.6993309362341268,0.7586184938825495,261.43171283284505,260.4169733331528,75.29276193632427,28.943580984015565,26.24880949681337,151.15819527898574,149.7851150435249,69.86665547917283,713.4679999999972,0.981224854716138,0.5769437374655625,0.017407034931789727,0.18813164820613426,0.09852573563155267,0.0020339026852944013,0.007325575297721911,0.0028748326407876256,0.031647676735252935,0.03218260678440154,0.005156532409449937,0.008633489977870392,0.006337803701470691,0.020430138169015497,0.0211143375854775,0.002651080379898076,0.0138752527830533,0.0015091244324160296,0.004228921824311285,0.005614234509160614,0.003146290882790913,0.011844229990492764,0.012123633113229488,0.017568212834328863,0.005394103266263554,0.006129331211240408,0.0027277126199362197,0.0032760889149444075,0.0023005859280935573,0.001645182373545008,0.0011379393033011953,31.965331569314003,2760.7019178755572,0.07418936491012572,0.013412684202194214,2.640428984692892,0.057907987385988235,0.17952239513397214,0.052922734386281464,0.08983735495852778,0.08911269158124924,0.04881361126899719,0.04881361126899719,0.0015261520911098387,0.022548865100808096,0.10135042667388916,1.0
8,28250,1.0134589140357482,0.5139808828282452,1.0,0.7710363274106826,0.8788398410289014,204.53065487541485,206.0218435020908,87.5956619930462,31.13731224944406,27.586228448267445,175.54032156283074,175.44673100362664,86.46270147181602,635.5639999999978,0.9876759024560792,0.8473626768207325,0.08392345262749462,0.10305928783828347,0.047146068261212086,0.031169055340529262,0.005627448773867848,0.04209205339150551,0.010476450367508994,0.009563843598022865,0.00981742594690181,0.01368214860884565,0.006584427671339928,0.007364682551606275,0.010756601193896995,0.004449257600755813,0.0038206751969099744,0.018870469287160258,0.009399819284400169,0.0034943851834660666,0.003124215435172519,0.0035428770487948265,0.005289648479269833,0.002935268699041934,0.005996478055526496,0.00310831773811088,0.00846887179843117,0.0023935239933781864,0.0040939466558620324,0.0012457147900841767,0.0010126523841016118,28.973525635898113,2559.2206786312163,0.07473105937242508,0.015091173350811003,0.4245516592789499,0.058442052453756325,0.1594720333814621,0.05345668936512567,0.09059188242942358,0.09188982844352722,0.04942397028207779,0.04942397028207779,0.0016225180931223895,0.019797111533365816,0.10565346479415894,1.0
9,32797,1.131175960097402,0.7858752340929949,1.0,0.7670556867881283,0.6144203267225528,260.87556989629957,258.65227623201,74.79304780526061,29.53526008278481,26.90724809414742,163.31522602862762,161.32156211628123,88.46039965314422,819.0099999999977,0.9510649712189532,0.6241825585369298,0.050526943625362086,0.1752918214743546,0.094406438958618,0.02044752774575472,0.02228022316862704,0.016799225637416322,0.028124766746769697,0.016938944947593078,0.010619535615986726,0.008413727237932798,0.008870131646761764,0.008214215058224325,0.022701823795869214,0.0068528582118677645,0.005994441963396742,0.011631760463942268,0.01785476169640793,0.008779682618094038,0.002565023467645634,0.004195805092600325,0.003255745502705376,0.012783209206217769,0.005047482259117558,0.004856273490074653,0.002012481086567796,0.003689329801393242,0.006448292358966516,0.0065709769217747295,0.0020283485500169,43.67602051794529,3113.9157428368926,0.07817196846008301,0.01573967933654785,3.661940753996248,0.09050125628709793,0.20190738141536715,0.062128051945868124,0.0949451395809645,0.09725337475538254,0.04937819391489029,0.04937819391489029,0.013198956430528605,0.02293471471944439,0.110673688352108,1.0
10,25933,1.1134516483195538,0.7648261232475269,1.0,0.71796788482835,0.6199106624148399,227.49470475768103,239.67686580060246,70.11419257183242,26.571663647257967,24.0,154.25265752310776,146.56045120353338,27.276078698492817,725.0479999999976,0.9446842613336246,0.5747919072785617,0.05234076187528736,0.19739102625531507,0.0738739970886423,0.02582740500399236,0.010583388422393192,0.013088022125251769,0.030188280249130624,0.023652095171974908,0.012418952270512314,0.010171859236176157,0.00227924243964004,0.017287803525082544,0.0220923906991662,0.00705521110731448,0.008758249895268402,0.015014446357203254,0.0136249229313524,0.0062528004447384685,0.0027510967652285877,0.0006249997491439614,0.0071565428565673345,0.007928354930437224,0.002769281402600452,0.005676215780419578,0.0034797562161298138,0.0026826494728354982,0.0059687997453082035,0.006657070614998583,0.002469231074864464,35.631738863885396,2710.364509377629,0.07745479792356491,0.02406347543001175,1.785272639798021,0.08847180753946304,0.23070114850997925,0.05889543613865356,0.1045141136535545,0.10174715518951416,0.0476691834628582,0.0476691834628582,0.010479162428076793,0.03453305695743867,0.125520721077919,1.0
0,40737,1.1125486386964647,0.7789271209000054,1.0,0.730577474892396,0.7913354285765102,287.2015264984211,281.7037450940261,88.14193099768124,34.629896405797105,31.38470965295043,179.0992814156807,180.1082289155508,-68.10565119385987,804.301999999997,0.9847347619565612,0.653545729349091,0.005529300244404319,0.17826689888282093,0.10344635410376617,0.0024036911178365785,0.0017160803377497618,0.019223482031264786,0.01637213527158506,0.025357873384354364,0.0020197411654792265,0.0010983350631185713,0.0002515100500120501,0.01855353221902284,0.030122007414887002,0.013079790895562556,0.006040058486549655,0.0015293432505432574,0.0019424083460022007,0.001393934235253899,0.0002813601133467394,0.006218761743979066,0.0023986267205909012,0.012768603493905168,0.0133774855059343,0.0017250618741918384,0.000600533524386742,0.0008042673543492666,0.0010165152990719642,0.0005621200823864109,0.00038607383565940736,22.840009193867445,2606.2457650862634,0.04948500916361809,0.01240558922290802,0.17973842104305265,0.03649958223104477,0.13908597826957705,0.0336377160439874,0.06397736124619544,0.06645303964614868,0.030533302575349808,0.030533302575349808,0.000995102181258701,0.017987223891356416,0.07666132599115373,1.0
